,day,final_infected,type_pretty
60,60,240,0%
121,60,240,0%
182,60,240,0%
243,60,240,0%
304,60,240,0%
365,60,240,0%
426,60,240,0%
487,60,240,0%
548,60,240,0%
609,60,240,0%
670,60,240,0%
731,60,240,0%
792,60,240,0%
853,60,240,0%
914,60,240,0%
975,60,240,0%
1036,60,240,0%
1097,60,240,0%
1158,60,240,0%
1219,60,240,0%
1280,60,240,0%
1341,60,240,0%
1402,60,240,0%
1463,60,240,0%
1524,60,240,0%
1585,60,240,0%
1646,60,240,0%
1707,60,240,0%
1768,60,240,0%
1829,60,240,0%
1890,60,240,0%
1951,60,240,0%
2012,60,240,0%
2073,60,240,0%
2134,60,240,0%
2195,60,240,0%
2256,60,240,0%
2317,60,240,0%
2378,60,240,0%
2439,60,240,0%
2500,60,240,0%
2561,60,240,0%
2622,60,240,0%
2683,60,240,0%
2744,60,240,0%
2805,60,240,0%
2866,60,240,0%
2927,60,240,0%
2988,60,240,0%
3049,60,240,0%
3110,60,240,0%
3171,60,240,0%
3232,60,240,0%
3293,60,240,0%
3354,60,240,0%
3415,60,240,0%
3476,60,240,0%
3537,60,240,0%
3598,60,240,0%
3659,60,240,0%
3720,60,240,0%
3781,60,240,0%
3842,60,240,0%
3903,60,240,0%
3964,60,240,0%
4025,60,240,0%
4086,60,240,0%
4147,60,240,0%
4208,60,240,0%
4269,60,240,0%
4330,60,240,0%
4391,60,240,0%
4452,60,240,0%
4513,60,240,0%
4574,60,240,0%
4635,60,240,0%
4696,60,240,0%
4757,60,240,0%
4818,60,240,0%
4879,60,240,0%
4940,60,240,0%
5001,60,240,0%
5062,60,240,0%
5123,60,240,0%
5184,60,240,0%
5245,60,240,0%
5306,60,240,0%
5367,60,240,0%
5428,60,240,0%
5489,60,240,0%
5550,60,240,0%
5611,60,240,0%
5672,60,240,0%
5733,60,240,0%
5794,60,240,0%
5855,60,240,0%
5916,60,240,0%
5977,60,240,0%
6038,60,240,0%
6099,60,240,0%
6160,60,240,0%
6221,60,240,0%
6282,60,240,0%
6343,60,240,0%
6404,60,240,0%
6465,60,240,0%
6526,60,240,0%
6587,60,240,0%
6648,60,240,0%
6709,60,240,0%
6770,60,240,0%
6831,60,240,0%
6892,60,240,0%
6953,60,240,0%
7014,60,240,0%
7075,60,240,0%
7136,60,240,0%
7197,60,240,0%
7258,60,240,0%
7319,60,240,0%
7380,60,240,0%
7441,60,240,0%
7502,60,240,0%
7563,60,240,0%
7624,60,240,0%
7685,60,240,0%
7746,60,240,0%
7807,60,240,0%
7868,60,240,0%
7929,60,240,0%
7990,60,240,0%
8051,60,240,0%
8112,60,240,0%
8173,60,240,0%
8234,60,240,0%
8295,60,240,0%
8356,60,240,0%
8417,60,240,0%
8478,60,240,0%
8539,60,240,0%
8600,60,240,0%
8661,60,240,0%
8722,60,240,0%
8783,60,240,0%
8844,60,240,0%
8905,60,240,0%
8966,60,240,0%
9027,60,240,0%
9088,60,240,0%
9149,60,240,0%
9210,60,240,0%
9271,60,240,0%
9332,60,240,0%
9393,60,240,0%
9454,60,240,0%
9515,60,240,0%
9576,60,240,0%
9637,60,240,0%
9698,60,240,0%
9759,60,240,0%
9820,60,240,0%
9881,60,240,0%
9942,60,240,0%
10003,60,240,0%
10064,60,240,0%
10125,60,240,0%
10186,60,240,0%
10247,60,240,0%
10308,60,240,0%
10369,60,240,0%
10430,60,240,0%
10491,60,240,0%
10552,60,240,0%
10613,60,240,0%
10674,60,240,0%
10735,60,240,0%
10796,60,240,0%
10857,60,240,0%
10918,60,240,0%
10979,60,240,0%
11040,60,240,0%
11101,60,240,0%
11162,60,240,0%
11223,60,240,0%
11284,60,240,0%
11345,60,240,0%
11406,60,240,0%
11467,60,240,0%
11528,60,240,0%
11589,60,240,0%
11650,60,240,0%
11711,60,240,0%
11772,60,240,0%
11833,60,240,0%
11894,60,240,0%
11955,60,240,0%
12016,60,240,0%
12077,60,240,0%
12138,60,240,0%
12199,60,240,0%
12260,60,240,0%
12321,60,240,0%
12382,60,240,0%
12443,60,240,0%
12504,60,240,0%
12565,60,240,0%
12626,60,240,0%
12687,60,240,0%
12748,60,240,0%
12809,60,239,0%
12870,60,240,0%
12931,60,240,0%
12992,60,240,0%
13053,60,240,0%
13114,60,240,0%
13175,60,240,0%
13236,60,240,0%
13297,60,240,0%
13358,60,240,0%
13419,60,240,0%
13480,60,240,0%
13541,60,240,0%
13602,60,240,0%
13663,60,240,0%
13724,60,240,0%
13785,60,240,0%
13846,60,240,0%
13907,60,240,0%
13968,60,240,0%
14029,60,240,0%
14090,60,240,0%
14151,60,240,0%
14212,60,240,0%
14273,60,240,0%
14334,60,240,0%
14395,60,240,0%
14456,60,240,0%
14517,60,240,0%
14578,60,240,0%
14639,60,240,0%
14700,60,240,0%
14761,60,240,0%
14822,60,240,0%
14883,60,240,0%
14944,60,240,0%
15005,60,240,0%
15066,60,240,0%
15127,60,240,0%
15188,60,240,0%
15249,60,240,0%
15310,60,240,0%
15371,60,240,0%
15432,60,240,0%
15493,60,240,0%
15554,60,240,0%
15615,60,240,0%
15676,60,240,0%
15737,60,240,0%
15798,60,240,0%
15859,60,240,0%
15920,60,240,0%
15981,60,240,0%
16042,60,240,0%
16103,60,240,0%
16164,60,240,0%
16225,60,240,0%
16286,60,240,0%
16347,60,240,0%
16408,60,240,0%
16469,60,240,0%
16530,60,240,0%
16591,60,240,0%
16652,60,240,0%
16713,60,240,0%
16774,60,240,0%
16835,60,240,0%
16896,60,240,0%
16957,60,240,0%
17018,60,240,0%
17079,60,240,0%
17140,60,240,0%
17201,60,240,0%
17262,60,240,0%
17323,60,240,0%
17384,60,240,0%
17445,60,240,0%
17506,60,240,0%
17567,60,240,0%
17628,60,240,0%
17689,60,240,0%
17750,60,240,0%
17811,60,240,0%
17872,60,240,0%
17933,60,240,0%
17994,60,240,0%
18055,60,240,0%
18116,60,240,0%
18177,60,240,0%
18238,60,240,0%
18299,60,240,0%
18360,60,240,0%
18421,60,240,0%
18482,60,240,0%
18543,60,240,0%
18604,60,240,0%
18665,60,240,0%
18726,60,240,0%
18787,60,240,0%
18848,60,240,0%
18909,60,240,0%
18970,60,240,0%
19031,60,240,0%
19092,60,240,0%
19153,60,240,0%
19214,60,240,0%
19275,60,240,0%
19336,60,240,0%
19397,60,240,0%
19458,60,240,0%
19519,60,239,0%
19580,60,240,0%
19641,60,240,0%
19702,60,240,0%
19763,60,240,0%
19824,60,240,0%
19885,60,240,0%
19946,60,240,0%
20007,60,240,0%
20068,60,240,0%
20129,60,240,0%
20190,60,240,0%
20251,60,240,0%
20312,60,240,0%
20373,60,240,0%
20434,60,240,0%
20495,60,240,0%
20556,60,240,0%
20617,60,240,0%
20678,60,240,0%
20739,60,240,0%
20800,60,240,0%
20861,60,240,0%
20922,60,240,0%
20983,60,240,0%
21044,60,240,0%
21105,60,240,0%
21166,60,240,0%
21227,60,240,0%
21288,60,240,0%
21349,60,240,0%
21410,60,240,0%
21471,60,240,0%
21532,60,240,0%
21593,60,240,0%
21654,60,240,0%
21715,60,240,0%
21776,60,240,0%
21837,60,240,0%
21898,60,240,0%
21959,60,240,0%
22020,60,240,0%
22081,60,240,0%
22142,60,240,0%
22203,60,240,0%
22264,60,240,0%
22325,60,240,0%
22386,60,240,0%
22447,60,240,0%
22508,60,240,0%
22569,60,240,0%
22630,60,240,0%
22691,60,240,0%
22752,60,240,0%
22813,60,240,0%
22874,60,240,0%
22935,60,240,0%
22996,60,240,0%
23057,60,240,0%
23118,60,240,0%
23179,60,240,0%
23240,60,240,0%
23301,60,240,0%
23362,60,240,0%
23423,60,240,0%
23484,60,240,0%
23545,60,240,0%
23606,60,240,0%
23667,60,240,0%
23728,60,240,0%
23789,60,240,0%
23850,60,240,0%
23911,60,240,0%
23972,60,240,0%
24033,60,240,0%
24094,60,240,0%
24155,60,240,0%
24216,60,240,0%
24277,60,240,0%
24338,60,240,0%
24399,60,240,0%
24460,60,240,0%
24521,60,240,0%
24582,60,240,0%
24643,60,240,0%
24704,60,240,0%
24765,60,240,0%
24826,60,240,0%
24887,60,240,0%
24948,60,240,0%
25009,60,240,0%
25070,60,240,0%
25131,60,240,0%
25192,60,240,0%
25253,60,240,0%
25314,60,240,0%
25375,60,240,0%
25436,60,240,0%
25497,60,240,0%
25558,60,240,0%
25619,60,240,0%
25680,60,240,0%
25741,60,240,0%
25802,60,240,0%
25863,60,240,0%
25924,60,240,0%
25985,60,240,0%
26046,60,240,0%
26107,60,240,0%
26168,60,240,0%
26229,60,240,0%
26290,60,240,0%
26351,60,240,0%
26412,60,240,0%
26473,60,240,0%
26534,60,240,0%
26595,60,240,0%
26656,60,240,0%
26717,60,240,0%
26778,60,240,0%
26839,60,240,0%
26900,60,240,0%
26961,60,240,0%
27022,60,240,0%
27083,60,240,0%
27144,60,240,0%
27205,60,240,0%
27266,60,240,0%
27327,60,240,0%
27388,60,240,0%
27449,60,240,0%
27510,60,240,0%
27571,60,240,0%
27632,60,240,0%
27693,60,240,0%
27754,60,240,0%
27815,60,240,0%
27876,60,240,0%
27937,60,240,0%
27998,60,240,0%
28059,60,240,0%
28120,60,240,0%
28181,60,240,0%
28242,60,240,0%
28303,60,240,0%
28364,60,240,0%
28425,60,240,0%
28486,60,240,0%
28547,60,240,0%
28608,60,240,0%
28669,60,240,0%
28730,60,240,0%
28791,60,240,0%
28852,60,240,0%
28913,60,240,0%
28974,60,240,0%
29035,60,240,0%
29096,60,240,0%
29157,60,240,0%
29218,60,240,0%
29279,60,240,0%
29340,60,240,0%
29401,60,240,0%
29462,60,240,0%
29523,60,240,0%
29584,60,240,0%
29645,60,240,0%
29706,60,240,0%
29767,60,240,0%
29828,60,240,0%
29889,60,240,0%
29950,60,240,0%
30011,60,240,0%
30072,60,240,0%
30133,60,240,0%
30194,60,240,0%
30255,60,240,0%
30316,60,240,0%
30377,60,240,0%
30438,60,240,0%
30499,60,240,0%
30560,60,216,10%
30621,60,216,10%
30682,60,216,10%
30743,60,216,10%
30804,60,216,10%
30865,60,216,10%
30926,60,216,10%
30987,60,216,10%
31048,60,216,10%
31109,60,216,10%
31170,60,216,10%
31231,60,216,10%
31292,60,216,10%
31353,60,216,10%
31414,60,216,10%
31475,60,216,10%
31536,60,216,10%
31597,60,216,10%
31658,60,215,10%
31719,60,216,10%
31780,60,216,10%
31841,60,216,10%
31902,60,216,10%
31963,60,216,10%
32024,60,216,10%
32085,60,216,10%
