day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected	prob-outside-contagion
0	123457237	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
1	123457237	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.02	0
2	123457237	233	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.02	0
3	123457237	223	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	11	[]	0	0.02	2
4	123457237	204	31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	16	[]	0	0.02	3
5	123457237	184	41	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	20	[]	0	0.02	6
6	123457237	177	30	29	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	27	[]	0	0.02	9
7	123457237	174	23	36	5	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	30	[]	0	0.02	9
8	123457237	141	53	32	11	0	0	0	0	0	0	0	0	0	0	3	0	0	4	3	0	0	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	35	[]	0	0.02	10
9	123457237	107	75	38	17	0	0	0	0	0	0	0	0	0	0	3	0	0	5	3	0	0	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	39	[]	0	0.02	11
10	123457237	74	85	55	23	0	0	0	0	0	0	0	0	0	0	3	0	0	5	3	0	0	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	41	[]	0	0.02	11
11	123457237	52	92	64	29	0	0	0	0	0	0	0	0	0	0	3	0	0	5	3	0	0	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
12	123457237	37	81	83	35	0	0	0	0	0	0	1	0	0	0	2	1	0	6	3	0	1	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
13	123457237	37	61	96	42	0	0	0	0	0	0	1	0	0	0	1	2	0	6	3	0	1	3	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
14	123457237	37	45	101	51	0	0	0	0	0	0	1	0	0	0	3	2	0	6	5	0	1	5	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
15	123457237	19	44	101	67	0	0	0	0	0	0	1	0	0	0	6	2	0	6	8	0	1	8	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
16	123457237	8	43	100	78	0	0	0	0	0	0	3	0	0	0	4	4	0	8	8	0	3	8	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
17	123457237	6	32	95	95	0	0	0	0	0	0	2	1	0	0	5	4	0	8	9	0	3	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
18	123457237	5	25	84	113	0	0	0	0	0	0	3	1	0	0	5	4	0	9	9	0	4	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
19	123457237	4	17	82	123	0	0	0	0	0	0	4	1	0	0	5	4	0	10	9	0	5	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
20	123457237	4	16	73	134	0	0	0	0	0	0	3	2	0	0	4	4	0	11	9	0	5	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
21	123457237	4	14	63	147	0	0	0	0	0	0	3	2	0	0	4	3	0	11	9	0	5	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
22	123457237	3	12	62	152	0	0	0	0	0	0	2	3	0	0	3	3	0	14	9	0	5	9	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	12
23	123457237	3	9	55	161	0	0	0	0	0	0	2	3	0	0	3	4	0	16	10	0	5	10	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	11
24	123457237	1	9	51	166	0	0	0	0	0	0	1	4	0	0	4	4	0	17	11	0	5	11	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	11
25	123457237	1	5	50	171	0	0	0	0	0	0	1	4	0	0	3	5	0	17	11	0	5	11	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	11
26	123457237	1	5	42	179	0	0	0	0	0	0	0	4	0	0	4	5	0	19	12	0	5	12	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	11
27	123457237	1	5	37	184	0	0	0	0	0	0	0	4	0	0	3	6	0	21	12	0	5	12	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	11
28	123457237	1	2	35	191	0	0	0	0	0	0	0	4	0	0	2	5	0	21	12	0	5	12	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	10
29	123457237	1	2	34	195	0	0	0	0	0	0	0	4	0	0	2	2	0	21	12	0	5	12	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	10
30	123457237	1	2	25	205	0	0	0	0	0	0	0	2	0	0	3	2	0	21	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	10
31	123457237	1	1	21	211	0	0	0	0	0	0	0	2	0	0	2	2	0	21	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	8
32	123457237	1	1	20	213	0	0	0	0	0	0	0	1	0	0	2	2	0	24	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	7
33	123457237	0	2	18	216	0	0	0	0	0	0	0	0	0	0	2	2	0	24	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	7
34	123457237	0	2	14	220	0	0	0	0	0	0	0	0	0	0	2	2	0	24	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	7
35	123457237	0	1	12	223	0	0	0	0	0	0	0	0	0	0	2	2	0	24	13	0	5	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	6
36	123457237	0	1	8	226	0	0	0	0	0	0	1	0	0	0	2	2	0	26	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	5
37	123457237	0	1	6	229	0	0	0	0	0	0	1	0	0	0	2	1	0	29	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	4
38	123457237	0	0	7	230	0	0	0	0	0	0	1	0	0	0	2	0	0	29	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	5
39	123457237	0	0	6	231	0	0	0	0	0	0	1	0	0	0	2	0	0	29	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	5
40	123457237	0	0	5	233	0	0	0	0	0	0	1	0	0	0	1	0	0	29	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	5
41	123457237	0	0	5	233	0	0	0	0	0	0	1	0	0	0	1	0	0	29	13	0	6	13	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	45	[]	0	0.02	5
