,day,num-infected-outside,type,stat,type_pretty
0,0.0,0.0,num-infected-outside,mean,0%
1,1.0,0.0050000000000000044,num-infected-outside,mean,0%
2,2.0,-0.0413,num-infected-outside,mean,0%
3,3.0,0.020100000000000007,num-infected-outside,mean,0%
4,4.0,0.02090000000000003,num-infected-outside,mean,0%
5,5.0,0.07309999999999994,num-infected-outside,mean,0%
6,6.0,0.12749999999999995,num-infected-outside,mean,0%
7,7.0,0.13749999999999996,num-infected-outside,mean,0%
8,8.0,0.17359999999999998,num-infected-outside,mean,0%
9,9.0,0.14430000000000032,num-infected-outside,mean,0%
10,10.0,0.07999999999999963,num-infected-outside,mean,0%
11,11.0,0.09600000000000009,num-infected-outside,mean,0%
12,12.0,0.12190000000000012,num-infected-outside,mean,0%
13,13.0,0.0613999999999999,num-infected-outside,mean,0%
14,14.0,0.04420000000000002,num-infected-outside,mean,0%
15,15.0,0.03600000000000003,num-infected-outside,mean,0%
16,16.0,0.04589999999999961,num-infected-outside,mean,0%
17,17.0,0.07390000000000008,num-infected-outside,mean,0%
18,18.0,0.0979000000000001,num-infected-outside,mean,0%
19,19.0,0.043400000000000105,num-infected-outside,mean,0%
20,20.0,0.09549999999999947,num-infected-outside,mean,0%
21,21.0,0.0813000000000006,num-infected-outside,mean,0%
22,22.0,0.11739999999999995,num-infected-outside,mean,0%
23,23.0,0.1554000000000002,num-infected-outside,mean,0%
24,24.0,0.1181000000000001,num-infected-outside,mean,0%
25,25.0,0.16019999999999968,num-infected-outside,mean,0%
26,26.0,0.16100000000000048,num-infected-outside,mean,0%
27,27.0,0.15779999999999994,num-infected-outside,mean,0%
28,28.0,0.12929999999999975,num-infected-outside,mean,0%
29,29.0,0.11109999999999953,num-infected-outside,mean,0%
30,30.0,0.07570000000000032,num-infected-outside,mean,0%
31,31.0,0.07450000000000045,num-infected-outside,mean,0%
32,32.0,0.0671999999999997,num-infected-outside,mean,0%
33,33.0,0.06200000000000028,num-infected-outside,mean,0%
34,34.0,0.03149999999999942,num-infected-outside,mean,0%
35,35.0,-0.0027999999999996916,num-infected-outside,mean,0%
36,36.0,-0.021099999999999675,num-infected-outside,mean,0%
37,37.0,-0.03449999999999953,num-infected-outside,mean,0%
38,38.0,-0.019700000000000273,num-infected-outside,mean,0%
39,39.0,-0.0129999999999999,num-infected-outside,mean,0%
40,40.0,-0.06959999999999944,num-infected-outside,mean,0%
41,41.0,-0.060900000000000176,num-infected-outside,mean,0%
42,42.0,-0.04720000000000013,num-infected-outside,mean,0%
43,43.0,-0.07460000000000022,num-infected-outside,mean,0%
44,44.0,-0.08699999999999974,num-infected-outside,mean,0%
45,45.0,-0.11750000000000149,num-infected-outside,mean,0%
46,46.0,-0.12990000000000101,num-infected-outside,mean,0%
47,47.0,-0.11110000000000042,num-infected-outside,mean,0%
48,48.0,-0.0671999999999997,num-infected-outside,mean,0%
49,49.0,-0.06359999999999921,num-infected-outside,mean,0%
50,50.0,-0.04269999999999996,num-infected-outside,mean,0%
51,51.0,-0.02710000000000079,num-infected-outside,mean,0%
52,52.0,-0.011400000000000077,num-infected-outside,mean,0%
53,53.0,-0.007800000000001361,num-infected-outside,mean,0%
54,54.0,0.03210000000000157,num-infected-outside,mean,0%
55,55.0,-0.0235000000000003,num-infected-outside,mean,0%
56,56.0,-0.06400000000000006,num-infected-outside,mean,0%
57,57.0,-0.05630000000000024,num-infected-outside,mean,0%
58,58.0,-0.043699999999999406,num-infected-outside,mean,0%
59,59.0,-0.053000000000000824,num-infected-outside,mean,0%
60,60.0,-0.07869999999999955,num-infected-outside,mean,0%
61,0.0,0.0,num-infected-outside,mean,10%
62,1.0,0.015999999999999986,num-infected-outside,mean,10%
63,2.0,0.018899999999999972,num-infected-outside,mean,10%
64,3.0,-0.0033999999999999586,num-infected-outside,mean,10%
65,4.0,-0.02960000000000007,num-infected-outside,mean,10%
66,5.0,-0.03180000000000005,num-infected-outside,mean,10%
67,6.0,-0.03499999999999992,num-infected-outside,mean,10%
68,7.0,-0.06030000000000002,num-infected-outside,mean,10%
69,8.0,-0.07850000000000001,num-infected-outside,mean,10%
70,9.0,-0.1479999999999999,num-infected-outside,mean,10%
71,10.0,-0.12200000000000033,num-infected-outside,mean,10%
72,11.0,-0.1282000000000001,num-infected-outside,mean,10%
73,12.0,-0.11739999999999995,num-infected-outside,mean,10%
74,13.0,-0.11060000000000025,num-infected-outside,mean,10%
75,14.0,-0.05549999999999988,num-infected-outside,mean,10%
76,15.0,-0.0687000000000002,num-infected-outside,mean,10%
77,16.0,-0.04689999999999994,num-infected-outside,mean,10%
78,17.0,-0.05909999999999993,num-infected-outside,mean,10%
79,18.0,-0.07749999999999968,num-infected-outside,mean,10%
80,19.0,-0.030299999999999994,num-infected-outside,mean,10%
81,20.0,-0.01839999999999975,num-infected-outside,mean,10%
82,21.0,-0.03080000000000016,num-infected-outside,mean,10%
83,22.0,-0.019099999999999895,num-infected-outside,mean,10%
84,23.0,-0.001300000000000523,num-infected-outside,mean,10%
85,24.0,-0.021700000000000053,num-infected-outside,mean,10%
86,25.0,-0.026100000000000456,num-infected-outside,mean,10%
87,26.0,-0.010200000000000209,num-infected-outside,mean,10%
88,27.0,-0.015500000000000291,num-infected-outside,mean,10%
89,28.0,0.02629999999999999,num-infected-outside,mean,10%
90,29.0,-0.007200000000000095,num-infected-outside,mean,10%
91,30.0,-0.025599999999999845,num-infected-outside,mean,10%
92,31.0,-0.04499999999999993,num-infected-outside,mean,10%
93,32.0,-0.02010000000000023,num-infected-outside,mean,10%
94,33.0,0.015699999999999825,num-infected-outside,mean,10%
95,34.0,0.08480000000000043,num-infected-outside,mean,10%
96,35.0,0.1327000000000007,num-infected-outside,mean,10%
97,36.0,0.09720000000000084,num-infected-outside,mean,10%
98,37.0,0.08870000000000022,num-infected-outside,mean,10%
99,38.0,0.11650000000000027,num-infected-outside,mean,10%
100,39.0,0.12309999999999999,num-infected-outside,mean,10%
101,40.0,0.12479999999999958,num-infected-outside,mean,10%
102,41.0,0.11739999999999995,num-infected-outside,mean,10%
103,42.0,0.13809999999999967,num-infected-outside,mean,10%
104,43.0,0.10459999999999958,num-infected-outside,mean,10%
105,44.0,0.07509999999999906,num-infected-outside,mean,10%
106,45.0,0.06680000000000064,num-infected-outside,mean,10%
107,46.0,0.07220000000000049,num-infected-outside,mean,10%
108,47.0,0.06589999999999918,num-infected-outside,mean,10%
109,48.0,0.06639999999999979,num-infected-outside,mean,10%
110,49.0,0.01389999999999958,num-infected-outside,mean,10%
111,50.0,-0.013600000000000279,num-infected-outside,mean,10%
112,51.0,0.06839999999999868,num-infected-outside,mean,10%
113,52.0,0.0470000000000006,num-infected-outside,mean,10%
114,53.0,0.026499999999998636,num-infected-outside,mean,10%
115,54.0,0.019000000000000128,num-infected-outside,mean,10%
116,55.0,0.0365000000000002,num-infected-outside,mean,10%
117,56.0,-0.013099999999999667,num-infected-outside,mean,10%
118,57.0,0.010699999999999932,num-infected-outside,mean,10%
119,58.0,-0.004799999999999471,num-infected-outside,mean,10%
120,59.0,-0.06439999999999912,num-infected-outside,mean,10%
121,60.0,-0.05059999999999931,num-infected-outside,mean,10%
122,0.0,0.0,num-infected-outside,mean,40%
123,1.0,0.04189999999999999,num-infected-outside,mean,40%
124,2.0,0.10169999999999996,num-infected-outside,mean,40%
125,3.0,0.11439999999999995,num-infected-outside,mean,40%
126,4.0,0.10499999999999998,num-infected-outside,mean,40%
127,5.0,0.08140000000000003,num-infected-outside,mean,40%
128,6.0,0.07979999999999998,num-infected-outside,mean,40%
129,7.0,0.07939999999999992,num-infected-outside,mean,40%
130,8.0,0.06689999999999996,num-infected-outside,mean,40%
131,9.0,0.07840000000000003,num-infected-outside,mean,40%
132,10.0,0.11829999999999985,num-infected-outside,mean,40%
133,11.0,0.14490000000000003,num-infected-outside,mean,40%
134,12.0,0.15649999999999986,num-infected-outside,mean,40%
135,13.0,0.1722999999999999,num-infected-outside,mean,40%
136,14.0,0.16879999999999984,num-infected-outside,mean,40%
137,15.0,0.20050000000000034,num-infected-outside,mean,40%
138,16.0,0.21609999999999996,num-infected-outside,mean,40%
139,17.0,0.26280000000000037,num-infected-outside,mean,40%
140,18.0,0.2524000000000002,num-infected-outside,mean,40%
141,19.0,0.2641,num-infected-outside,mean,40%
142,20.0,0.24860000000000015,num-infected-outside,mean,40%
143,21.0,0.2591999999999999,num-infected-outside,mean,40%
144,22.0,0.23550000000000004,num-infected-outside,mean,40%
145,23.0,0.18579999999999997,num-infected-outside,mean,40%
146,24.0,0.18440000000000012,num-infected-outside,mean,40%
147,25.0,0.17479999999999984,num-infected-outside,mean,40%
148,26.0,0.15729999999999977,num-infected-outside,mean,40%
149,27.0,0.13159999999999972,num-infected-outside,mean,40%
150,28.0,0.12910000000000021,num-infected-outside,mean,40%
151,29.0,0.1255999999999995,num-infected-outside,mean,40%
152,30.0,0.11010000000000009,num-infected-outside,mean,40%
153,31.0,0.0602999999999998,num-infected-outside,mean,40%
154,32.0,0.08789999999999942,num-infected-outside,mean,40%
155,33.0,0.0743999999999998,num-infected-outside,mean,40%
156,34.0,0.09700000000000042,num-infected-outside,mean,40%
157,35.0,0.12560000000000038,num-infected-outside,mean,40%
158,36.0,0.13620000000000054,num-infected-outside,mean,40%
159,37.0,0.14979999999999993,num-infected-outside,mean,40%
160,38.0,0.13020000000000032,num-infected-outside,mean,40%
161,39.0,0.12570000000000014,num-infected-outside,mean,40%
162,40.0,0.13619999999999965,num-infected-outside,mean,40%
163,41.0,0.12159999999999993,num-infected-outside,mean,40%
164,42.0,0.11909999999999954,num-infected-outside,mean,40%
165,43.0,0.10960000000000036,num-infected-outside,mean,40%
166,44.0,0.12509999999999977,num-infected-outside,mean,40%
167,45.0,0.13480000000000025,num-infected-outside,mean,40%
168,46.0,0.12919999999999998,num-infected-outside,mean,40%
169,47.0,0.1346999999999996,num-infected-outside,mean,40%
170,48.0,0.1482000000000001,num-infected-outside,mean,40%
171,49.0,0.14360000000000017,num-infected-outside,mean,40%
172,50.0,0.14609999999999967,num-infected-outside,mean,40%
173,51.0,0.1324999999999994,num-infected-outside,mean,40%
174,52.0,0.1761999999999997,num-infected-outside,mean,40%
175,53.0,0.1726000000000001,num-infected-outside,mean,40%
176,54.0,0.15190000000000037,num-infected-outside,mean,40%
177,55.0,0.1363000000000003,num-infected-outside,mean,40%
178,56.0,0.12370000000000037,num-infected-outside,mean,40%
179,57.0,0.14619999999999944,num-infected-outside,mean,40%
180,58.0,0.14670000000000005,num-infected-outside,mean,40%
181,59.0,0.15310000000000024,num-infected-outside,mean,40%
182,60.0,0.10949999999999971,num-infected-outside,mean,40%
183,0.0,0.0,num-infected-outside,variance,0%
184,1.0,0.0032000000000000084,num-infected-outside,variance,0%
185,2.0,-0.0857,num-infected-outside,variance,0%
186,3.0,-0.0888000000000001,num-infected-outside,variance,0%
187,4.0,-0.049800000000000066,num-infected-outside,variance,0%
188,5.0,-0.05570000000000008,num-infected-outside,variance,0%
189,6.0,0.20010000000000017,num-infected-outside,variance,0%
190,7.0,0.14790000000000014,num-infected-outside,variance,0%
191,8.0,0.07410000000000005,num-infected-outside,variance,0%
192,9.0,0.13319999999999999,num-infected-outside,variance,0%
193,10.0,0.0461999999999998,num-infected-outside,variance,0%
194,11.0,0.09920000000000018,num-infected-outside,variance,0%
195,12.0,0.0714999999999999,num-infected-outside,variance,0%
196,13.0,0.0472999999999999,num-infected-outside,variance,0%
197,14.0,0.19199999999999973,num-infected-outside,variance,0%
198,15.0,0.13569999999999993,num-infected-outside,variance,0%
199,16.0,0.27,num-infected-outside,variance,0%
200,17.0,0.3929,num-infected-outside,variance,0%
201,18.0,0.3546999999999998,num-infected-outside,variance,0%
