,day,num-infected-outside,type,stat,type_pretty
0,0.0,0.0,num-infected-outside,mean,0%
1,1.0,0.026400000000000007,num-infected-outside,mean,0%
2,2.0,0.0012000000000000344,num-infected-outside,mean,0%
3,3.0,0.09460000000000002,num-infected-outside,mean,0%
4,4.0,0.10660000000000003,num-infected-outside,mean,0%
5,5.0,0.1299999999999999,num-infected-outside,mean,0%
6,6.0,0.18100000000000005,num-infected-outside,mean,0%
7,7.0,0.2277,num-infected-outside,mean,0%
8,8.0,0.3005,num-infected-outside,mean,0%
9,9.0,0.2721,num-infected-outside,mean,0%
10,10.0,0.1783999999999999,num-infected-outside,mean,0%
11,11.0,0.1905000000000001,num-infected-outside,mean,0%
12,12.0,0.19229999999999992,num-infected-outside,mean,0%
13,13.0,0.19819999999999993,num-infected-outside,mean,0%
14,14.0,0.16179999999999994,num-infected-outside,mean,0%
15,15.0,0.15470000000000006,num-infected-outside,mean,0%
16,16.0,0.21119999999999983,num-infected-outside,mean,0%
17,17.0,0.17980000000000063,num-infected-outside,mean,0%
18,18.0,0.26040000000000063,num-infected-outside,mean,0%
19,19.0,0.24219999999999953,num-infected-outside,mean,0%
20,20.0,0.22489999999999988,num-infected-outside,mean,0%
21,21.0,0.25710000000000033,num-infected-outside,mean,0%
22,22.0,0.2793000000000001,num-infected-outside,mean,0%
23,23.0,0.27810000000000024,num-infected-outside,mean,0%
24,24.0,0.2267999999999999,num-infected-outside,mean,0%
25,25.0,0.32559999999999967,num-infected-outside,mean,0%
26,26.0,0.28200000000000003,num-infected-outside,mean,0%
27,27.0,0.27470000000000017,num-infected-outside,mean,0%
28,28.0,0.25710000000000033,num-infected-outside,mean,0%
29,29.0,0.2751999999999999,num-infected-outside,mean,0%
30,30.0,0.24580000000000002,num-infected-outside,mean,0%
31,31.0,0.2505000000000006,num-infected-outside,mean,0%
32,32.0,0.27939999999999987,num-infected-outside,mean,0%
33,33.0,0.28520000000000056,num-infected-outside,mean,0%
34,34.0,0.26069999999999993,num-infected-outside,mean,0%
35,35.0,0.17159999999999975,num-infected-outside,mean,0%
36,36.0,0.1189,num-infected-outside,mean,0%
37,37.0,0.07610000000000028,num-infected-outside,mean,0%
38,38.0,0.07670000000000066,num-infected-outside,mean,0%
39,39.0,0.05880000000000152,num-infected-outside,mean,0%
40,40.0,0.007900000000001128,num-infected-outside,mean,0%
41,41.0,0.05299999999999905,num-infected-outside,mean,0%
42,42.0,0.06259999999999977,num-infected-outside,mean,0%
43,43.0,0.040899999999998826,num-infected-outside,mean,0%
44,44.0,0.059499999999999886,num-infected-outside,mean,0%
45,45.0,0.00429999999999886,num-infected-outside,mean,0%
46,46.0,-0.02230000000000132,num-infected-outside,mean,0%
47,47.0,-0.017699999999999605,num-infected-outside,mean,0%
48,48.0,0.022299999999999542,num-infected-outside,mean,0%
49,49.0,0.08740000000000059,num-infected-outside,mean,0%
50,50.0,0.0990000000000002,num-infected-outside,mean,0%
51,51.0,0.10529999999999973,num-infected-outside,mean,0%
52,52.0,0.0968,num-infected-outside,mean,0%
53,53.0,0.025399999999999423,num-infected-outside,mean,0%
54,54.0,0.05109999999999992,num-infected-outside,mean,0%
55,55.0,-0.019099999999999895,num-infected-outside,mean,0%
56,56.0,-0.05389999999999873,num-infected-outside,mean,0%
57,57.0,-0.07559999999999967,num-infected-outside,mean,0%
58,58.0,-0.09759999999999991,num-infected-outside,mean,0%
59,59.0,-0.0708000000000002,num-infected-outside,mean,0%
60,60.0,-0.07559999999999967,num-infected-outside,mean,0%
61,0.0,0.0,num-infected-outside,mean,10%
62,1.0,-0.06360000000000002,num-infected-outside,mean,10%
63,2.0,0.04139999999999999,num-infected-outside,mean,10%
64,3.0,0.010099999999999998,num-infected-outside,mean,10%
65,4.0,0.015100000000000002,num-infected-outside,mean,10%
66,5.0,0.03909999999999991,num-infected-outside,mean,10%
67,6.0,0.07739999999999991,num-infected-outside,mean,10%
68,7.0,0.07840000000000003,num-infected-outside,mean,10%
69,8.0,0.09640000000000004,num-infected-outside,mean,10%
70,9.0,0.01760000000000006,num-infected-outside,mean,10%
71,10.0,0.024499999999999744,num-infected-outside,mean,10%
72,11.0,0.05469999999999997,num-infected-outside,mean,10%
73,12.0,0.07670000000000021,num-infected-outside,mean,10%
74,13.0,0.0996999999999999,num-infected-outside,mean,10%
75,14.0,0.1560999999999999,num-infected-outside,mean,10%
76,15.0,0.09839999999999982,num-infected-outside,mean,10%
77,16.0,0.09099999999999975,num-infected-outside,mean,10%
78,17.0,0.06459999999999999,num-infected-outside,mean,10%
79,18.0,-0.00849999999999973,num-infected-outside,mean,10%
80,19.0,-0.03069999999999995,num-infected-outside,mean,10%
81,20.0,-0.027899999999999814,num-infected-outside,mean,10%
82,21.0,-0.1001000000000003,num-infected-outside,mean,10%
83,22.0,-0.1631999999999998,num-infected-outside,mean,10%
84,23.0,-0.12400000000000055,num-infected-outside,mean,10%
85,24.0,-0.1639999999999997,num-infected-outside,mean,10%
86,25.0,-0.1372,num-infected-outside,mean,10%
87,26.0,-0.08000000000000007,num-infected-outside,mean,10%
88,27.0,-0.07430000000000003,num-infected-outside,mean,10%
89,28.0,-0.046499999999999986,num-infected-outside,mean,10%
90,29.0,-0.11969999999999992,num-infected-outside,mean,10%
91,30.0,-0.1374000000000004,num-infected-outside,mean,10%
92,31.0,-0.18120000000000047,num-infected-outside,mean,10%
93,32.0,-0.16049999999999986,num-infected-outside,mean,10%
94,33.0,-0.1084000000000005,num-infected-outside,mean,10%
95,34.0,-0.08349999999999991,num-infected-outside,mean,10%
96,35.0,-0.029499999999999638,num-infected-outside,mean,10%
97,36.0,-0.034099999999999575,num-infected-outside,mean,10%
98,37.0,-0.011499999999999844,num-infected-outside,mean,10%
99,38.0,-0.02320000000000011,num-infected-outside,mean,10%
100,39.0,-0.08149999999999924,num-infected-outside,mean,10%
101,40.0,-0.03359999999999985,num-infected-outside,mean,10%
102,41.0,-0.019899999999999807,num-infected-outside,mean,10%
103,42.0,0.057299999999999685,num-infected-outside,mean,10%
104,43.0,0.009299999999999642,num-infected-outside,mean,10%
105,44.0,0.000700000000000145,num-infected-outside,mean,10%
106,45.0,0.018299999999999983,num-infected-outside,mean,10%
107,46.0,0.04470000000000063,num-infected-outside,mean,10%
