,day,infected,type,stat,type_pretty
116,55.0,0.2919999999999998,infected,mean,10%
117,56.0,0.4378000000000002,infected,mean,10%
118,57.0,-0.10239999999999982,infected,mean,10%
119,58.0,-0.246,infected,mean,10%
120,59.0,-0.22650000000000015,infected,mean,10%
121,60.0,-0.12060000000000004,infected,mean,10%
122,0.0,0.0,infected,mean,40%
123,1.0,0.0,infected,mean,40%
124,2.0,0.0338,infected,mean,40%
125,3.0,0.03949999999999999,infected,mean,40%
126,4.0,0.017100000000000004,infected,mean,40%
127,5.0,0.07080000000000003,infected,mean,40%
128,6.0,0.05720000000000003,infected,mean,40%
129,7.0,0.028799999999999937,infected,mean,40%
130,8.0,-0.024500000000000022,infected,mean,40%
131,9.0,-0.04069999999999996,infected,mean,40%
132,10.0,0.01529999999999998,infected,mean,40%
133,11.0,-0.10709999999999997,infected,mean,40%
134,12.0,-0.09529999999999994,infected,mean,40%
135,13.0,-0.11959999999999993,infected,mean,40%
136,14.0,-0.061900000000000066,infected,mean,40%
137,15.0,-0.25360000000000005,infected,mean,40%
138,16.0,-0.2439,infected,mean,40%
139,17.0,-0.1432,infected,mean,40%
140,18.0,0.02200000000000002,infected,mean,40%
141,19.0,0.030100000000000016,infected,mean,40%
142,20.0,0.06719999999999993,infected,mean,40%
143,21.0,-0.010600000000000165,infected,mean,40%
144,22.0,-0.1260000000000001,infected,mean,40%
145,23.0,0.0026999999999999247,infected,mean,40%
146,24.0,-0.0040999999999999925,infected,mean,40%
147,25.0,0.018399999999999972,infected,mean,40%
148,26.0,-0.07229999999999981,infected,mean,40%
149,27.0,-0.16590000000000016,infected,mean,40%
150,28.0,-0.17140000000000022,infected,mean,40%
151,29.0,-0.24690000000000012,infected,mean,40%
152,30.0,-0.21060000000000012,infected,mean,40%
153,31.0,-0.24130000000000007,infected,mean,40%
154,32.0,-0.2973999999999999,infected,mean,40%
155,33.0,-0.3738999999999999,infected,mean,40%
156,34.0,-0.3847999999999998,infected,mean,40%
157,35.0,-0.37280000000000024,infected,mean,40%
158,36.0,-0.16610000000000014,infected,mean,40%
159,37.0,-0.25950000000000006,infected,mean,40%
160,38.0,-0.2592000000000001,infected,mean,40%
161,39.0,-0.24819999999999998,infected,mean,40%
162,40.0,-0.14400000000000013,infected,mean,40%
163,41.0,0.007299999999999862,infected,mean,40%
164,42.0,-0.3031999999999999,infected,mean,40%
165,43.0,-0.08140000000000014,infected,mean,40%
166,44.0,-0.044399999999999995,infected,mean,40%
167,45.0,-0.04379999999999984,infected,mean,40%
168,46.0,-0.12860000000000005,infected,mean,40%
169,47.0,-0.2197,infected,mean,40%
170,48.0,-0.13459999999999983,infected,mean,40%
171,49.0,-0.1796000000000002,infected,mean,40%
172,50.0,-0.2651000000000001,infected,mean,40%
173,51.0,-0.23120000000000007,infected,mean,40%
174,52.0,-0.21840000000000015,infected,mean,40%
175,53.0,-0.2368999999999999,infected,mean,40%
176,54.0,-0.1560999999999999,infected,mean,40%
177,55.0,-0.08499999999999996,infected,mean,40%
178,56.0,-0.10289999999999999,infected,mean,40%
179,57.0,-0.04610000000000003,infected,mean,40%
180,58.0,-0.04090000000000016,infected,mean,40%
181,59.0,-0.0728000000000002,infected,mean,40%
182,60.0,-0.06559999999999988,infected,mean,40%
183,0.0,0.0,infected,variance,0%
184,1.0,0.0,infected,variance,0%
185,2.0,0.0271,infected,variance,0%
186,3.0,0.08850000000000002,infected,variance,0%
187,4.0,0.07580000000000009,infected,variance,0%
188,5.0,0.1564000000000001,infected,variance,0%
189,6.0,1.2254,infected,variance,0%
190,7.0,0.6613000000000002,infected,variance,0%
191,8.0,-0.04689999999999994,infected,variance,0%
192,9.0,0.4784999999999999,infected,variance,0%
193,10.0,0.3184,infected,variance,0%
194,11.0,1.4653,infected,variance,0%
195,12.0,0.3049999999999997,infected,variance,0%
196,13.0,2.379200000000001,infected,variance,0%
197,14.0,2.157499999999999,infected,variance,0%
198,15.0,-0.6316999999999999,infected,variance,0%
199,16.0,-0.1985999999999999,infected,variance,0%
200,17.0,-0.6137999999999995,infected,variance,0%
201,18.0,-2.7735000000000003,infected,variance,0%
202,19.0,-0.8234000000000012,infected,variance,0%
203,20.0,1.5378000000000007,infected,variance,0%
204,21.0,2.180399999999999,infected,variance,0%
205,22.0,1.2001,infected,variance,0%
206,23.0,1.8512000000000004,infected,variance,0%
207,24.0,2.1616,infected,variance,0%
208,25.0,4.651299999999999,infected,variance,0%
209,26.0,4.390000000000001,infected,variance,0%
210,27.0,2.1358999999999995,infected,variance,0%
211,28.0,1.5828000000000024,infected,variance,0%
212,29.0,-1.4463,infected,variance,0%
213,30.0,-1.4323000000000006,infected,variance,0%
214,31.0,-0.13729999999999976,infected,variance,0%
215,32.0,-0.8832000000000004,infected,variance,0%
216,33.0,-0.4900999999999982,infected,variance,0%
217,34.0,0.5619000000000014,infected,variance,0%
218,35.0,2.0599999999999987,infected,variance,0%
219,36.0,0.2928000000000006,infected,variance,0%
220,37.0,0.20639999999999947,infected,variance,0%
221,38.0,0.729000000000001,infected,variance,0%
222,39.0,1.7562999999999995,infected,variance,0%
223,40.0,-0.7724000000000011,infected,variance,0%
224,41.0,-2.1520999999999972,infected,variance,0%
225,42.0,-12.1928,infected,variance,0%
226,43.0,-2.0901000000000005,infected,variance,0%
227,44.0,-2.8951000000000002,infected,variance,0%
228,45.0,-3.3302000000000005,infected,variance,0%
229,46.0,-3.2401999999999997,infected,variance,0%
230,47.0,-3.0820000000000007,infected,variance,0%
231,48.0,2.3073000000000015,infected,variance,0%
232,49.0,0.2516999999999996,infected,variance,0%
233,50.0,-1.8435000000000001,infected,variance,0%
234,51.0,-2.0873000000000004,infected,variance,0%
235,52.0,-2.3941999999999997,infected,variance,0%
236,53.0,-1.8581000000000003,infected,variance,0%
237,54.0,-4.7452000000000005,infected,variance,0%
238,55.0,-6.740199999999998,infected,variance,0%
239,56.0,-6.5518,infected,variance,0%
240,57.0,-0.5836999999999999,infected,variance,0%
241,58.0,-0.6048,infected,variance,0%
242,59.0,-0.6387,infected,variance,0%
243,60.0,-1.8505000000000003,infected,variance,0%
244,0.0,0.0,infected,variance,10%
245,1.0,0.0,infected,variance,10%
246,2.0,-0.00520000000000001,infected,variance,10%
247,3.0,-0.0718,infected,variance,10%
248,4.0,-0.14529999999999998,infected,variance,10%
249,5.0,-0.08089999999999997,infected,variance,10%
250,6.0,-0.3897999999999999,infected,variance,10%
251,7.0,-0.11129999999999995,infected,variance,10%
252,8.0,0.15689999999999982,infected,variance,10%
253,9.0,0.544,infected,variance,10%
254,10.0,0.46110000000000007,infected,variance,10%
255,11.0,-0.025900000000000034,infected,variance,10%
256,12.0,-0.034399999999999764,infected,variance,10%
257,13.0,-1.0351999999999997,infected,variance,10%
258,14.0,-1.1590999999999987,infected,variance,10%
259,15.0,-0.403,infected,variance,10%
260,16.0,-0.40690000000000026,infected,variance,10%
261,17.0,-1.2775000000000007,infected,variance,10%
262,18.0,-1.3605999999999998,infected,variance,10%
263,19.0,-0.279399999999999,infected,variance,10%
264,20.0,0.9515999999999991,infected,variance,10%
265,21.0,3.742000000000001,infected,variance,10%
266,22.0,-0.5775000000000006,infected,variance,10%
267,23.0,-0.5693000000000001,infected,variance,10%
268,24.0,1.3294999999999995,infected,variance,10%
269,25.0,2.2988,infected,variance,10%
270,26.0,2.2860999999999976,infected,variance,10%
271,27.0,5.025600000000001,infected,variance,10%
272,28.0,2.2958999999999996,infected,variance,10%
273,29.0,0.31149999999999967,infected,variance,10%
274,30.0,-0.7971999999999992,infected,variance,10%
275,31.0,-1.9410000000000007,infected,variance,10%
276,32.0,-2.4826999999999995,infected,variance,10%
277,33.0,-1.2685999999999993,infected,variance,10%
278,34.0,1.5275999999999996,infected,variance,10%
279,35.0,1.019400000000001,infected,variance,10%
280,36.0,-0.5317000000000003,infected,variance,10%
281,37.0,0.1257999999999999,infected,variance,10%
282,38.0,-0.7158999999999995,infected,variance,10%
283,39.0,0.2690999999999999,infected,variance,10%
284,40.0,-0.3838999999999988,infected,variance,10%
285,41.0,2.145599999999998,infected,variance,10%
286,42.0,4.504700000000003,infected,variance,10%
287,43.0,1.3556000000000004,infected,variance,10%
288,44.0,0.2793000000000001,infected,variance,10%
289,45.0,0.9066000000000001,infected,variance,10%
290,46.0,0.6184999999999992,infected,variance,10%
291,47.0,1.7005999999999997,infected,variance,10%
292,48.0,-0.6632999999999996,infected,variance,10%
293,49.0,0.5581999999999994,infected,variance,10%
294,50.0,-0.3573000000000004,infected,variance,10%
295,51.0,-0.5961000000000003,infected,variance,10%
296,52.0,0.7702999999999998,infected,variance,10%
297,53.0,1.0831,infected,variance,10%
298,54.0,1.0016999999999996,infected,variance,10%
299,55.0,1.1402999999999999,infected,variance,10%
300,56.0,1.6645000000000003,infected,variance,10%
301,57.0,-0.6852,infected,variance,10%
302,58.0,-1.6215000000000002,infected,variance,10%
303,59.0,-1.7526000000000002,infected,variance,10%
304,60.0,-1.6307999999999998,infected,variance,10%
305,0.0,0.0,infected,variance,40%
306,1.0,0.0,infected,variance,40%
307,2.0,0.025800000000000003,infected,variance,40%
308,3.0,0.07490000000000001,infected,variance,40%
309,4.0,0.01350000000000004,infected,variance,40%
310,5.0,0.006000000000000005,infected,variance,40%
311,6.0,0.21429999999999993,infected,variance,40%
312,7.0,0.18190000000000006,infected,variance,40%
313,8.0,-0.05069999999999997,infected,variance,40%
314,9.0,-0.02950000000000008,infected,variance,40%
315,10.0,0.2278,infected,variance,40%
316,11.0,-0.2512000000000001,infected,variance,40%
317,12.0,-0.5623999999999998,infected,variance,40%
318,13.0,-0.4213,infected,variance,40%
319,14.0,-0.548,infected,variance,40%
320,15.0,-0.7867,infected,variance,40%
321,16.0,-1.0094999999999998,infected,variance,40%
322,17.0,-1.1824,infected,variance,40%
323,18.0,-1.1957,infected,variance,40%
324,19.0,-1.2740000000000005,infected,variance,40%
325,20.0,-0.38619999999999965,infected,variance,40%
326,21.0,-0.4660000000000002,infected,variance,40%
327,22.0,-0.34079999999999977,infected,variance,40%
328,23.0,-0.15249999999999986,infected,variance,40%
329,24.0,-0.3769,infected,variance,40%
330,25.0,-1.0706000000000002,infected,variance,40%
331,26.0,-1.3502999999999998,infected,variance,40%
332,27.0,-1.9677000000000007,infected,variance,40%
333,28.0,-1.9636000000000005,infected,variance,40%
334,29.0,-0.5061,infected,variance,40%
335,30.0,-0.03699999999999992,infected,variance,40%
336,31.0,-0.016600000000000392,infected,variance,40%
337,32.0,-0.5915000000000008,infected,variance,40%
338,33.0,-1.7877,infected,variance,40%
339,34.0,-1.4170999999999996,infected,variance,40%
340,35.0,-1.3270999999999997,infected,variance,40%
341,36.0,-0.13770000000000016,infected,variance,40%
342,37.0,-0.4745999999999997,infected,variance,40%
343,38.0,-0.7496,infected,variance,40%
344,39.0,-1.0615999999999999,infected,variance,40%
345,40.0,0.4634999999999998,infected,variance,40%
346,41.0,0.14239999999999942,infected,variance,40%
347,42.0,-1.1063999999999998,infected,variance,40%
348,43.0,-0.8808,infected,variance,40%
349,44.0,-0.6784999999999997,infected,variance,40%
350,45.0,-0.7211999999999996,infected,variance,40%
351,46.0,-0.32479999999999976,infected,variance,40%
352,47.0,-1.0359000000000007,infected,variance,40%
353,48.0,-0.24760000000000026,infected,variance,40%
354,49.0,-0.38649999999999984,infected,variance,40%
355,50.0,-1.207,infected,variance,40%
356,51.0,-1.1355999999999997,infected,variance,40%
357,52.0,-1.25,infected,variance,40%
358,53.0,-1.0684000000000005,infected,variance,40%
359,54.0,-0.8445999999999998,infected,variance,40%
360,55.0,-0.6471999999999998,infected,variance,40%
361,56.0,-0.34109999999999996,infected,variance,40%
362,57.0,-0.6138999999999999,infected,variance,40%
363,58.0,-0.6351999999999998,infected,variance,40%
364,59.0,-0.6084,infected,variance,40%
365,60.0,-0.3205999999999998,infected,variance,40%
366,0.0,0.0,infected,left,0%
367,1.0,0.0,infected,left,0%
368,2.0,-0.022299999999999997,infected,left,0%
369,3.0,-0.0417,infected,left,0%
370,4.0,-0.0912,infected,left,0%
371,5.0,-0.1391,infected,left,0%
372,6.0,-0.04700000000000004,infected,left,0%
373,7.0,-0.10749999999999993,infected,left,0%
374,8.0,-0.13259999999999994,infected,left,0%
375,9.0,-0.08020000000000016,infected,left,0%
376,10.0,-0.09009999999999985,infected,left,0%
377,11.0,-0.025299999999999878,infected,left,0%
378,12.0,-0.14270000000000005,infected,left,0%
379,13.0,-0.11730000000000018,infected,left,0%
380,14.0,-0.3001999999999998,infected,left,0%
381,15.0,-0.19379999999999997,infected,left,0%
382,16.0,-0.19989999999999997,infected,left,0%
383,17.0,-0.30459999999999976,infected,left,0%
384,18.0,-0.46530000000000005,infected,left,0%
385,19.0,-0.38539999999999974,infected,left,0%
386,20.0,-0.5040999999999993,infected,left,0%
387,21.0,-0.28889999999999993,infected,left,0%
388,22.0,-0.15910000000000002,infected,left,0%
389,23.0,-0.18169999999999975,infected,left,0%
390,24.0,-0.35160000000000036,infected,left,0%
391,25.0,-0.29380000000000006,infected,left,0%
392,26.0,-0.3838999999999997,infected,left,0%
393,27.0,-0.9916,infected,left,0%
394,28.0,-1.0087000000000002,infected,left,0%
395,29.0,-0.43689999999999984,infected,left,0%
396,30.0,-0.4562000000000004,infected,left,0%
397,31.0,-0.5037000000000003,infected,left,0%
398,32.0,-0.6286999999999998,infected,left,0%
399,33.0,-0.6028000000000002,infected,left,0%
400,34.0,-0.4117000000000006,infected,left,0%
401,35.0,-0.27590000000000003,infected,left,0%
402,36.0,-0.2824,infected,left,0%
403,37.0,-0.49150000000000005,infected,left,0%
404,38.0,-0.5390000000000001,infected,left,0%
405,39.0,-0.6080000000000001,infected,left,0%
406,40.0,-0.7969999999999997,infected,left,0%
407,41.0,-0.9797000000000002,infected,left,0%
408,42.0,-1.6106999999999996,infected,left,0%
409,43.0,-0.7485,infected,left,0%
410,44.0,-0.8542000000000001,infected,left,0%
411,45.0,-1.0642,infected,left,0%
412,46.0,-1.1038000000000001,infected,left,0%
413,47.0,-1.2422000000000004,infected,left,0%
414,48.0,-1.1308999999999996,infected,left,0%
415,49.0,-1.4665000000000004,infected,left,0%
416,50.0,-0.48860000000000015,infected,left,0%
417,51.0,-0.6206,infected,left,0%
418,52.0,-0.5934999999999997,infected,left,0%
419,53.0,-0.7347999999999999,infected,left,0%
