,day,infected,type,stat,type_pretty
0,0.0,0.0,infected,mean,0%
1,1.0,0.0,infected,mean,0%
2,2.0,-0.0032000000000000015,infected,mean,0%
3,3.0,0.0031000000000000194,infected,mean,0%
4,4.0,0.009199999999999986,infected,mean,0%
5,5.0,0.0038000000000000256,infected,mean,0%
6,6.0,0.07750000000000012,infected,mean,0%
7,7.0,0.036799999999999944,infected,mean,0%
8,8.0,0.03059999999999996,infected,mean,0%
9,9.0,0.05369999999999986,infected,mean,0%
10,10.0,0.05059999999999998,infected,mean,0%
11,11.0,0.11399999999999988,infected,mean,0%
12,12.0,0.10959999999999992,infected,mean,0%
13,13.0,0.2333999999999996,infected,mean,0%
14,14.0,0.13470000000000004,infected,mean,0%
15,15.0,-0.02159999999999984,infected,mean,0%
16,16.0,-0.03630000000000022,infected,mean,0%
17,17.0,-0.04590000000000005,infected,mean,0%
18,18.0,-0.0235000000000003,infected,mean,0%
19,19.0,0.06599999999999984,infected,mean,0%
20,20.0,0.06020000000000003,infected,mean,0%
21,21.0,0.23150000000000048,infected,mean,0%
22,22.0,-0.03960000000000008,infected,mean,0%
23,23.0,-0.018299999999999983,infected,mean,0%
24,24.0,0.023100000000000342,infected,mean,0%
25,25.0,-0.03459999999999974,infected,mean,0%
26,26.0,-0.08090000000000064,infected,mean,0%
27,27.0,-0.1772999999999998,infected,mean,0%
28,28.0,-0.16019999999999968,infected,mean,0%
29,29.0,-0.16330000000000022,infected,mean,0%
30,30.0,-0.15870000000000006,infected,mean,0%
31,31.0,-0.1535000000000002,infected,mean,0%
32,32.0,-0.2654000000000001,infected,mean,0%
33,33.0,-0.18950000000000067,infected,mean,0%
34,34.0,-0.13790000000000013,infected,mean,0%
35,35.0,-0.14100000000000001,infected,mean,0%
36,36.0,-0.11630000000000007,infected,mean,0%
37,37.0,-0.2286999999999999,infected,mean,0%
38,38.0,-0.23760000000000003,infected,mean,0%
39,39.0,-0.3519000000000001,infected,mean,0%
40,40.0,-0.4091,infected,mean,0%
41,41.0,-0.5236000000000001,infected,mean,0%
42,42.0,-0.8141999999999996,infected,mean,0%
43,43.0,-0.24219999999999997,infected,mean,0%
44,44.0,-0.2612000000000001,infected,mean,0%
45,45.0,-0.3367,infected,mean,0%
46,46.0,-0.3285,infected,mean,0%
47,47.0,-0.39239999999999986,infected,mean,0%
48,48.0,-0.3305000000000007,infected,mean,0%
49,49.0,-0.40390000000000015,infected,mean,0%
50,50.0,-0.2136,infected,mean,0%
51,51.0,-0.23970000000000002,infected,mean,0%
52,52.0,-0.13850000000000007,infected,mean,0%
53,53.0,-0.11990000000000034,infected,mean,0%
54,54.0,-0.20829999999999993,infected,mean,0%
55,55.0,-0.09380000000000077,infected,mean,0%
56,56.0,-0.17680000000000007,infected,mean,0%
57,57.0,0.013699999999999823,infected,mean,0%
58,58.0,-0.007600000000000051,infected,mean,0%
59,59.0,0.04280000000000017,infected,mean,0%
60,60.0,-0.059100000000000374,infected,mean,0%
61,0.0,0.0,infected,mean,10%
62,1.0,0.0,infected,mean,10%
63,2.0,-0.0119,infected,mean,10%
