day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457030	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	27	0	0	0	0	[]	0	0
1	123457030	251	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	27	0	0	0	12	[]	0	0
2	123457030	208	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	27	0	0	0	27	[]	0	3
3	123457030	134	110	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	27	0	0	0	34	[]	0	8
4	123457030	52	152	54	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	50	27	0	0	0	41	[]	0	12
5	123457030	12	128	51	12	3	22	29	3	0	0	1	0	0	0	2	0	57	5	2	29	1	2	50	27	0	0	0	46	[1C 1B 3B]	3	12
6	123457030	12	93	63	15	3	24	39	10	0	0	1	0	0	0	3	0	76	5	3	35	1	3	50	27	0	0	0	46	[1C 1B 3B 2A]	4	12
7	123457030	9	41	60	13	6	38	68	21	0	0	1	0	0	0	5	1	133	6	6	64	1	6	50	27	0	0	0	46	[1C 1B 3B 2A 3A 2C 2B]	7	12
8	123457030	7	17	31	8	7	44	94	45	0	0	1	0	0	0	8	1	190	6	9	94	1	9	50	27	0	0	0	47	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C]	10	12
9	123457030	7	7	21	8	7	39	105	58	0	0	1	1	0	0	8	1	209	7	9	103	2	9	50	27	0	0	0	47	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
10	123457030	7	4	21	11	7	26	99	77	0	0	1	1	0	0	6	3	209	7	9	103	2	9	50	27	0	0	0	47	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
11	123457030	5	5	21	12	7	17	92	93	0	0	1	1	0	0	5	4	209	7	9	103	2	9	50	27	0	0	0	49	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
12	123457030	5	3	20	15	7	12	82	108	0	0	1	1	0	0	5	4	209	7	9	103	2	9	50	27	0	0	0	49	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
13	123457030	5	2	16	20	7	5	75	122	0	0	1	1	0	0	3	6	209	7	9	103	2	9	50	27	0	0	0	49	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
14	123457030	4	2	15	22	7	3	65	134	0	0	1	1	0	0	3	6	209	7	9	103	2	9	50	27	0	0	0	50	[1C 1B 3B 2A 3A 2C 2B 1D 1A 3C 3D]	11	12
15	123457030	7	1	7	68	4	3	46	118	0	0	2	0	0	0	3	4	228	8	9	107	3	9	50	27	0	0	0	50	[2A 3A 2C 2B 1D 1A 3C 3D 2D]	9	9
16	123457030	7	1	7	88	4	2	36	110	0	0	2	0	0	0	3	3	228	9	9	107	3	9	50	27	0	0	0	50	[3A 2C 2B 1D 1A 3C 3D 2D]	8	8
17	123457030	7	3	6	147	1	1	19	74	0	0	2	0	0	0	3	0	228	10	9	107	3	9	50	27	0	0	0	52	[1D 1A 3C 3D 2D]	5	5
18	123457030	7	3	7	206	0	1	5	32	0	0	2	0	0	0	0	0	228	14	9	107	3	9	50	27	0	0	0	53	[3D 2D]	2	2
19	123457030	6	4	7	226	0	1	1	17	0	0	1	0	0	0	0	0	228	15	9	107	3	9	50	27	0	0	0	54	[2D]	1	1
20	123457030	6	1	9	227	0	0	2	17	0	0	1	0	0	0	0	0	228	19	9	107	3	9	50	27	0	0	0	54	[2D]	1	3
21	123457030	6	1	9	227	0	0	1	18	0	0	1	0	0	0	0	0	228	24	9	107	3	9	50	27	0	0	0	54	[2D]	1	3
22	123457030	4	3	8	228	0	0	1	18	0	0	0	1	0	0	0	0	228	24	9	107	3	9	50	27	0	0	0	55	[2D]	1	3
23	123457030	4	3	7	229	0	0	0	19	0	0	0	1	0	0	0	0	228	25	9	107	3	9	50	27	0	0	0	55	[2D]	1	1
24	123457030	3	3	7	230	0	0	0	19	0	0	0	1	0	0	0	0	228	25	9	107	3	9	50	27	0	0	0	55	[2D]	1	2
25	123457030	3	2	6	250	0	0	1	0	0	0	0	0	0	0	1	0	247	27	10	108	3	10	50	27	0	0	0	55	[]	0	2
26	123457030	3	2	5	251	0	0	1	0	0	0	0	0	0	0	1	0	247	29	10	108	3	10	50	27	0	0	0	55	[]	0	1
27	123457030	3	1	6	251	0	0	1	0	0	0	0	0	0	0	1	0	247	30	10	108	3	10	50	27	0	0	0	55	[]	0	2
28	123457030	3	1	4	253	0	0	1	0	0	0	0	0	0	0	1	0	247	31	10	108	3	10	50	27	0	0	0	55	[]	0	2
