,day,infected,type,stat,type_pretty
0,0.0,0.0,infected,mean,0%
1,1.0,0.0,infected,mean,0%
2,2.0,0.0040000000000000036,infected,mean,0%
3,3.0,0.030200000000000005,infected,mean,0%
4,4.0,0.043399999999999994,infected,mean,0%
5,5.0,0.04369999999999996,infected,mean,0%
6,6.0,0.09820000000000007,infected,mean,0%
7,7.0,0.06529999999999991,infected,mean,0%
8,8.0,0.02079999999999993,infected,mean,0%
9,9.0,0.06020000000000003,infected,mean,0%
10,10.0,0.06259999999999999,infected,mean,0%
11,11.0,0.08309999999999995,infected,mean,0%
12,12.0,0.07589999999999986,infected,mean,0%
13,13.0,0.1104999999999996,infected,mean,0%
14,14.0,0.06679999999999975,infected,mean,0%
15,15.0,-0.03839999999999999,infected,mean,0%
16,16.0,-0.04500000000000015,infected,mean,0%
17,17.0,-0.03739999999999988,infected,mean,0%
18,18.0,-0.027800000000000047,infected,mean,0%
19,19.0,-0.03300000000000036,infected,mean,0%
20,20.0,0.00280000000000058,infected,mean,0%
21,21.0,0.06930000000000014,infected,mean,0%
22,22.0,0.07210000000000005,infected,mean,0%
23,23.0,0.028500000000000192,infected,mean,0%
24,24.0,0.07030000000000003,infected,mean,0%
25,25.0,0.02300000000000013,infected,mean,0%
26,26.0,0.02579999999999938,infected,mean,0%
27,27.0,-0.0235000000000003,infected,mean,0%
28,28.0,-0.05429999999999957,infected,mean,0%
29,29.0,-0.18130000000000024,infected,mean,0%
30,30.0,-0.1687000000000003,infected,mean,0%
31,31.0,-0.18310000000000004,infected,mean,0%
32,32.0,-0.22840000000000016,infected,mean,0%
33,33.0,-0.12230000000000008,infected,mean,0%
34,34.0,-0.03640000000000043,infected,mean,0%
35,35.0,0.005799999999999805,infected,mean,0%
36,36.0,-0.06920000000000015,infected,mean,0%
37,37.0,-0.1519999999999997,infected,mean,0%
38,38.0,-0.19440000000000035,infected,mean,0%
39,39.0,-0.2599999999999998,infected,mean,0%
40,40.0,-0.3233999999999999,infected,mean,0%
41,41.0,-0.38870000000000005,infected,mean,0%
42,42.0,-0.5197000000000003,infected,mean,0%
43,43.0,-0.26370000000000005,infected,mean,0%
44,44.0,-0.33940000000000015,infected,mean,0%
45,45.0,-0.3199000000000001,infected,mean,0%
46,46.0,-0.2763,infected,mean,0%
47,47.0,-0.31679999999999975,infected,mean,0%
48,48.0,-0.3020000000000005,infected,mean,0%
49,49.0,-0.33889999999999976,infected,mean,0%
50,50.0,-0.01729999999999987,infected,mean,0%
51,51.0,-0.025900000000000034,infected,mean,0%
52,52.0,0.04260000000000019,infected,mean,0%
53,53.0,0.08529999999999971,infected,mean,0%
54,54.0,0.14910000000000023,infected,mean,0%
55,55.0,0.22379999999999978,infected,mean,0%
56,56.0,0.2229000000000001,infected,mean,0%
57,57.0,0.129,infected,mean,0%
58,58.0,0.1533000000000002,infected,mean,0%
59,59.0,0.1818000000000004,infected,mean,0%
60,60.0,0.14419999999999966,infected,mean,0%
61,0.0,0.0,infected,mean,10%
62,1.0,0.0,infected,mean,10%
63,2.0,0.006100000000000008,infected,mean,10%
64,3.0,0.00520000000000001,infected,mean,10%
