,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.2273,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2273,0.0000,0.0000
2,2,0.6454,0.4647,0.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4515,0.0000,0.0709
3,3,70.4745,0.5183,0.0000,0.0127,61.2228,0.0562,0.2311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9154,0.0000,0.2311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7138,0.1747,0.1747
4,4,71.7916,0.8182,0.1232,0.0127,61.2228,0.0341,0.2242,0.0261,0.0000,0.0000,0.0000,0.0000,1.0754,0.0000,0.0030,0.0000,0.0000,2.5624,0.0030,0.2311,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9464,0.1766,0.2794
5,5,74.4051,1.6127,0.3461,0.0362,61.2228,0.0294,0.2237,0.0447,0.3602,0.0000,0.0010,0.0000,1.4335,0.0000,0.0030,0.0010,0.0000,3.2453,0.0040,0.2311,0.0010,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2198,0.1779,0.4139
6,6,78.2533,1.2968,0.7603,0.0779,61.2228,0.0215,0.1990,0.0794,1.0225,0.0000,0.0059,0.0000,3.0926,0.0010,0.0128,0.0020,0.0000,3.9559,0.0089,0.2311,0.0029,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4106,0.1883,0.5303
7,7,80.9488,1.0168,1.0908,0.1502,61.2228,0.0157,0.1850,0.0979,1.3084,0.0010,0.0069,0.0010,4.4854,0.0020,0.0492,0.0079,0.0000,4.4855,0.0137,0.2311,0.0039,0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5779,0.1960,0.6945
8,8,86.7922,2.4577,1.2413,0.2756,61.2228,0.0138,0.1459,0.1313,1.6589,0.0000,0.0108,0.0010,5.3448,0.0030,0.0781,0.0108,0.0000,5.3057,0.0166,0.2311,0.0049,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8130,0.2005,0.7727
9,9,96.5578,4.6118,1.9312,0.3990,61.2228,0.0059,0.1396,0.1520,2.7596,0.0060,0.0188,0.0059,6.6958,0.0417,0.0816,0.0157,0.0000,5.8751,0.0214,0.2311,0.0088,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9605,0.2099,0.9022
10,10,458.5042,0.9676,0.0000,0.2975,333.6139,2.2850,3.3150,0.5010,4.1376,0.0515,0.0494,0.0138,12.7087,0.0609,0.2035,0.0394,93.4378,6.6758,0.0422,3.3915,0.0146,0.0422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2058,1.1479,1.0613
11,11,461.1205,1.2955,0.2610,0.2971,333.6139,1.3245,4.0623,0.8607,4.8384,0.0248,0.0739,0.0177,13.5846,0.0375,0.2136,0.0598,93.4378,7.5095,0.0447,3.3915,0.0166,0.0447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3648,1.1559,1.1753
12,12,467.8626,2.1084,0.6677,0.3381,333.6139,0.7474,4.3025,1.2858,5.5357,0.0129,0.0927,0.0226,15.8257,0.0315,0.1888,0.0962,93.4378,8.2630,0.0514,3.3915,0.0185,0.0514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5779,1.1665,1.3548
13,13,478.6888,1.4665,1.3341,0.3958,333.6139,0.5186,3.9013,1.8824,7.5397,0.0109,0.1247,0.0403,18.4125,0.0324,0.2001,0.1589,93.4378,9.2365,0.0603,3.3915,0.0252,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7222,1.1953,1.4558
14,14,482.0978,1.2978,1.6258,0.5299,333.6139,0.3237,3.5488,2.5470,8.0872,0.0109,0.1206,0.0540,21.2088,0.0216,0.2275,0.1946,93.4378,9.8925,0.0691,3.3915,0.0270,0.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9499,1.2073,1.4820
15,15,486.5161,3.1082,1.7480,0.7110,333.6139,0.2131,3.0355,3.2554,8.9208,0.0148,0.1327,0.0928,23.5411,0.0226,0.2458,0.2265,93.4378,10.3464,0.0771,3.3915,0.0308,0.0771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0484,1.2244,1.5841
16,16,489.3832,5.8635,2.6106,0.9829,333.6139,0.1512,2.6555,3.9996,10.5563,0.0168,0.1651,0.1350,26.3337,0.0431,0.2625,0.3264,93.4378,10.6630,0.0874,3.3915,0.0362,0.0874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2293,1.2237,1.6427
17,17,824.7614,0.9107,0.0000,0.9736,575.0847,2.6712,6.2738,4.9636,12.2132,0.0198,0.1597,0.1576,29.0120,0.0855,0.4445,0.3860,564.9105,11.2710,0.0991,7.0203,0.0417,0.0991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3983,2.0776,1.7807
18,18,823.2376,1.1097,0.2015,0.9776,575.0847,1.5897,6.7023,6.1392,12.5448,0.0099,0.1592,0.1944,28.9124,0.0474,0.4233,0.4742,564.9105,11.9327,0.1016,7.0203,0.0426,0.1016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5176,2.0760,1.8075
19,19,818.6397,1.7850,0.5527,1.0202,575.0847,1.0406,6.4164,7.4573,13.0993,0.0099,0.1406,0.2234,30.1840,0.0436,0.3583,0.5482,564.9105,12.5113,0.1066,7.0203,0.0453,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5876,2.0678,1.8676
20,20,813.0082,1.3031,1.1568,1.1107,575.0847,0.6331,6.1354,8.8438,12.4909,0.0050,0.1471,0.2447,28.9425,0.0222,0.3817,0.6099,564.9105,13.1826,0.1113,7.0203,0.0453,0.1113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5996,2.0576,1.8795
21,21,808.0321,1.0661,1.3863,1.3109,575.0847,0.4375,5.2733,10.2801,12.5210,0.0050,0.1139,0.2585,28.8585,0.0203,0.3369,0.6336,564.9105,14.0136,0.1144,7.0203,0.0462,0.1144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7174,2.0453,1.8141
22,22,805.5651,2.7654,1.4667,1.5114,575.0847,0.2871,4.6340,11.4451,14.0643,0.0040,0.1038,0.2894,31.0404,0.0146,0.3594,0.6768,564.9105,14.7252,0.1237,7.0203,0.0518,0.1237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6965,2.0438,1.8383
