day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456922	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	159	0	0	0	0	[]	0	0
1	123456922	122	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	218	159	0	0	0	9	[]	0	0
2	123456922	111	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	218	159	0	0	0	17	[]	0	1
3	123456922	84	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	159	0	0	0	24	[]	0	5
4	123456922	49	61	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	159	0	0	0	28	[]	0	5
5	123456922	35	57	29	5	0	0	3	0	0	0	0	0	0	0	2	0	38	9	2	3	0	2	218	159	0	0	0	30	[]	0	10
6	123456922	33	40	23	9	0	3	16	2	0	0	2	0	0	0	3	0	95	14	3	16	2	3	218	139	20	0	0	32	[3D 2A]	2	12
7	123456922	31	24	26	9	0	2	18	6	0	0	1	1	0	2	11	0	150	15	7	21	2	7	218	130	20	0	9	34	[3D 2A 3B]	3	12
8	123456922	26	25	16	14	0	2	20	10	0	0	1	1	0	1	13	2	207	16	10	27	2	10	218	130	20	0	9	36	[3D 2A 3B]	3	11
9	123456922	21	24	20	16	0	1	19	12	0	0	1	1	0	1	9	6	207	17	10	27	2	10	218	130	20	0	9	37	[3D 2A 3B]	3	11
10	123456922	18	21	22	18	0	0	14	19	0	0	1	1	0	1	10	6	243	18	11	28	2	11	218	130	20	0	9	38	[3D 2A 3B]	3	12
11	123456922	15	15	24	19	1	2	16	20	0	0	1	1	0	1	8	8	259	19	11	31	2	11	218	120	30	0	9	38	[3D 2A 3B 3C]	4	12
12	123456922	13	11	23	21	1	2	14	27	0	0	1	1	0	0	6	11	276	19	11	33	2	11	218	108	42	0	9	40	[3D 2A 3B 3C 1D]	5	12
13	123456922	10	7	16	21	3	3	16	36	0	0	0	2	0	0	6	11	327	20	11	38	2	11	218	87	63	0	9	41	[3D 2A 3B 3C 1D 2C 1B]	7	12
14	123456922	9	6	17	22	3	1	16	38	0	0	0	2	0	0	5	12	327	20	11	38	2	11	218	87	63	0	9	42	[3D 2A 3B 3C 1D 2C 1B]	7	12
