,trace,day,type
0,0,4,School screening
1,1,32,School screening
2,2,0,-
3,3,11,School screening
4,4,18,School screening
5,5,11,School screening
6,6,11,School screening
7,7,4,School screening
8,8,11,School screening
9,9,32,School screening
10,10,11,School screening
11,11,11,School screening
12,12,18,School screening
13,13,0,-
14,14,0,-
15,15,0,-
16,16,0,-
17,17,18,School screening
18,18,0,-
19,19,18,School screening
20,20,18,School screening
21,21,18,School screening
22,22,18,School screening
23,23,0,-
24,24,18,School screening
25,25,4,School screening
26,26,11,School screening
27,27,0,-
28,28,18,School screening
29,29,4,School screening
30,30,0,-
31,31,0,-
32,32,4,School screening
33,33,18,School screening
34,34,0,-
35,35,32,School screening
36,36,11,School screening
37,37,18,School screening
38,38,11,School screening
39,39,25,School screening
40,40,0,-
41,41,4,School screening
42,42,4,School screening
43,43,0,-
44,44,25,School screening
45,45,25,School screening
46,46,4,School screening
47,47,0,-
48,48,11,School screening
49,49,0,-
50,50,11,School screening
51,51,0,-
52,52,11,School screening
53,53,18,School screening
54,54,4,School screening
55,55,0,-
56,56,4,School screening
57,57,25,School screening
58,58,0,-
59,59,32,School screening
60,60,25,School screening
61,61,11,School screening
62,62,18,School screening
63,63,0,-
64,64,18,School screening
65,65,11,School screening
66,66,11,School screening
67,67,18,School screening
68,68,25,School screening
69,69,11,School screening
70,70,11,School screening
71,71,18,School screening
72,72,25,School screening
73,73,11,School screening
74,74,0,-
75,75,18,School screening
76,76,11,School screening
77,77,0,-
78,78,25,School screening
79,79,18,School screening
80,80,25,School screening
81,81,18,School screening
82,82,4,School screening
83,83,0,-
84,84,11,School screening
85,85,0,-
86,86,0,-
87,87,11,School screening
88,88,11,School screening
89,89,25,School screening
90,90,0,-
91,91,11,School screening
92,92,18,School screening
93,93,25,School screening
94,94,32,School screening
95,95,32,School screening
96,96,11,School screening
97,97,18,School screening
98,98,11,School screening
99,99,0,-
100,100,4,School screening
101,101,18,School screening
102,102,11,School screening
103,103,25,School screening
104,104,11,School screening
105,105,0,-
106,106,25,School screening
107,107,18,School screening
108,108,0,-
109,109,25,School screening
110,110,18,School screening
111,111,0,-
112,112,0,-
113,113,11,School screening
114,114,18,School screening
115,115,0,-
116,116,25,School screening
117,117,32,School screening
118,118,18,School screening
119,119,25,School screening
120,120,11,School screening
121,121,18,School screening
122,122,25,School screening
123,123,0,-
124,124,0,-
125,125,0,-
126,126,0,-
127,127,18,School screening
128,128,4,School screening
129,129,32,School screening
130,130,18,School screening
131,131,0,-
132,132,4,School screening
133,133,11,School screening
134,134,0,-
135,135,18,School screening
136,136,4,School screening
137,137,0,-
138,138,32,School screening
139,139,0,-
140,140,25,School screening
141,141,0,-
142,142,11,School screening
143,143,4,School screening
144,144,11,School screening
145,145,0,-
146,146,4,School screening
147,147,11,School screening
148,148,11,School screening
149,149,0,-
150,150,18,School screening
151,151,18,School screening
152,152,18,School screening
153,153,18,School screening
154,154,18,School screening
155,155,18,School screening
156,156,25,School screening
157,157,0,-
158,158,0,-
159,159,0,-
