,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.08820000000002892,Total infected,0%
2,3.0,0.37880000000001246,Total infected,0%
3,4.0,1.1521999999999935,Total infected,0%
4,5.0,2.4890000000000327,Total infected,0%
5,6.0,4.611300000000028,Total infected,0%
6,7.0,6.138300000000072,Total infected,0%
7,8.0,7.272600000000011,Total infected,0%
8,9.0,9.376899999999978,Total infected,0%
9,10.0,12.763500000000022,Total infected,0%
10,11.0,17.026099999999985,Total infected,0%
11,12.0,21.883700000000033,Total infected,0%
12,13.0,27.62519999999995,Total infected,0%
13,14.0,31.76559999999995,Total infected,0%
14,15.0,34.74350000000001,Total infected,0%
15,16.0,39.04219999999998,Total infected,0%
16,17.0,44.50910000000002,Total infected,0%
17,18.0,50.4289,Total infected,0%
18,19.0,56.35480000000001,Total infected,0%
19,20.0,63.078100000000006,Total infected,0%
20,21.0,67.82570000000001,Total infected,0%
21,22.0,71.26060000000001,Total infected,0%
22,23.0,75.78539999999995,Total infected,0%
23,24.0,81.3066,Total infected,0%
24,25.0,87.0341,Total infected,0%
25,26.0,93.0001,Total infected,0%
26,27.0,98.99600000000001,Total infected,0%
27,28.0,103.15019999999998,Total infected,0%
28,29.0,106.1043,Total infected,0%
29,30.0,109.79759999999999,Total infected,0%
30,31.0,114.1703,Total infected,0%
31,32.0,118.51499999999999,Total infected,0%
32,33.0,122.6934,Total infected,0%
33,34.0,126.92590000000001,Total infected,0%
34,35.0,130.20430000000002,Total infected,0%
35,36.0,132.3988,Total infected,0%
36,37.0,134.94579999999996,Total infected,0%
37,38.0,137.8917,Total infected,0%
38,39.0,140.87369999999999,Total infected,0%
39,40.0,143.96589999999998,Total infected,0%
40,41.0,147.13219999999998,Total infected,0%
41,42.0,149.2806,Total infected,0%
42,43.0,150.8197,Total infected,0%
43,44.0,152.8417,Total infected,0%
44,45.0,155.0822,Total infected,0%
45,46.0,157.54319999999998,Total infected,0%
46,47.0,159.83159999999998,Total infected,0%
47,48.0,162.10219999999998,Total infected,0%
48,49.0,163.6673,Total infected,0%
49,50.0,164.75349999999997,Total infected,0%
50,51.0,166.1783,Total infected,0%
51,52.0,167.8277,Total infected,0%
52,53.0,169.4971,Total infected,0%
53,54.0,171.10829999999999,Total infected,0%
54,55.0,172.7335,Total infected,0%
55,56.0,173.89570000000003,Total infected,0%
56,57.0,174.7354,Total infected,0%
57,58.0,175.70340000000002,Total infected,0%
58,59.0,176.99,Total infected,0%
59,60.0,178.3547,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.07209999999997763,Total infected,10%
62,3.0,0.2866000000000213,Total infected,10%
63,4.0,0.809599999999989,Total infected,10%
64,5.0,1.6654000000000337,Total infected,10%
65,6.0,2.97199999999998,Total infected,10%
66,7.0,4.000099999999975,Total infected,10%
67,8.0,4.83159999999998,Total infected,10%
68,9.0,6.420799999999986,Total infected,10%
