,day,final_infected,type_pretty
60,60,143,0%
121,60,149,0%
182,60,122,0%
243,60,175,0%
304,60,184,0%
365,60,179,0%
426,60,163,0%
487,60,176,0%
548,60,97,0%
609,60,111,0%
670,60,135,0%
731,60,152,0%
792,60,143,0%
853,60,68,0%
914,60,144,0%
975,60,139,0%
1036,60,160,0%
1097,60,141,0%
1158,60,112,0%
1219,60,90,0%
1280,60,121,0%
1341,60,119,0%
1402,60,158,0%
1463,60,138,0%
1524,60,192,0%
1585,60,135,0%
1646,60,173,0%
1707,60,202,0%
1768,60,182,0%
1829,60,159,0%
1890,60,122,0%
1951,60,57,0%
2012,60,156,0%
2073,60,173,0%
2134,60,112,0%
2195,60,121,0%
2256,60,95,0%
2317,60,167,0%
2378,60,155,0%
2439,60,174,0%
2500,60,180,0%
2561,60,142,0%
2622,60,177,0%
2683,60,165,0%
2744,60,124,0%
2805,60,102,0%
2866,60,170,0%
2927,60,107,0%
2988,60,148,0%
3049,60,187,0%
3110,60,175,0%
3171,60,157,0%
3232,60,131,0%
3293,60,125,0%
3354,60,154,0%
3415,60,91,0%
3476,60,194,0%
3537,60,131,0%
3598,60,152,0%
3659,60,159,0%
3720,60,184,0%
3781,60,153,0%
3842,60,129,0%
3903,60,121,0%
3964,60,160,0%
4025,60,153,0%
4086,60,143,0%
4147,60,132,0%
4208,60,94,0%
4269,60,139,0%
4330,60,161,0%
4391,60,134,0%
4452,60,139,0%
4513,60,118,0%
4574,60,144,0%
4635,60,105,0%
4696,60,201,0%
4757,60,130,0%
4818,60,109,0%
4879,60,173,0%
4940,60,196,0%
5001,60,136,0%
5062,60,134,0%
5123,60,137,0%
5184,60,136,0%
5245,60,153,0%
5306,60,174,0%
5367,60,105,0%
5428,60,115,0%
5489,60,179,0%
5550,60,133,0%
5611,60,92,0%
5672,60,161,0%
5733,60,134,0%
5794,60,108,0%
5855,60,175,0%
5916,60,149,0%
5977,60,167,0%
6038,60,150,0%
6099,60,175,0%
6160,60,171,10%
6221,60,141,10%
6282,60,141,10%
6343,60,146,10%
6404,60,136,10%
6465,60,116,10%
6526,60,150,10%
6587,60,113,10%
6648,60,132,10%
6709,60,103,10%
6770,60,119,10%
6831,60,78,10%
6892,60,128,10%
6953,60,142,10%
7014,60,84,10%
7075,60,121,10%
7136,60,162,10%
7197,60,145,10%
7258,60,120,10%
7319,60,135,10%
7380,60,131,10%
7441,60,64,10%
7502,60,133,10%
7563,60,124,10%
7624,60,97,10%
7685,60,28,10%
7746,60,127,10%
7807,60,121,10%
7868,60,164,10%
7929,60,129,10%
7990,60,90,10%
8051,60,159,10%
8112,60,155,10%
8173,60,120,10%
8234,60,121,10%
8295,60,154,10%
8356,60,156,10%
8417,60,120,10%
8478,60,138,10%
8539,60,140,10%
8600,60,110,10%
8661,60,132,10%
8722,60,122,10%
8783,60,132,10%
8844,60,78,10%
8905,60,157,10%
8966,60,106,10%
9027,60,103,10%
9088,60,94,10%
9149,60,82,10%
9210,60,164,10%
9271,60,139,10%
9332,60,141,10%
9393,60,192,10%
9454,60,108,10%
9515,60,166,10%
9576,60,163,10%
9637,60,149,10%
9698,60,112,10%
9759,60,122,10%
9820,60,124,10%
9881,60,146,10%
9942,60,89,10%
10003,60,147,10%
10064,60,157,10%
10125,60,120,10%
10186,60,136,10%
10247,60,123,10%
10308,60,141,10%
10369,60,154,10%
10430,60,107,10%
10491,60,110,10%
10552,60,148,10%
10613,60,75,10%
10674,60,165,10%
10735,60,119,10%
10796,60,138,10%
10857,60,144,10%
10918,60,117,10%
10979,60,143,10%
11040,60,119,10%
11101,60,154,10%
11162,60,36,10%
11223,60,117,10%
11284,60,135,10%
11345,60,171,10%
11406,60,166,10%
11467,60,129,10%
11528,60,102,10%
11589,60,135,10%
11650,60,152,10%
11711,60,152,10%
11772,60,79,10%
11833,60,183,10%
11894,60,75,10%
11955,60,148,10%
12016,60,165,10%
12077,60,141,10%
12138,60,168,10%
12199,60,87,10%
12260,60,57,40%
12321,60,42,40%
12382,60,67,40%
12443,60,100,40%
12504,60,54,40%
12565,60,76,40%
12626,60,59,40%
12687,60,67,40%
12748,60,33,40%
12809,60,60,40%
12870,60,29,40%
12931,60,83,40%
12992,60,73,40%
13053,60,22,40%
13114,60,71,40%
13175,60,56,40%
13236,60,79,40%
13297,60,68,40%
13358,60,102,40%
13419,60,80,40%
13480,60,84,40%
13541,60,60,40%
13602,60,90,40%
13663,60,82,40%
13724,60,29,40%
13785,60,79,40%
13846,60,76,40%
13907,60,97,40%
13968,60,42,40%
14029,60,84,40%
14090,60,36,40%
14151,60,83,40%
14212,60,72,40%
14273,60,106,40%
14334,60,59,40%
14395,60,72,40%
14456,60,78,40%
14517,60,35,40%
14578,60,37,40%
14639,60,63,40%
14700,60,57,40%
14761,60,38,40%
14822,60,61,40%
14883,60,22,40%
14944,60,73,40%
15005,60,41,40%
15066,60,63,40%
15127,60,68,40%
15188,60,41,40%
15249,60,68,40%
15310,60,57,40%
15371,60,62,40%
15432,60,100,40%
15493,60,93,40%
15554,60,31,40%
15615,60,41,40%
15676,60,37,40%
15737,60,82,40%
15798,60,50,40%
15859,60,90,40%
15920,60,62,40%
15981,60,66,40%
16042,60,98,40%
16103,60,67,40%
16164,60,24,40%
16225,60,49,40%
16286,60,84,40%
16347,60,89,40%
16408,60,76,40%
16469,60,39,40%
16530,60,67,40%
16591,60,52,40%
16652,60,83,40%
16713,60,54,40%
16774,60,59,40%
16835,60,90,40%
16896,60,61,40%
16957,60,72,40%
17018,60,83,40%
17079,60,55,40%
17140,60,29,40%
17201,60,50,40%
17262,60,80,40%
17323,60,96,40%
17384,60,116,40%
17445,60,78,40%
17506,60,46,40%
17567,60,58,40%
17628,60,51,40%
17689,60,29,40%
17750,60,74,40%
17811,60,79,40%
17872,60,46,40%
17933,60,59,40%
17994,60,34,40%
18055,60,88,40%
18116,60,83,40%
18177,60,33,40%
18238,60,57,40%
18299,60,74,40%
18360,60,27,70%
18421,60,12,70%
18482,60,2,70%
18543,60,12,70%
18604,60,13,70%
18665,60,16,70%
18726,60,17,70%
18787,60,8,70%
18848,60,38,70%
18909,60,38,70%
18970,60,26,70%
19031,60,32,70%
19092,60,25,70%
19153,60,15,70%
19214,60,21,70%
19275,60,21,70%
19336,60,38,70%
19397,60,23,70%
19458,60,33,70%
19519,60,8,70%
19580,60,35,70%
19641,60,16,70%
19702,60,30,70%
19763,60,24,70%
19824,60,7,70%
19885,60,14,70%
19946,60,27,70%
20007,60,17,70%
20068,60,25,70%
20129,60,31,70%
20190,60,25,70%
20251,60,16,70%
20312,60,36,70%
20373,60,48,70%
20434,60,41,70%
20495,60,20,70%
20556,60,25,70%
20617,60,20,70%
20678,60,16,70%
20739,60,38,70%
20800,60,27,70%
20861,60,41,70%
20922,60,33,70%
20983,60,35,70%
21044,60,23,70%
21105,60,35,70%
21166,60,24,70%
21227,60,22,70%
21288,60,21,70%
21349,60,15,70%
21410,60,15,70%
21471,60,17,70%
21532,60,26,70%
21593,60,20,70%
21654,60,12,70%
21715,60,28,70%
21776,60,16,70%
21837,60,22,70%
21898,60,36,70%
21959,60,29,70%
22020,60,7,70%
22081,60,17,70%
22142,60,26,70%
22203,60,14,70%
22264,60,28,70%
22325,60,27,70%
22386,60,16,70%
22447,60,9,70%
22508,60,33,70%
22569,60,23,70%
22630,60,27,70%
22691,60,20,70%
22752,60,27,70%
22813,60,17,70%
22874,60,17,70%
22935,60,37,70%
22996,60,29,70%
23057,60,23,70%
23118,60,15,70%
23179,60,28,70%
23240,60,14,70%
23301,60,34,70%
23362,60,6,70%
23423,60,33,70%
23484,60,22,70%
23545,60,25,70%
