,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.12119999999998754,Total infected,0%
2,3.0,0.3737999999999886,Total infected,0%
3,4.0,0.7273000000000138,Total infected,0%
4,5.0,1.3131999999999948,Total infected,0%
5,6.0,2.1920000000000073,Total infected,0%
6,7.0,2.929300000000012,Total infected,0%
7,8.0,3.545500000000004,Total infected,0%
8,9.0,4.4950000000000045,Total infected,0%
9,10.0,5.8081000000000245,Total infected,0%
10,11.0,7.606000000000023,Total infected,0%
11,12.0,9.9495,Total infected,0%
12,13.0,12.818099999999987,Total infected,0%
13,14.0,14.78789999999998,Total infected,0%
14,15.0,16.373599999999954,Total infected,0%
15,16.0,18.393899999999974,Total infected,0%
16,17.0,20.888799999999975,Total infected,0%
17,18.0,23.959599999999995,Total infected,0%
18,19.0,27.919299999999936,Total infected,0%
19,20.0,32.403999999999996,Total infected,0%
20,21.0,35.86869999999999,Total infected,0%
21,22.0,38.38380000000001,Total infected,0%
22,23.0,40.89909999999995,Total infected,0%
23,24.0,43.78789999999998,Total infected,0%
24,25.0,46.8484,Total infected,0%
25,26.0,50.4948,Total infected,0%
26,27.0,54.48470000000003,Total infected,0%
27,28.0,56.919099999999986,Total infected,0%
28,29.0,59.0607,Total infected,0%
29,30.0,61.07060000000001,Total infected,0%
30,31.0,63.5556,Total infected,0%
31,32.0,66.19190000000003,Total infected,0%
32,33.0,69.17170000000004,Total infected,0%
33,34.0,72.899,Total infected,0%
34,35.0,75.52529999999999,Total infected,0%
35,36.0,77.68690000000001,Total infected,0%
36,37.0,79.57580000000004,Total infected,0%
37,38.0,81.67679999999999,Total infected,0%
38,39.0,84.09090000000003,Total infected,0%
39,40.0,87.26270000000002,Total infected,0%
40,41.0,90.49510000000001,Total infected,0%
41,42.0,93.08090000000001,Total infected,0%
42,43.0,94.70710000000003,Total infected,0%
43,44.0,96.53539999999995,Total infected,0%
44,45.0,98.20219999999998,Total infected,0%
45,46.0,100.14149999999998,Total infected,0%
46,47.0,102.12130000000002,Total infected,0%
47,48.0,104.61619999999999,Total infected,0%
48,49.0,106.17169999999999,Total infected,0%
49,50.0,107.38390000000001,Total infected,0%
50,51.0,108.42420000000001,Total infected,0%
51,52.0,109.5455,Total infected,0%
52,53.0,111.02019999999999,Total infected,0%
53,54.0,112.65649999999998,Total infected,0%
54,55.0,114.505,Total infected,0%
55,56.0,115.92929999999998,Total infected,0%
56,57.0,116.99999999999999,Total infected,0%
57,58.0,117.9394,Total infected,0%
58,59.0,119.09089999999999,Total infected,0%
59,60.0,120.5454,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.10099999999999909,Total infected,10%
62,3.0,0.26259999999999195,Total infected,10%
63,4.0,0.5454000000000008,Total infected,10%
64,5.0,1.0201999999999884,Total infected,10%
65,6.0,2.0808000000000106,Total infected,10%
66,7.0,2.727300000000014,Total infected,10%
67,8.0,3.1717000000000155,Total infected,10%
68,9.0,4.000000000000028,Total infected,10%
69,10.0,5.373799999999989,Total infected,10%
70,11.0,7.0,Total infected,10%
71,12.0,9.312999999999988,Total infected,10%
72,13.0,12.010099999999994,Total infected,10%
73,14.0,14.080899999999986,Total infected,10%
74,15.0,15.606099999999998,Total infected,10%
75,16.0,17.292900000000003,Total infected,10%
76,17.0,19.17180000000002,Total infected,10%
77,18.0,21.9495,Total infected,10%
78,19.0,24.737300000000005,Total infected,10%
79,20.0,28.323200000000014,Total infected,10%
80,21.0,31.28280000000001,Total infected,10%
81,22.0,33.404000000000025,Total infected,10%
82,23.0,35.29290000000003,Total infected,10%
83,24.0,37.43429999999998,Total infected,10%
84,25.0,40.28280000000001,Total infected,10%
85,26.0,43.43440000000001,Total infected,10%
86,27.0,46.919100000000014,Total infected,10%
