day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457199	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	68	0	0	0	0	[]	0	0
1	123457199	219	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	146	68	0	0	0	3	[]	0	0
2	123457199	199	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	68	0	0	0	12	[]	0	2
3	123457199	155	58	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	68	0	0	0	17	[]	0	4
4	123457199	89	102	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	146	68	0	0	0	20	[]	0	8
5	123457199	46	122	47	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	146	68	0	0	0	22	[]	0	10
6	123457199	40	81	43	11	2	12	21	8	0	0	2	0	0	0	2	0	76	9	2	21	2	2	146	52	16	0	0	26	[3C 3D 1C]	3	12
7	123457199	37	55	47	19	5	14	30	10	0	0	1	1	0	0	3	0	95	10	3	27	2	3	146	49	19	0	0	26	[3C 3D 1C 1B]	4	12
8	123457199	7	64	64	23	5	12	27	15	0	0	0	2	0	0	3	0	95	11	3	27	2	3	146	49	19	0	0	27	[3C 3D 1C 1B]	4	12
9	123457199	4	42	60	23	5	13	37	31	0	0	0	2	0	0	5	0	133	12	5	39	2	5	146	38	30	0	0	27	[3C 3D 1C 1B 3A 2B]	6	12
10	123457199	3	27	61	27	5	16	40	35	0	0	1	2	0	0	4	1	149	13	5	43	3	5	146	32	36	0	0	27	[3C 3D 1C 1B 3A 2B 1D]	7	12
11	123457199	2	18	45	19	5	12	55	56	0	0	1	2	0	0	5	2	187	14	7	58	3	7	146	26	42	0	0	27	[3C 3D 1C 1B 3A 2B 1D 3B 1A]	9	12
12	123457199	1	14	46	23	5	9	47	67	0	0	1	2	0	0	4	3	187	14	7	58	3	7	146	26	42	0	0	27	[3C 3D 1C 1B 3A 2B 1D 3B 1A]	9	12
13	123457199	1	7	35	25	5	13	44	81	0	0	1	2	0	0	5	3	206	15	8	62	3	8	146	22	46	0	0	27	[3C 3D 1C 1B 3A 2B 1D 3B 1A 2C]	10	12
14	123457199	0	4	11	18	5	12	58	101	0	0	2	2	0	0	6	3	244	16	9	79	4	9	146	17	51	0	0	28	[3C 3D 1C 1B 3A 2B 1D 3B 1A 2C 2A 2D]	12	12
