day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456823	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	37	0	0	0	0	[]	0	0
1	123456823	241	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	74	37	0	0	0	12	[]	0	0
2	123456823	230	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	5	0	0	1	0	74	37	0	0	0	23	[]	0	1
3	123456823	198	50	4	0	0	0	0	0	0	0	1	0	0	0	0	0	19	8	0	0	1	0	74	37	0	0	0	33	[]	0	5
4	123456823	152	85	14	1	0	0	0	0	0	0	1	0	0	0	0	0	19	9	0	0	1	0	74	37	0	0	0	48	[]	0	5
5	123456823	88	123	38	3	0	0	0	0	0	0	1	0	0	0	0	0	19	9	0	0	1	0	74	37	0	0	0	60	[]	0	9
6	123456823	83	78	45	9	2	14	18	1	0	0	1	0	0	0	2	0	57	9	2	18	1	2	74	34	3	0	0	63	[3D 3C]	2	12
7	123456823	61	39	43	12	15	22	49	6	0	0	2	0	0	0	4	0	133	11	4	41	2	4	74	31	6	0	0	72	[3D 3C 1B 2A 1A]	5	12
8	123456823	20	53	50	13	24	21	50	15	0	0	2	1	0	0	4	0	152	14	4	45	3	4	74	30	7	0	0	76	[3D 3C 1B 2A 1A 2D]	6	12
9	123456823	16	38	54	10	24	16	62	25	0	0	2	1	0	0	4	1	171	15	5	53	3	5	74	28	9	0	0	76	[3D 3C 1B 2A 1A 2D 1D]	7	12
10	123456823	16	9	29	8	24	30	85	41	0	0	3	1	0	0	5	2	228	16	7	80	4	7	74	24	13	0	0	76	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
11	123456823	10	11	29	12	24	17	85	54	0	0	3	1	0	0	4	3	228	16	7	80	4	7	74	24	13	0	0	81	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
12	123456823	6	14	27	16	24	9	83	64	0	0	3	0	0	0	4	3	228	16	7	80	4	7	74	24	13	0	0	81	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
13	123456823	5	9	29	20	24	8	72	76	0	0	3	0	0	0	3	4	228	16	7	80	4	7	74	24	13	0	0	82	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
14	123456823	5	7	28	23	24	6	66	84	0	0	3	0	0	0	2	5	228	16	7	80	4	7	74	24	13	0	0	82	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
15	123456823	4	5	26	28	24	3	63	90	0	0	3	0	0	0	2	5	228	16	7	80	4	7	74	24	13	0	0	83	[3D 3C 1B 2A 1A 2D 1D 2B 3A 1C]	10	12
16	123456823	6	2	15	62	22	3	59	75	0	0	2	2	0	0	1	4	244	18	7	89	5	7	74	25	12	0	0	83	[1B 2A 1A 2D 1D 2B 3A 1C 3B]	9	10
17	123456823	19	2	13	108	9	2	38	56	0	0	1	2	0	0	1	2	244	18	7	89	5	7	74	28	9	0	0	83	[2D 1D 2B 3A 1C 3B]	6	7
18	123456823	25	4	12	120	0	0	33	54	0	0	1	1	0	0	0	3	244	18	7	89	5	7	74	29	8	0	0	84	[1D 2B 3A 1C 3B]	5	6
19	123456823	14	11	15	139	0	0	28	42	0	0	1	1	0	0	0	2	244	19	7	89	5	7	74	31	6	0	0	85	[2B 3A 1C 3B]	4	7
20	123456823	14	9	16	196	0	0	4	13	0	0	1	0	0	0	0	0	244	22	7	89	5	7	74	35	2	0	0	85	[3B]	1	4
21	123456823	12	9	17	197	0	0	4	13	0	0	1	0	0	0	0	0	244	27	7	89	5	7	74	35	2	0	0	87	[3B]	1	4
22	123456823	7	13	16	199	0	0	2	15	0	0	1	0	0	0	0	0	244	29	7	89	5	7	74	35	2	0	0	87	[3B]	1	4
23	123456823	5	12	19	199	0	0	2	15	0	0	1	0	0	0	0	0	244	29	7	89	5	7	74	35	2	0	0	88	[3B]	1	4
24	123456823	5	5	16	190	0	3	7	25	0	0	1	0	0	0	1	0	263	29	8	94	5	8	74	34	3	0	0	88	[3B 1B]	2	4
25	123456823	5	1	8	182	0	3	14	36	0	0	1	0	0	0	3	0	301	33	10	100	5	10	74	33	4	0	0	88	[3B 1B 2D]	3	6
26	123456823	3	2	9	200	0	2	9	25	0	0	0	0	0	0	2	1	301	33	10	100	5	10	74	35	2	0	0	89	[1B 2D]	2	5
27	123456823	3	1	8	202	0	1	10	25	0	0	0	0	0	0	2	1	301	35	10	100	5	10	74	35	2	0	0	89	[1B 2D]	2	6
28	123456823	3	1	6	204	0	0	10	26	0	0	0	0	0	0	1	2	301	35	10	100	5	10	74	35	2	0	0	89	[1B 2D]	2	6
29	123456823	3	1	4	204	0	0	11	26	0	0	0	0	0	0	2	2	320	37	11	101	5	11	74	35	2	0	0	89	[1B 2D]	2	6
30	123456823	3	0	5	204	0	0	9	28	0	0	0	0	0	0	1	3	339	38	11	101	5	11	74	35	2	0	0	89	[1B 2D]	2	5
31	123456823	2	1	5	204	0	0	7	30	0	0	0	0	0	0	1	3	339	38	11	101	5	11	74	35	2	0	0	89	[1B 2D]	2	5
32	123456823	2	1	5	204	0	0	7	30	0	0	0	0	0	0	1	3	339	39	11	101	5	11	74	35	2	0	0	89	[1B 2D]	2	5
33	123456823	2	0	5	205	0	0	5	32	0	0	0	0	0	0	1	3	339	40	11	101	5	11	74	35	2	0	0	89	[1B 2D]	2	5
34	123456823	2	0	4	225	0	0	1	18	0	0	0	0	0	0	0	3	357	42	11	101	5	11	74	36	1	0	0	89	[2D]	1	3
35	123456823	2	0	4	245	0	0	0	1	0	0	0	0	0	0	0	1	357	44	11	101	5	11	74	37	0	0	0	89	[]	0	2
36	123456823	2	0	4	245	0	0	0	1	0	0	0	0	0	0	0	1	357	45	11	101	5	11	74	37	0	0	0	89	[]	0	2
37	123456823	1	1	2	247	0	0	0	1	0	0	0	0	0	0	0	1	357	49	11	101	5	11	74	37	0	0	0	90	[]	0	1
38	123456823	1	1	2	247	0	0	0	1	0	0	0	0	0	0	0	1	357	52	11	101	5	11	74	37	0	0	0	90	[]	0	1
39	123456823	1	1	2	249	0	0	0	0	0	0	0	0	0	0	0	0	357	52	11	101	5	11	74	37	0	0	0	90	[]	0	1
40	123456823	1	1	0	251	0	0	0	0	0	0	0	0	0	0	0	0	357	55	11	101	5	11	74	37	0	0	0	90	[]	0	0
41	123456823	1	1	0	251	0	0	0	0	0	0	0	0	0	0	0	0	357	58	11	101	5	11	74	37	0	0	0	90	[]	0	0
42	123456823	1	1	0	251	0	0	0	0	0	0	0	0	0	0	0	0	357	61	11	101	5	11	74	37	0	0	0	90	[]	0	0
