,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,0.0601,Infected,0%
3,3.0,0.2305,Infected,0%
4,4.0,0.4549,Infected,0%
5,5.0,0.9378000000000001,Infected,0%
6,6.0,1.6332,Infected,0%
7,7.0,2.0701,Infected,0%
8,8.0,2.3025,Infected,0%
9,9.0,2.8417,Infected,0%
10,10.0,3.7857,Infected,0%
11,11.0,4.98,Infected,0%
12,12.0,6.5872,Infected,0%
13,13.0,8.4749,Infected,0%
14,14.0,9.4549,Infected,0%
15,15.0,9.8377,Infected,0%
16,16.0,10.3809,Infected,0%
17,17.0,11.244499999999999,Infected,0%
18,18.0,12.499,Infected,0%
19,19.0,13.972,Infected,0%
20,20.0,15.829699999999999,Infected,0%
21,21.0,16.5631,Infected,0%
22,22.0,16.2485,Infected,0%
23,23.0,16.2786,Infected,0%
24,24.0,16.6713,Infected,0%
25,25.0,17.414800000000003,Infected,0%
26,26.0,18.3707,Infected,0%
27,27.0,19.7315,Infected,0%
28,28.0,19.94,Infected,0%
29,29.0,18.0841,Infected,0%
30,30.0,17.811700000000002,Infected,0%
31,31.0,17.5873,Infected,0%
32,32.0,17.7095,Infected,0%
33,33.0,18.2045,Infected,0%
34,34.0,18.968,Infected,0%
35,35.0,18.571099999999998,Infected,0%
36,36.0,16.1765,Infected,0%
37,37.0,15.8397,Infected,0%
38,38.0,15.6293,Infected,0%
39,39.0,15.581199999999999,Infected,0%
40,40.0,15.535,Infected,0%
41,41.0,15.833699999999999,Infected,0%
42,42.0,15.611199999999998,Infected,0%
43,43.0,13.2044,Infected,0%
44,44.0,12.7675,Infected,0%
45,45.0,12.5612,Infected,0%
46,46.0,12.533100000000001,Infected,0%
47,47.0,12.5151,Infected,0%
48,48.0,12.8277,Infected,0%
49,49.0,12.5591,Infected,0%
50,50.0,10.5711,Infected,0%
51,51.0,10.469,Infected,0%
52,52.0,10.3868,Infected,0%
53,53.0,10.445,Infected,0%
54,54.0,10.6854,Infected,0%
55,55.0,11.110299999999999,Infected,0%
56,56.0,10.9539,Infected,0%
57,57.0,9.4629,Infected,0%
58,58.0,9.264500000000002,Infected,0%
59,59.0,9.0981,Infected,0%
60,60.0,9.1803,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,0.0721,Infected,10%
64,3.0,0.2044,Infected,10%
65,4.0,0.4088,Infected,10%
66,5.0,0.7214,Infected,10%
67,6.0,1.2485,Infected,10%
68,7.0,1.6232,Infected,10%
69,8.0,1.7916,Infected,10%
70,9.0,2.2725999999999997,Infected,10%
71,10.0,2.9559999999999995,Infected,10%
72,11.0,3.9818999999999996,Infected,10%
73,12.0,5.194399999999999,Infected,10%
74,13.0,6.6732999999999985,Infected,10%
75,14.0,7.440899999999999,Infected,10%
76,15.0,7.7554,Infected,10%
77,16.0,8.180399999999999,Infected,10%
78,17.0,8.7374,Infected,10%
79,18.0,9.7155,Infected,10%
80,19.0,10.931799999999999,Infected,10%
81,20.0,12.4569,Infected,10%
82,21.0,12.861699999999999,Infected,10%
83,22.0,12.4227,Infected,10%
84,23.0,12.591099999999999,Infected,10%
85,24.0,13.0,Infected,10%
86,25.0,13.7695,Infected,10%
87,26.0,14.7094,Infected,10%
88,27.0,15.839699999999999,Infected,10%
89,28.0,15.7516,Infected,10%
90,29.0,14.0962,Infected,10%
91,30.0,13.871699999999999,Infected,10%
92,31.0,13.893699999999999,Infected,10%
93,32.0,13.995999999999999,Infected,10%
94,33.0,14.2845,Infected,10%
95,34.0,14.9438,Infected,10%
96,35.0,14.735399999999998,Infected,10%
97,36.0,12.985899999999999,Infected,10%
98,37.0,12.715399999999999,Infected,10%
99,38.0,12.7654,Infected,10%
100,39.0,12.829699999999999,Infected,10%
101,40.0,13.300600000000001,Infected,10%
102,41.0,13.765500000000001,Infected,10%
103,42.0,13.4268,Infected,10%
104,43.0,11.753499999999999,Infected,10%
105,44.0,11.3627,Infected,10%
106,45.0,11.2325,Infected,10%
107,46.0,11.238500000000002,Infected,10%
108,47.0,11.473,Infected,10%
109,48.0,11.865699999999999,Infected,10%
110,49.0,11.6413,Infected,10%
111,50.0,10.0642,Infected,10%
112,51.0,9.8376,Infected,10%
113,52.0,9.6132,Infected,10%
114,53.0,9.751500000000002,Infected,10%
115,54.0,9.8918,Infected,10%
116,55.0,10.326600000000001,Infected,10%
117,56.0,10.100200000000001,Infected,10%
118,57.0,8.6091,Infected,10%
119,58.0,8.468900000000001,Infected,10%
120,59.0,8.274500000000002,Infected,10%
121,60.0,8.386800000000001,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.0461,Infected,40%
125,3.0,0.11220000000000001,Infected,40%
126,4.0,0.22640000000000002,Infected,40%
127,5.0,0.44480000000000003,Infected,40%
128,6.0,0.6793,Infected,40%
129,7.0,0.8357,Infected,40%
130,8.0,0.9418,Infected,40%
131,9.0,1.1763000000000001,Infected,40%
132,10.0,1.4989000000000001,Infected,40%
133,11.0,1.9519000000000002,Infected,40%
134,12.0,2.3947999999999996,Infected,40%
135,13.0,2.9798999999999998,Infected,40%
136,14.0,3.3045,Infected,40%
137,15.0,3.3328,Infected,40%
138,16.0,3.4871000000000003,Infected,40%
139,17.0,3.6654999999999998,Infected,40%
140,18.0,4.0221,Infected,40%
141,19.0,4.4510000000000005,Infected,40%
142,20.0,4.943899999999999,Infected,40%
143,21.0,5.0941,Infected,40%
