,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,1.0,Total infected,With NPIs
1,2.0,1.208200000000005,Total infected,With NPIs
2,3.0,1.6056000000000097,Total infected,With NPIs
3,4.0,2.1521999999999935,Total infected,With NPIs
4,5.0,2.834000000000003,Total infected,With NPIs
5,6.0,3.667500000000018,Total infected,With NPIs
6,7.0,4.26430000000002,Total infected,With NPIs
7,8.0,4.723700000000008,Total infected,With NPIs
8,9.0,5.4713999999999885,Total infected,With NPIs
9,10.0,6.402300000000025,Total infected,With NPIs
10,11.0,7.461500000000001,Total infected,With NPIs
11,12.0,8.597499999999968,Total infected,With NPIs
12,13.0,9.73769999999999,Total infected,With NPIs
13,14.0,10.631699999999995,Total infected,With NPIs
14,15.0,11.205099999999987,Total infected,With NPIs
15,16.0,12.061000000000007,Total infected,With NPIs
16,17.0,13.021000000000015,Total infected,With NPIs
17,18.0,14.043999999999983,Total infected,With NPIs
18,19.0,15.147199999999998,Total infected,With NPIs
19,20.0,16.35329999999996,Total infected,With NPIs
20,21.0,17.191200000000038,Total infected,With NPIs
21,22.0,17.84190000000001,Total infected,With NPIs
22,23.0,18.643500000000017,Total infected,With NPIs
23,24.0,19.530500000000018,Total infected,With NPIs
24,25.0,20.60759999999999,Total infected,With NPIs
25,26.0,21.728800000000007,Total infected,With NPIs
26,27.0,22.85900000000001,Total infected,With NPIs
27,28.0,23.66980000000001,Total infected,With NPIs
28,29.0,24.23429999999999,Total infected,With NPIs
29,30.0,25.018899999999974,Total infected,With NPIs
30,31.0,25.974999999999994,Total infected,With NPIs
31,32.0,26.9409,Total infected,With NPIs
32,33.0,27.92689999999999,Total infected,With NPIs
33,34.0,29.02109999999999,Total infected,With NPIs
34,35.0,29.792800000000028,Total infected,With NPIs
35,1.0,1.0,Total infected,Without NPIs
36,2.0,3.629599999999982,Total infected,Without NPIs
37,3.0,7.97180000000003,Total infected,Without NPIs
38,4.0,12.072000000000003,Total infected,Without NPIs
39,5.0,17.184000000000026,Total infected,Without NPIs
40,6.0,23.359299999999962,Total infected,Without NPIs
41,7.0,27.78879999999998,Total infected,Without NPIs
42,8.0,31.00800000000001,Total infected,Without NPIs
43,9.0,37.06809999999999,Total infected,Without NPIs
44,10.0,45.1131,Total infected,Without NPIs
45,11.0,53.83679999999998,Total infected,Without NPIs
46,12.0,62.88480000000001,Total infected,Without NPIs
47,13.0,72.60760000000002,Total infected,Without NPIs
48,14.0,79.6567,Total infected,Without NPIs
49,15.0,84.57560000000001,Total infected,Without NPIs
50,16.0,92.38830000000002,Total infected,Without NPIs
51,17.0,100.91499999999996,Total infected,Without NPIs
52,18.0,109.18610000000001,Total infected,Without NPIs
53,19.0,117.15719999999999,Total infected,Without NPIs
54,20.0,125.6377,Total infected,Without NPIs
55,21.0,131.5715,Total infected,Without NPIs
56,22.0,135.7099,Total infected,Without NPIs
57,23.0,141.3354,Total infected,Without NPIs
58,24.0,147.0041,Total infected,Without NPIs
59,25.0,152.24329999999998,Total infected,Without NPIs
60,26.0,157.084,Total infected,Without NPIs
61,27.0,161.42440000000002,Total infected,Without NPIs
62,28.0,164.5675,Total infected,Without NPIs
63,29.0,166.8247,Total infected,Without NPIs
64,30.0,169.56259999999997,Total infected,Without NPIs
65,31.0,172.2251,Total infected,Without NPIs
66,32.0,174.5016,Total infected,Without NPIs
67,33.0,176.47639999999998,Total infected,Without NPIs
68,34.0,178.27429999999998,Total infected,Without NPIs
69,35.0,179.4915,Total infected,Without NPIs
