,day,slope,type,type_pretty
0,0.0,0.0,Total infected derivative,0%
1,1.0,1.7033999999999878,Total infected derivative,0%
2,2.0,5.3376499999999965,Total infected derivative,0%
3,3.0,9.808600000000013,Total infected derivative,0%
4,4.0,15.735450000000014,Total infected derivative,0%
5,5.0,21.918849999999992,Total infected derivative,0%
6,6.0,22.233499999999992,Total infected derivative,0%
7,7.0,17.539050000000003,Total infected derivative,0%
8,8.0,19.522050000000007,Total infected derivative,0%
9,9.0,24.551150000000007,Total infected derivative,0%
10,10.0,24.396749999999997,Total infected derivative,0%
11,11.0,21.472899999999996,Total infected derivative,0%
12,12.0,17.66239999999999,Total infected derivative,0%
13,13.0,13.546099999999996,Total infected derivative,0%
14,14.0,9.70635,Total infected derivative,0%
15,15.0,7.277550000000005,Total infected derivative,0%
16,16.0,5.750550000000004,Total infected derivative,0%
17,17.0,4.408850000000001,Total infected derivative,0%
18,18.0,3.2995499999999964,Total infected derivative,0%
19,19.0,2.4659499999999923,Total infected derivative,0%
20,20.0,1.7725499999999954,Total infected derivative,0%
21,21.0,1.3055999999999983,Total infected derivative,0%
22,22.0,0.9659500000000065,Total infected derivative,0%
23,23.0,0.643250000000009,Total infected derivative,0%
24,24.0,0.4629499999999922,Total infected derivative,0%
25,25.0,0.35975000000000534,Total infected derivative,0%
26,26.0,0.2805500000000052,Total infected derivative,0%
27,27.0,0.19735000000000014,Total infected derivative,0%
28,28.0,0.12324999999999875,Total infected derivative,0%
29,29.0,0.10224999999999795,Total infected derivative,0%
30,30.0,0.09314999999999429,Total infected derivative,0%
31,31.0,0.0630999999999915,Total infected derivative,0%
32,32.0,0.041100000000000136,Total infected derivative,0%
33,33.0,0.036100000000004684,Total infected derivative,0%
34,34.0,0.03105000000000757,Total infected derivative,0%
35,35.0,0.025000000000005684,Total infected derivative,0%
36,36.0,0.023099999999999454,Total infected derivative,0%
37,37.0,0.019099999999994566,Total infected derivative,0%
38,38.0,0.012999999999991019,Total infected derivative,0%
39,39.0,0.015000000000000568,Total infected derivative,0%
40,40.0,0.01500000000001478,Total infected derivative,0%
41,41.0,0.012050000000002115,Total infected derivative,0%
42,42.0,0.009050000000002001,Total infected derivative,0%
43,43.0,0.01099999999999568,Total infected derivative,0%
44,44.0,0.013999999999995794,Total infected derivative,0%
45,45.0,0.010049999999992565,Total infected derivative,0%
46,46.0,0.006000000000000227,Total infected derivative,0%
47,47.0,0.012000000000000455,Total infected derivative,0%
48,48.0,0.010049999999992565,Total infected derivative,0%
49,49.0,0.0030000000000143245,Total infected derivative,0%
50,50.0,0.006000000000000227,Total infected derivative,0%
51,51.0,0.0040499999999923375,Total infected derivative,0%
52,52.0,0.0010500000000064347,Total infected derivative,0%
53,53.0,0.0030000000000001137,Total infected derivative,0%
54,54.0,0.0040000000000048885,Total infected derivative,0%
55,55.0,0.0030000000000001137,Total infected derivative,0%
56,56.0,0.003999999999990678,Total infected derivative,0%
57,57.0,0.006000000000000227,Total infected derivative,0%
58,58.0,0.0040000000000048885,Total infected derivative,0%
59,59.0,0.001999999999995339,Total infected derivative,0%
60,60.0,0.001999999999981128,Total infected derivative,0%
61,0.0,0.0,Total infected derivative,10%
62,1.0,1.5721499999999935,Total infected derivative,10%
63,2.0,4.8367000000000075,Total infected derivative,10%
64,3.0,8.749500000000012,Total infected derivative,10%
65,4.0,13.785549999999986,Total infected derivative,10%
66,5.0,19.292599999999993,Total infected derivative,10%
67,6.0,19.596199999999996,Total infected derivative,10%
68,7.0,15.540050000000008,Total infected derivative,10%
69,8.0,17.589150000000004,Total infected derivative,10%
70,9.0,22.3968,Total infected derivative,10%
71,10.0,22.74050000000001,Total infected derivative,10%
72,11.0,20.4679,Total infected derivative,10%
73,12.0,17.32065,Total infected derivative,10%
74,13.0,13.542149999999992,Total infected derivative,10%
75,14.0,9.73245,Total infected derivative,10%
76,15.0,7.450900000000004,Total infected derivative,10%
77,16.0,5.97999999999999,Total infected derivative,10%
78,17.0,4.527050000000003,Total infected derivative,10%
79,18.0,3.4438499999999976,Total infected derivative,10%
80,19.0,2.5550499999999943,Total infected derivative,10%
81,20.0,1.864750000000015,Total infected derivative,10%
82,21.0,1.3226499999999959,Total infected derivative,10%
83,22.0,0.9819499999999977,Total infected derivative,10%
