day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456882	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	218	0	0	0	0	[]	0	0
1	123456882	67	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	218	218	0	0	0	5	[]	0	0
2	123456882	62	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	218	218	0	0	0	5	[]	0	1
3	123456882	52	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	218	0	0	0	11	[]	0	2
4	123456882	46	19	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	218	218	0	0	0	14	[]	0	3
5	123456882	37	21	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	218	0	0	0	14	[]	0	7
6	123456882	37	17	13	4	0	0	0	0	0	0	0	0	0	0	1	0	19	11	1	0	0	1	218	218	0	0	0	14	[]	0	7
7	123456882	34	15	16	6	0	0	0	0	0	0	0	0	0	0	1	0	19	13	1	0	0	1	218	218	0	0	0	17	[]	0	8
8	123456882	25	19	18	8	0	0	0	0	0	0	0	0	0	0	2	0	38	14	2	0	0	2	218	218	0	0	0	17	[]	0	9
9	123456882	17	23	21	9	0	0	0	0	0	0	0	0	0	0	2	0	38	14	2	0	0	2	218	218	0	0	0	18	[]	0	10
10	123456882	14	21	19	12	0	0	2	0	0	0	0	0	0	0	4	0	75	15	4	2	0	4	218	218	0	0	0	20	[]	0	10
11	123456882	10	16	27	13	0	0	1	1	0	0	0	0	0	0	2	2	93	16	4	2	0	4	218	218	0	0	0	22	[]	0	12
12	123456882	5	17	20	18	0	1	5	1	0	0	0	0	0	0	3	2	112	18	5	6	0	5	218	204	14	0	0	22	[2B]	1	12
13	123456882	5	14	21	20	0	1	5	1	0	0	0	0	0	0	2	3	131	18	5	6	0	5	218	204	14	0	0	22	[2B]	1	11
14	123456882	5	9	19	25	0	0	6	2	0	0	0	0	0	0	2	4	148	19	6	7	0	6	218	204	14	0	0	22	[2B]	1	11
15	123456882	0	9	23	26	0	0	6	2	0	0	0	0	0	0	2	4	165	23	6	7	0	6	218	204	14	0	0	22	[2B]	1	11
16	123456882	0	8	14	31	0	0	10	2	0	0	0	0	0	0	4	3	203	23	8	11	0	8	218	204	14	0	0	22	[2B]	1	10
17	123456882	0	7	12	34	0	0	7	5	0	0	0	0	0	0	2	5	203	23	8	11	0	8	218	204	14	0	0	22	[2B]	1	10
18	123456882	0	6	12	36	0	0	7	5	0	0	0	0	0	0	2	4	203	26	8	11	0	8	218	204	14	0	0	22	[2B]	1	10
19	123456882	0	3	13	36	0	0	8	5	0	0	1	0	0	0	2	4	239	28	8	12	1	8	218	204	14	0	0	22	[2B]	1	10
20	123456882	0	2	13	41	0	0	8	3	0	0	1	0	0	0	2	2	239	30	8	12	1	8	218	204	14	0	0	22	[2B]	1	10
21	123456882	0	2	6	43	0	0	10	5	0	0	2	0	0	0	2	2	292	32	8	15	2	8	218	190	28	0	0	22	[2B 1C]	2	9
22	123456882	0	0	6	51	0	0	6	4	0	0	1	1	0	0	2	1	292	35	8	15	2	8	218	204	14	0	0	22	[1C]	1	8
23	123456882	0	0	5	52	0	0	5	5	0	0	1	1	0	0	1	2	292	37	8	15	2	8	218	204	14	0	0	22	[1C]	1	8
24	123456882	0	0	3	56	0	0	4	5	0	0	1	1	0	0	0	2	310	39	8	15	2	8	218	204	14	0	0	22	[1C]	1	5
25	123456882	0	0	2	57	0	0	3	6	0	0	1	1	0	0	0	2	310	42	8	15	2	8	218	204	14	0	0	22	[1C]	1	5
26	123456882	0	0	2	59	0	0	2	6	0	0	1	1	0	0	0	1	310	42	8	15	2	8	218	204	14	0	0	22	[1C]	1	4
27	123456882	0	0	1	60	0	0	2	6	0	0	0	2	0	0	0	1	310	43	8	15	2	8	218	204	14	0	0	22	[1C]	1	3
28	123456882	0	0	0	61	0	0	2	6	0	0	0	2	0	0	0	1	310	44	8	15	2	8	218	204	14	0	0	22	[1C]	1	2
29	123456882	0	0	0	63	0	0	1	6	0	0	0	1	0	0	0	1	310	45	8	15	2	8	218	204	14	0	0	22	[1C]	1	1
30	123456882	0	0	0	63	0	0	1	6	0	0	0	1	0	0	0	1	310	49	8	15	2	8	218	204	14	0	0	22	[1C]	1	1
31	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	50	8	15	2	8	218	218	0	0	0	22	[]	0	0
32	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	52	8	15	2	8	218	218	0	0	0	22	[]	0	0
33	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	54	8	15	2	8	218	218	0	0	0	22	[]	0	0
34	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	57	8	15	2	8	218	218	0	0	0	22	[]	0	0
35	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	57	8	15	2	8	218	218	0	0	0	22	[]	0	0
36	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	61	8	15	2	8	218	218	0	0	0	22	[]	0	0
37	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	61	8	15	2	8	218	218	0	0	0	22	[]	0	0
38	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	63	8	15	2	8	218	218	0	0	0	22	[]	0	0
39	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	63	8	15	2	8	218	218	0	0	0	22	[]	0	0
40	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	65	8	15	2	8	218	218	0	0	0	22	[]	0	0
41	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	67	8	15	2	8	218	218	0	0	0	22	[]	0	0
42	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	69	8	15	2	8	218	218	0	0	0	22	[]	0	0
43	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	70	8	15	2	8	218	218	0	0	0	22	[]	0	0
44	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	72	8	15	2	8	218	218	0	0	0	22	[]	0	0
45	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	73	8	15	2	8	218	218	0	0	0	22	[]	0	0
46	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	76	8	15	2	8	218	218	0	0	0	22	[]	0	0
47	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	80	8	15	2	8	218	218	0	0	0	22	[]	0	0
48	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	81	8	15	2	8	218	218	0	0	0	22	[]	0	0
49	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	81	8	15	2	8	218	218	0	0	0	22	[]	0	0
50	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	82	8	15	2	8	218	218	0	0	0	22	[]	0	0
51	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	84	8	15	2	8	218	218	0	0	0	22	[]	0	0
52	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	86	8	15	2	8	218	218	0	0	0	22	[]	0	0
53	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	87	8	15	2	8	218	218	0	0	0	22	[]	0	0
54	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	88	8	15	2	8	218	218	0	0	0	22	[]	0	0
55	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	89	8	15	2	8	218	218	0	0	0	22	[]	0	0
56	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	90	8	15	2	8	218	218	0	0	0	22	[]	0	0
57	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	91	8	15	2	8	218	218	0	0	0	22	[]	0	0
58	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	92	8	15	2	8	218	218	0	0	0	22	[]	0	0
59	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	95	8	15	2	8	218	218	0	0	0	22	[]	0	0
60	123456882	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	310	96	8	15	2	8	218	218	0	0	0	22	[]	0	0
