,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,0.1111,Infected,0%
3,3.0,0.3434,Infected,0%
4,4.0,0.6162,Infected,0%
5,5.0,1.1616,Infected,0%
6,6.0,2.1717,Infected,0%
7,7.0,2.7979,Infected,0%
8,8.0,2.899,Infected,0%
9,9.0,3.5152,Infected,0%
10,10.0,4.798,Infected,0%
11,11.0,6.2727,Infected,0%
12,12.0,7.9293000000000005,Infected,0%
13,13.0,10.909099999999999,Infected,0%
14,14.0,11.797900000000002,Infected,0%
15,15.0,12.333300000000001,Infected,0%
16,16.0,13.101,Infected,0%
17,17.0,14.0302,Infected,0%
18,18.0,15.2929,Infected,0%
19,19.0,17.3232,Infected,0%
20,20.0,19.2525,Infected,0%
21,21.0,19.9293,Infected,0%
22,22.0,19.3938,Infected,0%
23,23.0,19.4444,Infected,0%
24,24.0,20.01,Infected,0%
25,25.0,20.8989,Infected,0%
26,26.0,22.2525,Infected,0%
27,27.0,23.373600000000003,Infected,0%
28,28.0,22.990000000000002,Infected,0%
29,29.0,21.090899999999998,Infected,0%
30,30.0,21.1615,Infected,0%
31,31.0,20.9191,Infected,0%
32,32.0,21.282799999999998,Infected,0%
33,33.0,21.9999,Infected,0%
34,34.0,22.797900000000002,Infected,0%
35,35.0,22.434200000000004,Infected,0%
36,36.0,19.4343,Infected,0%
37,37.0,19.01,Infected,0%
38,38.0,18.8586,Infected,0%
39,39.0,18.4747,Infected,0%
40,40.0,18.6969,Infected,0%
41,41.0,18.8181,Infected,0%
42,42.0,18.2423,Infected,0%
43,43.0,15.303,Infected,0%
44,44.0,14.8586,Infected,0%
45,45.0,14.2525,Infected,0%
46,46.0,13.8787,Infected,0%
47,47.0,13.808000000000002,Infected,0%
48,48.0,14.404000000000002,Infected,0%
49,49.0,13.8788,Infected,0%
50,50.0,11.2828,Infected,0%
51,51.0,10.696999999999997,Infected,0%
52,52.0,10.7777,Infected,0%
53,53.0,11.0606,Infected,0%
54,54.0,11.222199999999999,Infected,0%
55,55.0,11.8282,Infected,0%
56,56.0,11.555600000000002,Infected,0%
57,57.0,9.343399999999999,Infected,0%
58,58.0,9.0909,Infected,0%
59,59.0,9.141399999999999,Infected,0%
60,60.0,9.4343,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,0.0909,Infected,10%
64,3.0,0.2525,Infected,10%
65,4.0,0.4141,Infected,10%
66,5.0,0.7475,Infected,10%
67,6.0,1.5253,Infected,10%
68,7.0,1.7879,Infected,10%
69,8.0,2.1313,Infected,10%
70,9.0,2.5656,Infected,10%
71,10.0,3.1717,Infected,10%
72,11.0,4.4646,Infected,10%
73,12.0,6.2121,Infected,10%
74,13.0,8.2828,Infected,10%
75,14.0,9.070700000000002,Infected,10%
76,15.0,9.626199999999999,Infected,10%
77,16.0,10.2424,Infected,10%
78,17.0,11.090900000000001,Infected,10%
79,18.0,12.212000000000002,Infected,10%
80,19.0,13.999899999999998,Infected,10%
81,20.0,16.0908,Infected,10%
82,21.0,16.8181,Infected,10%
83,22.0,16.6767,Infected,10%
84,23.0,16.8484,Infected,10%
85,24.0,17.0706,Infected,10%
86,25.0,17.979800000000004,Infected,10%
87,26.0,18.7878,Infected,10%
88,27.0,20.131299999999996,Infected,10%
89,28.0,20.0908,Infected,10%
90,29.0,18.333299999999998,Infected,10%
91,30.0,18.050499999999996,Infected,10%
92,31.0,18.040399999999998,Infected,10%
93,32.0,18.131200000000003,Infected,10%
94,33.0,18.1414,Infected,10%
95,34.0,18.575699999999998,Infected,10%
96,35.0,18.0302,Infected,10%
97,36.0,15.404,Infected,10%
98,37.0,14.9899,Infected,10%
99,38.0,15.000000000000002,Infected,10%
100,39.0,14.9697,Infected,10%
101,40.0,15.1212,Infected,10%
102,41.0,15.0808,Infected,10%
103,42.0,14.767600000000002,Infected,10%
104,43.0,12.171700000000001,Infected,10%
105,44.0,12.1211,Infected,10%
106,45.0,12.111099999999999,Infected,10%
107,46.0,12.3535,Infected,10%
108,47.0,12.706999999999999,Infected,10%
109,48.0,13.222199999999999,Infected,10%
110,49.0,12.858600000000001,Infected,10%
111,50.0,10.696900000000001,Infected,10%
112,51.0,10.444500000000001,Infected,10%
113,52.0,10.363600000000002,Infected,10%
114,53.0,10.262599999999999,Infected,10%
115,54.0,10.4647,Infected,10%
116,55.0,10.7878,Infected,10%
117,56.0,10.313099999999999,Infected,10%
118,57.0,8.8484,Infected,10%
119,58.0,8.7475,Infected,10%
120,59.0,8.979800000000001,Infected,10%
121,60.0,9.1515,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.0202,Infected,40%
125,3.0,0.0808,Infected,40%
126,4.0,0.2222,Infected,40%
127,5.0,0.303,Infected,40%
128,6.0,0.4747,Infected,40%
129,7.0,0.7071,Infected,40%
130,8.0,0.8485,Infected,40%
131,9.0,1.202,Infected,40%
132,10.0,1.5756999999999999,Infected,40%
133,11.0,2.0909,Infected,40%
134,12.0,2.808,Infected,40%
135,13.0,3.5757,Infected,40%
136,14.0,4.0606,Infected,40%
137,15.0,4.3332999999999995,Infected,40%
138,16.0,4.6263000000000005,Infected,40%
139,17.0,4.999899999999999,Infected,40%
140,18.0,5.6565,Infected,40%
141,19.0,6.333300000000001,Infected,40%
142,20.0,7.0908999999999995,Infected,40%
143,21.0,7.424200000000001,Infected,40%
144,22.0,7.4242,Infected,40%
