,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.42090000000001737,0.0014513793103448874,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,1.450900000000047,0.005003103448276024,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,3.3006000000000313,0.011381379310344936,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,6.609200000000044,0.022790344827586358,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,8.907899999999984,0.03071689655172408,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,10.671299999999974,0.03679758620689646,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,16.366800000000012,0.05643724137931039,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,25.980000000000018,0.08958620689655179,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,38.9119,0.1341789655172414,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,55.37080000000003,0.19093379310344838,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,74.81360000000001,0.2579779310344828,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,88.57119999999998,0.30541793103448267,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,98.51100000000002,0.33969310344827597,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,115.98000000000002,0.3999310344827587,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,135.2806,0.46648482758620685,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,154.44490000000002,0.5325686206896553,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,172.5692,0.5950662068965517,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,189.5993,0.6537906896551724,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,201.497,0.6948172413793104,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,210.0582,0.7243386206896552,Total infected,0%,Vaccine Efficacy 50%,Low
22,23.0,219.9579,0.7584755172413793,Total infected,0%,Vaccine Efficacy 50%,Low
