,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.44290000000000873,0.001527241379310375,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,1.412900000000036,0.004872068965517366,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,3.2724999999999795,0.01128448275862062,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,6.388800000000003,0.02203034482758622,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,8.829700000000003,0.030447241379310354,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,10.527099999999962,0.036300344827586074,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,15.791600000000017,0.054453793103448334,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,24.92180000000002,0.08593724137931041,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,37.050099999999986,0.12775896551724134,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,52.178300000000036,0.17992517241379322,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,69.76350000000002,0.24056379310344836,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,82.54910000000001,0.28465206896551726,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,91.74549999999999,0.31636379310344825,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,106.99599999999998,0.368951724137931,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,124.55310000000003,0.42949344827586217,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,142.9499,0.49293068965517245,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,161.0401,0.5553106896551724,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,177.974,0.613703448275862,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,189.92989999999998,0.6549306896551723,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,198.5852,0.6847765517241379,Total infected,0%,Vaccine Efficacy 50%,Low
22,23.0,208.9719,0.7205927586206897,Total infected,0%,Vaccine Efficacy 50%,Low
