,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.44290000000000873,0.001527241379310375,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,1.4008000000000038,0.00483034482758622,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,3.16640000000001,0.010918620689655207,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,6.004000000000019,0.020703448275862135,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,8.210300000000018,0.02831137931034489,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,9.86379999999997,0.03401310344827575,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,14.55110000000002,0.05017620689655179,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,22.170500000000004,0.07645000000000002,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,32.380799999999965,0.11165793103448264,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,45.05620000000005,0.1553662068965519,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,59.92779999999999,0.20664758620689652,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,70.47889999999995,0.24303068965517224,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,78.35470000000004,0.2701886206896553,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,90.7235,0.3128396551724138,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,105.2305,0.3628637931034483,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,120.52499999999998,0.415603448275862,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,135.976,0.4688827586206897,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,151.3508,0.5218993103448275,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,162.1182,0.5590282758620689,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,169.964,0.5860827586206897,Total infected,0%,Vaccine Efficacy 50%,Low
22,23.0,179.7276,0.6197503448275862,Total infected,0%,Vaccine Efficacy 50%,Low
