,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.2786000000000399,0.0009606896551725514,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,0.6193000000000097,0.002135517241379344,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,1.1983999999999924,0.004132413793103422,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,2.074200000000019,0.007152413793103513,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,2.81370000000004,0.009702413793103586,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,3.440900000000056,0.011865172413793297,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,4.82770000000005,0.016647241379310517,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,6.981900000000053,0.024075517241379494,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,10.020100000000014,0.03455206896551729,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,13.935900000000004,0.04805482758620691,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,18.953899999999976,0.06535827586206888,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,22.81170000000003,0.07866103448275873,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,25.53309999999999,0.08804517241379307,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,30.781600000000026,0.10614344827586215,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,37.3888,0.12892689655172415,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,45.54910000000001,0.15706586206896556,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,55.1703,0.19024241379310344,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,66.13030000000003,0.22803551724137944,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,74.08620000000002,0.2554696551724139,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,80.02000000000004,0.27593103448275874,Total infected,0%,Vaccine Efficacy 50%,Low
