,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.2785000000000082,0.0009603448275862351,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,0.6133000000000379,0.0021148275862070275,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,1.186399999999992,0.004091034482758593,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,2.032100000000071,0.007007241379310589,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,2.731399999999951,0.009418620689655004,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,3.3286999999999694,0.01147827586206886,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,4.6293000000000575,0.01596310344827606,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,6.4290000000000305,0.022168965517241485,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,9.056100000000015,0.03122793103448281,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,12.238499999999988,0.04220172413793099,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,16.036200000000008,0.05529724137931037,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,18.98599999999999,0.06546896551724135,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,21.14640000000003,0.07291862068965527,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,24.593200000000024,0.08480413793103457,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,28.769499999999994,0.09920517241379308,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,33.80959999999999,0.11658482758620686,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,39.60919999999999,0.13658344827586202,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,45.809799999999996,0.1579648275862069,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,50.43090000000001,0.17389965517241382,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,53.93379999999996,0.18597862068965504,Total infected,0%,Vaccine Efficacy 50%,Low
