,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.4430000000000405,0.0015275862068966912,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,1.3847999999999843,0.00477517241379305,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,3.0702000000000567,0.010586896551724333,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,5.717399999999998,0.019715172413793097,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,7.809599999999989,0.026929655172413754,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,9.310600000000022,0.03210551724137939,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,12.9178,0.04454413793103448,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,18.727400000000046,0.06457724137931051,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,25.821799999999996,0.0890406896551724,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,34.412900000000036,0.11866517241379322,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,44.3347,0.15287827586206895,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,51.528999999999996,0.1776862068965517,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,56.73939999999999,0.19565310344827583,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,65.68129999999996,0.22648724137931023,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,76.36869999999999,0.26334034482758617,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,87.50720000000001,0.3017489655172414,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,98.88780000000003,0.3409924137931035,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,110.59120000000001,0.38134896551724146,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,119.28059999999999,0.4113124137931034,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,125.32659999999998,0.43216068965517235,Total infected,0%,Vaccine Efficacy 50%,Low
