,day,cumulative_infected,type_pretty,efficacy,policy
0,1.0,0.0,0%,Vaccine Efficacy 100%,D1
1,2.0,0.00024208333333331685,0%,Vaccine Efficacy 100%,D1
2,3.0,0.0008266666666666349,0%,Vaccine Efficacy 100%,D1
3,4.0,0.0019375000000000143,0%,Vaccine Efficacy 100%,D1
4,5.0,0.0038079166666665997,0%,Vaccine Efficacy 100%,D1
5,6.0,0.007072499999999949,0%,Vaccine Efficacy 100%,D1
6,7.0,0.009519166666666598,0%,Vaccine Efficacy 100%,D1
7,8.0,0.011664999999999991,0%,Vaccine Efficacy 100%,D1
8,9.0,0.015255416666666596,0%,Vaccine Efficacy 100%,D1
9,10.0,0.020524166666666708,0%,Vaccine Efficacy 100%,D1
10,11.0,0.028005833333333285,0%,Vaccine Efficacy 100%,D1
11,12.0,0.03745833333333337,0%,Vaccine Efficacy 100%,D1
12,13.0,0.050049999999999886,0%,Vaccine Efficacy 100%,D1
13,14.0,0.05919291666666678,0%,Vaccine Efficacy 100%,D1
14,15.0,0.06584000000000004,0%,Vaccine Efficacy 100%,D1
15,16.0,0.07407291666666668,0%,Vaccine Efficacy 100%,D1
16,17.0,0.08430208333333328,0%,Vaccine Efficacy 100%,D1
17,18.0,0.09677708333333328,0%,Vaccine Efficacy 100%,D1
18,19.0,0.11207458333333342,0%,Vaccine Efficacy 100%,D1
19,20.0,0.13058625,0%,Vaccine Efficacy 100%,D1
20,21.0,0.1439883333333333,0%,Vaccine Efficacy 100%,D1
21,22.0,0.15390750000000017,0%,Vaccine Efficacy 100%,D1
22,23.0,0.16392833333333337,0%,Vaccine Efficacy 100%,D1
23,24.0,0.1753008333333335,0%,Vaccine Efficacy 100%,D1
24,25.0,0.18915374999999995,0%,Vaccine Efficacy 100%,D1
25,26.0,0.20567749999999993,0%,Vaccine Efficacy 100%,D1
26,27.0,0.22333041666666667,0%,Vaccine Efficacy 100%,D1
27,28.0,0.2355629166666668,0%,Vaccine Efficacy 100%,D1
28,29.0,0.24478166666666656,0%,Vaccine Efficacy 100%,D1
29,30.0,0.2546262500000001,0%,Vaccine Efficacy 100%,D1
30,31.0,0.2656145833333335,0%,Vaccine Efficacy 100%,D1
31,32.0,0.27739624999999996,0%,Vaccine Efficacy 100%,D1
32,33.0,0.2911908333333333,0%,Vaccine Efficacy 100%,D1
33,34.0,0.30621249999999994,0%,Vaccine Efficacy 100%,D1
34,35.0,0.31686708333333335,0%,Vaccine Efficacy 100%,D1
35,36.0,0.32496624999999985,0%,Vaccine Efficacy 100%,D1
36,37.0,0.3331499999999997,0%,Vaccine Efficacy 100%,D1
37,38.0,0.3417254166666666,0%,Vaccine Efficacy 100%,D1
38,39.0,0.3512524999999999,0%,Vaccine Efficacy 100%,D1
39,40.0,0.3625170833333333,0%,Vaccine Efficacy 100%,D1
40,41.0,0.37528374999999997,0%,Vaccine Efficacy 100%,D1
41,42.0,0.3844775000000001,0%,Vaccine Efficacy 100%,D1
42,43.0,0.3909987500000001,0%,Vaccine Efficacy 100%,D1
43,44.0,0.39780375000000007,0%,Vaccine Efficacy 100%,D1
44,45.0,0.4049104166666667,0%,Vaccine Efficacy 100%,D1
45,46.0,0.4133433333333335,0%,Vaccine Efficacy 100%,D1
46,47.0,0.42205208333333327,0%,Vaccine Efficacy 100%,D1
47,48.0,0.43191375000000015,0%,Vaccine Efficacy 100%,D1
48,49.0,0.4391449999999999,0%,Vaccine Efficacy 100%,D1
49,50.0,0.44466458333333325,0%,Vaccine Efficacy 100%,D1
50,51.0,0.4500670833333333,0%,Vaccine Efficacy 100%,D1
51,52.0,0.45560291666666664,0%,Vaccine Efficacy 100%,D1
52,53.0,0.4620908333333334,0%,Vaccine Efficacy 100%,D1
53,54.0,0.4692470833333333,0%,Vaccine Efficacy 100%,D1
54,55.0,0.4776058333333334,0%,Vaccine Efficacy 100%,D1
55,56.0,0.48363375000000014,0%,Vaccine Efficacy 100%,D1
56,57.0,0.4883266666666667,0%,Vaccine Efficacy 100%,D1
57,58.0,0.49312833333333334,0%,Vaccine Efficacy 100%,D1
58,59.0,0.4984804166666667,0%,Vaccine Efficacy 100%,D1
59,60.0,0.5046845833333333,0%,Vaccine Efficacy 100%,D1
60,1.0,0.0,10%,Vaccine Efficacy 100%,D1
61,2.0,0.000296759259259242,10%,Vaccine Efficacy 100%,D1
62,3.0,0.000853703703703622,10%,Vaccine Efficacy 100%,D1
63,4.0,0.0019208333333334128,10%,Vaccine Efficacy 100%,D1
64,5.0,0.0036921296296295613,10%,Vaccine Efficacy 100%,D1
65,6.0,0.006671296296296308,10%,Vaccine Efficacy 100%,D1
66,7.0,0.009073611111111133,10%,Vaccine Efficacy 100%,D1
67,8.0,0.011050000000000103,10%,Vaccine Efficacy 100%,D1
68,9.0,0.014074537037037016,10%,Vaccine Efficacy 100%,D1
69,10.0,0.019028240740740818,10%,Vaccine Efficacy 100%,D1
