,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,239.7638,0.2362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.7518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2362,0.0000,0.0000
2,2,239.4695,0.4695,0.0601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,60.0190,1.4745,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4735,0.0000,0.0611
3,3,239.0380,0.7568,0.1742,0.0100,0.0180,0.0000,0.0010,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,60.0380,2.2402,0.0000,0.0010,0.0020,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7337,0.0010,0.1602
4,4,238.4695,1.0430,0.3654,0.0340,0.0701,0.0020,0.0040,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0080,0.0000,60.2282,2.9459,0.0080,0.0040,0.0040,0.0080,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9540,0.0040,0.3143
5,5,237.7217,1.4294,0.6016,0.0761,0.1321,0.0100,0.0100,0.0000,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0110,0.0010,60.3614,3.6837,0.0120,0.0100,0.0070,0.0120,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1932,0.0080,0.4635
6,6,237.3734,1.2603,0.9459,0.1461,0.2072,0.0150,0.0220,0.0030,0.0000,0.0000,0.0060,0.0010,0.0000,0.0000,0.0160,0.0040,60.5135,4.3854,0.0200,0.0180,0.0070,0.0200,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4655,0.0130,0.6637
7,7,237.0501,1.1411,1.1371,0.2913,0.2843,0.0160,0.0360,0.0060,0.0000,0.0000,0.0060,0.0010,0.0000,0.0000,0.0260,0.0050,60.7417,5.0480,0.0310,0.0280,0.0070,0.0310,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7117,0.0180,0.8138
8,8,234.4004,1.5576,0.7487,0.3594,2.1211,0.1001,0.5606,0.1001,0.0000,0.0000,0.0100,0.0020,0.0000,0.0000,0.0350,0.0050,124.6246,5.7838,0.0400,0.5085,0.0120,0.0400,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9520,0.1371,0.9379
9,9,233.2853,2.1281,1.0901,0.4555,2.2002,0.0801,0.5125,0.1842,0.0000,0.0000,0.0160,0.0030,0.0000,0.0000,0.0340,0.0110,124.9860,6.5245,0.0450,0.5145,0.0190,0.0450,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1622,0.1421,1.0951
