,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.2271,0.2271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2271,0.0000,0.0000
2,0.0000,0.6847,0.5055,0.0616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.3580,1.4033,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4544,0.0000,0.0625
3,0.0000,2.1209,1.0067,0.2188,0.0098,0.2932,0.0000,0.0009,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.6839,2.2289,0.0000,0.0009,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7425,0.0009,0.1724
4,0.0000,5.2784,1.6998,0.5569,0.0365,1.1852,0.0020,0.0039,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0079,0.0000,4.2147,2.9494,0.0079,0.0039,0.0039,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9373,0.0039,0.3403
5,0.0000,10.5289,2.9921,1.0829,0.0928,2.1564,0.0416,0.0157,0.0000,0.0000,0.0000,0.0068,0.0000,0.0000,0.0000,0.0106,0.0010,6.5760,3.5551,0.0115,0.0157,0.0068,0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1373,0.0078,0.4699
6,0.0000,12.7283,1.9825,1.9474,0.1979,3.2627,0.0346,0.0571,0.0030,0.0000,0.0000,0.0058,0.0010,0.0000,0.0000,0.0156,0.0038,9.3120,4.1309,0.0192,0.0315,0.0068,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3997,0.0127,0.6359
7,0.0000,15.0274,1.5205,2.2933,0.4444,4.4277,0.0336,0.1001,0.0079,0.0000,0.0000,0.0058,0.0010,0.0000,0.0000,0.0291,0.0047,15.4897,4.7523,0.0336,0.0589,0.0068,0.0336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6294,0.0175,0.7630
8,0.0000,64.8666,2.4475,1.0286,0.5246,34.3894,0.1869,1.6445,0.2007,0.0000,0.0000,0.0098,0.0019,0.0000,0.0000,0.0375,0.0047,69.4275,5.3744,0.0419,1.2339,0.0116,0.0419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8356,0.1423,0.8694
9,0.0000,72.2813,4.4346,1.7910,0.6955,35.3090,0.1208,1.4634,0.4191,0.0000,0.0000,0.0156,0.0029,0.0000,0.0000,0.0365,0.0106,81.1281,6.2470,0.0464,1.2397,0.0184,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9769,0.1459,1.0153
