,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.09019999999998163,Total infected derivative,0%,Vaccine Efficacy 50%,Low
1,1.0,0.1392500000000041,Total infected derivative,0%,Vaccine Efficacy 50%,Low
2,2.0,0.26155000000002815,Total infected derivative,0%,Vaccine Efficacy 50%,Low
3,3.0,0.45394999999999186,Total infected derivative,0%,Vaccine Efficacy 50%,Low
4,4.0,0.7094000000000165,Total infected derivative,0%,Vaccine Efficacy 50%,Low
5,5.0,0.7724999999999795,Total infected derivative,0%,Vaccine Efficacy 50%,Low
6,6.0,0.6482999999999493,Total infected derivative,0%,Vaccine Efficacy 50%,Low
7,7.0,0.9489500000000533,Total infected derivative,0%,Vaccine Efficacy 50%,Low
8,8.0,1.5501500000000306,Total infected derivative,0%,Vaccine Efficacy 50%,Low
9,9.0,2.2133999999999787,Total infected derivative,0%,Vaccine Efficacy 50%,Low
10,10.0,2.9047499999999786,Total infected derivative,0%,Vaccine Efficacy 50%,Low
11,11.0,3.4900499999999965,Total infected derivative,0%,Vaccine Efficacy 50%,Low
12,12.0,3.373750000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
13,13.0,2.55510000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
14,14.0,2.803600000000017,Total infected derivative,0%,Vaccine Efficacy 50%,Low
15,15.0,3.8115499999999827,Total infected derivative,0%,Vaccine Efficacy 50%,Low
16,16.0,4.608199999999982,Total infected derivative,0%,Vaccine Efficacy 50%,Low
17,17.0,5.419849999999997,Total infected derivative,0%,Vaccine Efficacy 50%,Low
18,18.0,6.000100000000003,Total infected derivative,0%,Vaccine Efficacy 50%,Low
19,19.0,5.410850000000011,Total infected derivative,0%,Vaccine Efficacy 50%,Low
20,20.0,4.061999999999983,Total infected derivative,0%,Vaccine Efficacy 50%,Low
21,21.0,4.1974500000000035,Total infected derivative,0%,Vaccine Efficacy 50%,Low
22,22.0,5.207450000000023,Total infected derivative,0%,Vaccine Efficacy 50%,Low
23,23.0,5.785550000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
24,24.0,6.376800000000003,Total infected derivative,0%,Vaccine Efficacy 50%,Low
25,25.0,6.7374499999999955,Total infected derivative,0%,Vaccine Efficacy 50%,Low
26,26.0,5.783600000000007,Total infected derivative,0%,Vaccine Efficacy 50%,Low
27,27.0,4.196399999999983,Total infected derivative,0%,Vaccine Efficacy 50%,Low
28,28.0,4.074099999999987,Total infected derivative,0%,Vaccine Efficacy 50%,Low
29,29.0,4.90485000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
30,30.0,5.250499999999988,Total infected derivative,0%,Vaccine Efficacy 50%,Low
