,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.09019999999998163,Total infected derivative,0%,Vaccine Efficacy 50%,Low
1,1.0,0.22150000000002024,Total infected derivative,0%,Vaccine Efficacy 50%,Low
2,2.0,0.6473000000000013,Total infected derivative,0%,Vaccine Efficacy 50%,Low
3,3.0,1.313600000000008,Total infected derivative,0%,Vaccine Efficacy 50%,Low
4,4.0,2.1663000000000068,Total infected derivative,0%,Vaccine Efficacy 50%,Low
5,5.0,2.369699999999966,Total infected derivative,0%,Vaccine Efficacy 50%,Low
6,6.0,1.7966000000000122,Total infected derivative,0%,Vaccine Efficacy 50%,Low
7,7.0,2.5541000000000054,Total infected derivative,0%,Vaccine Efficacy 50%,Low
8,8.0,4.708400000000012,Total infected derivative,0%,Vaccine Efficacy 50%,Low
9,9.0,6.451999999999998,Total infected derivative,0%,Vaccine Efficacy 50%,Low
10,10.0,7.842749999999995,Total infected derivative,0%,Vaccine Efficacy 50%,Low
11,11.0,9.256450000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
12,12.0,8.55804999999998,Total infected derivative,0%,Vaccine Efficacy 50%,Low
13,13.0,6.202349999999996,Total infected derivative,0%,Vaccine Efficacy 50%,Low
14,14.0,7.076149999999984,Total infected derivative,0%,Vaccine Efficacy 50%,Low
15,15.0,9.81465,Total infected derivative,0%,Vaccine Efficacy 50%,Low
16,16.0,10.912950000000023,Total infected derivative,0%,Vaccine Efficacy 50%,Low
17,17.0,11.259550000000019,Total infected derivative,0%,Vaccine Efficacy 50%,Low
18,18.0,11.542000000000002,Total infected derivative,0%,Vaccine Efficacy 50%,Low
19,19.0,10.196399999999983,Total infected derivative,0%,Vaccine Efficacy 50%,Low
20,20.0,7.367699999999985,Total infected derivative,0%,Vaccine Efficacy 50%,Low
21,21.0,7.246449999999982,Total infected derivative,0%,Vaccine Efficacy 50%,Low
22,22.0,8.76455,Total infected derivative,0%,Vaccine Efficacy 50%,Low
23,23.0,8.945900000000023,Total infected derivative,0%,Vaccine Efficacy 50%,Low
24,24.0,8.618250000000003,Total infected derivative,0%,Vaccine Efficacy 50%,Low
25,25.0,8.252499999999998,Total infected derivative,0%,Vaccine Efficacy 50%,Low
26,26.0,6.982950000000002,Total infected derivative,0%,Vaccine Efficacy 50%,Low
27,27.0,5.030199999999979,Total infected derivative,0%,Vaccine Efficacy 50%,Low
28,28.0,4.763500000000008,Total infected derivative,0%,Vaccine Efficacy 50%,Low
29,29.0,5.360600000000034,Total infected derivative,0%,Vaccine Efficacy 50%,Low
30,30.0,5.272599999999997,Total infected derivative,0%,Vaccine Efficacy 50%,Low
31,31.0,4.9909999999999854,Total infected derivative,0%,Vaccine Efficacy 50%,Low
32,32.0,4.7304499999999905,Total infected derivative,0%,Vaccine Efficacy 50%,Low
33,33.0,3.9548500000000075,Total infected derivative,0%,Vaccine Efficacy 50%,Low
34,34.0,2.7825500000000005,Total infected derivative,0%,Vaccine Efficacy 50%,Low
35,35.0,2.4829500000000024,Total infected derivative,0%,Vaccine Efficacy 50%,Low
36,36.0,2.708500000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
37,37.0,2.6724499999999978,Total infected derivative,0%,Vaccine Efficacy 50%,Low
38,38.0,2.566050000000004,Total infected derivative,0%,Vaccine Efficacy 50%,Low
39,39.0,2.471899999999991,Total infected derivative,0%,Vaccine Efficacy 50%,Low
40,40.0,2.057150000000007,Total infected derivative,0%,Vaccine Efficacy 50%,Low
41,41.0,1.557149999999993,Total infected derivative,0%,Vaccine Efficacy 50%,Low
42,42.0,1.4257999999999953,Total infected derivative,0%,Vaccine Efficacy 50%,Low
43,43.0,1.4749500000000069,Total infected derivative,0%,Vaccine Efficacy 50%,Low
44,44.0,1.4549499999999966,Total infected derivative,0%,Vaccine Efficacy 50%,Low
45,45.0,1.3847499999999968,Total infected derivative,0%,Vaccine Efficacy 50%,Low
46,46.0,1.341700000000003,Total infected derivative,0%,Vaccine Efficacy 50%,Low
47,47.0,1.1212500000000034,Total infected derivative,0%,Vaccine Efficacy 50%,Low
48,48.0,0.7705500000000001,Total infected derivative,0%,Vaccine Efficacy 50%,Low
49,49.0,0.6683000000000021,Total infected derivative,0%,Vaccine Efficacy 50%,Low
50,50.0,0.7023000000000081,Total infected derivative,0%,Vaccine Efficacy 50%,Low
51,51.0,0.7133999999999929,Total infected derivative,0%,Vaccine Efficacy 50%,Low
52,52.0,0.7055499999999881,Total infected derivative,0%,Vaccine Efficacy 50%,Low
53,53.0,0.6904500000000127,Total infected derivative,0%,Vaccine Efficacy 50%,Low
54,54.0,0.5961499999999944,Total infected derivative,0%,Vaccine Efficacy 50%,Low
55,55.0,0.42284999999999684,Total infected derivative,0%,Vaccine Efficacy 50%,Low
56,56.0,0.3948000000000036,Total infected derivative,0%,Vaccine Efficacy 50%,Low
57,57.0,0.4669499999999971,Total infected derivative,0%,Vaccine Efficacy 50%,Low
58,58.0,0.5160000000000053,Total infected derivative,0%,Vaccine Efficacy 50%,Low
59,59.0,0.5370000000000061,Total infected derivative,0%,Vaccine Efficacy 50%,Low
60,60.0,,Total infected derivative,0%,Vaccine Efficacy 50%,Low
61,0.0,0.07620000000002847,Total infected derivative,10%,Vaccine Efficacy 50%,Low
62,1.0,0.2094500000000039,Total infected derivative,10%,Vaccine Efficacy 50%,Low
63,2.0,0.5901499999999942,Total infected derivative,10%,Vaccine Efficacy 50%,Low
64,3.0,1.2244000000000028,Total infected derivative,10%,Vaccine Efficacy 50%,Low
65,4.0,2.1592999999999734,Total infected derivative,10%,Vaccine Efficacy 50%,Low
66,5.0,2.3206500000000005,Total infected derivative,10%,Vaccine Efficacy 50%,Low
67,6.0,1.6974500000000319,Total infected derivative,10%,Vaccine Efficacy 50%,Low
68,7.0,2.4610000000000127,Total infected derivative,10%,Vaccine Efficacy 50%,Low
69,8.0,4.53309999999999,Total infected derivative,10%,Vaccine Efficacy 50%,Low
70,9.0,6.266499999999979,Total infected derivative,10%,Vaccine Efficacy 50%,Low
71,10.0,7.641250000000014,Total infected derivative,10%,Vaccine Efficacy 50%,Low
72,11.0,8.980949999999993,Total infected derivative,10%,Vaccine Efficacy 50%,Low
73,12.0,8.29864999999998,Total infected derivative,10%,Vaccine Efficacy 50%,Low
74,13.0,6.084150000000037,Total infected derivative,10%,Vaccine Efficacy 50%,Low
75,14.0,6.728349999999992,Total infected derivative,10%,Vaccine Efficacy 50%,Low
76,15.0,9.07314999999997,Total infected derivative,10%,Vaccine Efficacy 50%,Low
77,16.0,9.946950000000015,Total infected derivative,10%,Vaccine Efficacy 50%,Low
78,17.0,10.279600000000016,Total infected derivative,10%,Vaccine Efficacy 50%,Low
79,18.0,10.726399999999998,Total infected derivative,10%,Vaccine Efficacy 50%,Low
80,19.0,9.281549999999996,Total infected derivative,10%,Vaccine Efficacy 50%,Low
81,20.0,6.641249999999999,Total infected derivative,10%,Vaccine Efficacy 50%,Low
82,21.0,6.826649999999987,Total infected derivative,10%,Vaccine Efficacy 50%,Low
83,22.0,8.394899999999993,Total infected derivative,10%,Vaccine Efficacy 50%,Low
84,23.0,8.631250000000009,Total infected derivative,10%,Vaccine Efficacy 50%,Low
85,24.0,8.328649999999996,Total infected derivative,10%,Vaccine Efficacy 50%,Low
86,25.0,7.937849999999983,Total infected derivative,10%,Vaccine Efficacy 50%,Low
87,26.0,6.645200000000003,Total infected derivative,10%,Vaccine Efficacy 50%,Low
88,27.0,4.7444500000000005,Total infected derivative,10%,Vaccine Efficacy 50%,Low
89,28.0,4.522099999999995,Total infected derivative,10%,Vaccine Efficacy 50%,Low
90,29.0,5.255650000000003,Total infected derivative,10%,Vaccine Efficacy 50%,Low
91,30.0,5.207450000000023,Total infected derivative,10%,Vaccine Efficacy 50%,Low
92,31.0,4.856650000000016,Total infected derivative,10%,Vaccine Efficacy 50%,Low
93,32.0,4.501949999999994,Total infected derivative,10%,Vaccine Efficacy 50%,Low
94,33.0,3.688299999999998,Total infected derivative,10%,Vaccine Efficacy 50%,Low
95,34.0,2.619249999999994,Total infected derivative,10%,Vaccine Efficacy 50%,Low
96,35.0,2.3598499999999945,Total infected derivative,10%,Vaccine Efficacy 50%,Low
97,36.0,2.5341499999999826,Total infected derivative,10%,Vaccine Efficacy 50%,Low
98,37.0,2.5378999999999934,Total infected derivative,10%,Vaccine Efficacy 50%,Low
99,38.0,2.418750000000017,Total infected derivative,10%,Vaccine Efficacy 50%,Low
100,39.0,2.227600000000024,Total infected derivative,10%,Vaccine Efficacy 50%,Low
101,40.0,1.8407499999999999,Total infected derivative,10%,Vaccine Efficacy 50%,Low
102,41.0,1.3006499999999903,Total infected derivative,10%,Vaccine Efficacy 50%,Low
103,42.0,1.2205000000000013,Total infected derivative,10%,Vaccine Efficacy 50%,Low
104,43.0,1.3766999999999854,Total infected derivative,10%,Vaccine Efficacy 50%,Low
105,44.0,1.439850000000007,Total infected derivative,10%,Vaccine Efficacy 50%,Low
106,45.0,1.4339000000000084,Total infected derivative,10%,Vaccine Efficacy 50%,Low
107,46.0,1.3537000000000035,Total infected derivative,10%,Vaccine Efficacy 50%,Low
108,47.0,1.154299999999992,Total infected derivative,10%,Vaccine Efficacy 50%,Low
109,48.0,0.8245999999999754,Total infected derivative,10%,Vaccine Efficacy 50%,Low
110,49.0,0.8025500000000108,Total infected derivative,10%,Vaccine Efficacy 50%,Low
111,50.0,0.9148500000000013,Total infected derivative,10%,Vaccine Efficacy 50%,Low
112,51.0,0.8948000000000036,Total infected derivative,10%,Vaccine Efficacy 50%,Low
113,52.0,0.8867000000000189,Total infected derivative,10%,Vaccine Efficacy 50%,Low
114,53.0,0.8777499999999918,Total infected derivative,10%,Vaccine Efficacy 50%,Low
115,54.0,0.7264499999999998,Total infected derivative,10%,Vaccine Efficacy 50%,Low
116,55.0,0.5250999999999948,Total infected derivative,10%,Vaccine Efficacy 50%,Low
117,56.0,0.49704999999998734,Total infected derivative,10%,Vaccine Efficacy 50%,Low
118,57.0,0.5400000000000063,Total infected derivative,10%,Vaccine Efficacy 50%,Low
119,58.0,0.5260000000000105,Total infected derivative,10%,Vaccine Efficacy 50%,Low
120,59.0,0.5010000000000048,Total infected derivative,10%,Vaccine Efficacy 50%,Low
121,60.0,,Total infected derivative,10%,Vaccine Efficacy 50%,Low
122,0.0,0.07219999999995252,Total infected derivative,40%,Vaccine Efficacy 50%,Low
123,1.0,0.15629999999998745,Total infected derivative,40%,Vaccine Efficacy 50%,Low
124,2.0,0.4148000000000138,Total infected derivative,40%,Vaccine Efficacy 50%,Low
125,3.0,0.8217000000000212,Total infected derivative,40%,Vaccine Efficacy 50%,Low
126,4.0,1.394900000000007,Total infected derivative,40%,Vaccine Efficacy 50%,Low
127,5.0,1.472849999999994,Total infected derivative,40%,Vaccine Efficacy 50%,Low
128,6.0,1.1080499999999915,Total infected derivative,40%,Vaccine Efficacy 50%,Low
129,7.0,1.8026999999999873,Total infected derivative,40%,Vaccine Efficacy 50%,Low
130,8.0,3.3256999999999834,Total infected derivative,40%,Vaccine Efficacy 50%,Low
131,9.0,4.56110000000001,Total infected derivative,40%,Vaccine Efficacy 50%,Low
132,10.0,5.517100000000056,Total infected derivative,40%,Vaccine Efficacy 50%,Low
133,11.0,6.381750000000011,Total infected derivative,40%,Vaccine Efficacy 50%,Low
134,12.0,5.92674999999997,Total infected derivative,40%,Vaccine Efficacy 50%,Low
135,13.0,4.399799999999985,Total infected derivative,40%,Vaccine Efficacy 50%,Low
136,14.0,4.867799999999988,Total infected derivative,40%,Vaccine Efficacy 50%,Low
137,15.0,6.5139500000000226,Total infected derivative,40%,Vaccine Efficacy 50%,Low
138,16.0,7.283600000000007,Total infected derivative,40%,Vaccine Efficacy 50%,Low
139,17.0,7.810699999999983,Total infected derivative,40%,Vaccine Efficacy 50%,Low
140,18.0,8.305499999999995,Total infected derivative,40%,Vaccine Efficacy 50%,Low
141,19.0,7.276449999999983,Total infected derivative,40%,Vaccine Efficacy 50%,Low
142,20.0,5.268600000000006,Total infected derivative,40%,Vaccine Efficacy 50%,Low
143,21.0,5.52415000000002,Total infected derivative,40%,Vaccine Efficacy 50%,Low
144,22.0,6.974999999999994,Total infected derivative,40%,Vaccine Efficacy 50%,Low
145,23.0,7.411850000000001,Total infected derivative,40%,Vaccine Efficacy 50%,Low
146,24.0,7.248450000000005,Total infected derivative,40%,Vaccine Efficacy 50%,Low
147,25.0,6.99199999999999,Total infected derivative,40%,Vaccine Efficacy 50%,Low
148,26.0,5.927800000000005,Total infected derivative,40%,Vaccine Efficacy 50%,Low
149,27.0,4.251400000000018,Total infected derivative,40%,Vaccine Efficacy 50%,Low
150,28.0,4.179450000000003,Total infected derivative,40%,Vaccine Efficacy 50%,Low
151,29.0,4.989099999999993,Total infected derivative,40%,Vaccine Efficacy 50%,Low
152,30.0,5.048099999999991,Total infected derivative,40%,Vaccine Efficacy 50%,Low
153,31.0,4.743449999999996,Total infected derivative,40%,Vaccine Efficacy 50%,Low
154,32.0,4.559049999999999,Total infected derivative,40%,Vaccine Efficacy 50%,Low
155,33.0,3.881849999999986,Total infected derivative,40%,Vaccine Efficacy 50%,Low
156,34.0,2.7074500000000086,Total infected derivative,40%,Vaccine Efficacy 50%,Low
157,35.0,2.5219000000000165,Total infected derivative,40%,Vaccine Efficacy 50%,Low
158,36.0,2.8115999999999985,Total infected derivative,40%,Vaccine Efficacy 50%,Low
159,37.0,2.6954999999999814,Total infected derivative,40%,Vaccine Efficacy 50%,Low
160,38.0,2.514099999999985,Total infected derivative,40%,Vaccine Efficacy 50%,Low
161,39.0,2.403700000000015,Total infected derivative,40%,Vaccine Efficacy 50%,Low
162,40.0,2.045000000000016,Total infected derivative,40%,Vaccine Efficacy 50%,Low
163,41.0,1.4379500000000007,Total infected derivative,40%,Vaccine Efficacy 50%,Low
164,42.0,1.3648000000000025,Total infected derivative,40%,Vaccine Efficacy 50%,Low
165,43.0,1.611249999999984,Total infected derivative,40%,Vaccine Efficacy 50%,Low
166,44.0,1.6071999999999917,Total infected derivative,40%,Vaccine Efficacy 50%,Low
167,45.0,1.5299500000000137,Total infected derivative,40%,Vaccine Efficacy 50%,Low
168,46.0,1.4879499999999979,Total infected derivative,40%,Vaccine Efficacy 50%,Low
169,47.0,1.2154000000000167,Total infected derivative,40%,Vaccine Efficacy 50%,Low
170,48.0,0.8075500000000062,Total infected derivative,40%,Vaccine Efficacy 50%,Low
171,49.0,0.7815999999999974,Total infected derivative,40%,Vaccine Efficacy 50%,Low
172,50.0,0.9228499999999968,Total infected derivative,40%,Vaccine Efficacy 50%,Low
173,51.0,0.9378499999999832,Total infected derivative,40%,Vaccine Efficacy 50%,Low
174,52.0,0.8567999999999927,Total infected derivative,40%,Vaccine Efficacy 50%,Low
175,53.0,0.7937500000000028,Total infected derivative,40%,Vaccine Efficacy 50%,Low
