,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.07199999999994589,Total infected derivative,0%,Vaccine Efficacy 50%,Low
1,1.0,0.18634999999997603,Total infected derivative,0%,Vaccine Efficacy 50%,Low
2,2.0,0.4830000000000325,Total infected derivative,0%,Vaccine Efficacy 50%,Low
3,3.0,1.0751500000000078,Total infected derivative,0%,Vaccine Efficacy 50%,Low
4,4.0,1.9700499999999863,Total infected derivative,0%,Vaccine Efficacy 50%,Low
5,5.0,2.141350000000017,Total infected derivative,0%,Vaccine Efficacy 50%,Low
6,6.0,1.591099999999983,Total infected derivative,0%,Vaccine Efficacy 50%,Low
7,7.0,2.2595000000000027,Total infected derivative,0%,Vaccine Efficacy 50%,Low
8,8.0,4.326700000000017,Total infected derivative,0%,Vaccine Efficacy 50%,Low
9,9.0,6.541049999999984,Total infected derivative,0%,Vaccine Efficacy 50%,Low
10,10.0,8.712399999999974,Total infected derivative,0%,Vaccine Efficacy 50%,Low
11,11.0,10.918849999999992,Total infected derivative,0%,Vaccine Efficacy 50%,Low
12,12.0,10.259550000000019,Total infected derivative,0%,Vaccine Efficacy 50%,Low
13,13.0,7.462900000000019,Total infected derivative,0%,Vaccine Efficacy 50%,Low
14,14.0,7.608149999999995,Total infected derivative,0%,Vaccine Efficacy 50%,Low
15,15.0,10.013999999999967,Total infected derivative,0%,Vaccine Efficacy 50%,Low
16,16.0,12.305600000000013,Total infected derivative,0%,Vaccine Efficacy 50%,Low
17,17.0,13.700450000000018,Total infected derivative,0%,Vaccine Efficacy 50%,Low
18,18.0,14.353749999999977,Total infected derivative,0%,Vaccine Efficacy 50%,Low
19,19.0,12.654300000000006,Total infected derivative,0%,Vaccine Efficacy 50%,Low
20,20.0,9.077100000000016,Total infected derivative,0%,Vaccine Efficacy 50%,Low
21,21.0,8.222399999999993,Total infected derivative,0%,Vaccine Efficacy 50%,Low
22,22.0,9.447900000000004,Total infected derivative,0%,Vaccine Efficacy 50%,Low
23,23.0,10.055150000000012,Total infected derivative,0%,Vaccine Efficacy 50%,Low
24,24.0,10.049199999999999,Total infected derivative,0%,Vaccine Efficacy 50%,Low
25,25.0,9.839749999999981,Total infected derivative,0%,Vaccine Efficacy 50%,Low
26,26.0,8.340550000000007,Total infected derivative,0%,Vaccine Efficacy 50%,Low
27,27.0,5.907800000000009,Total infected derivative,0%,Vaccine Efficacy 50%,Low
28,28.0,4.94489999999999,Total infected derivative,0%,Vaccine Efficacy 50%,Low
29,29.0,5.1061499999999995,Total infected derivative,0%,Vaccine Efficacy 50%,Low
30,30.0,4.939899999999994,Total infected derivative,0%,Vaccine Efficacy 50%,Low
31,31.0,4.7283999999999935,Total infected derivative,0%,Vaccine Efficacy 50%,Low
32,32.0,4.510050000000007,Total infected derivative,0%,Vaccine Efficacy 50%,Low
33,33.0,3.6834500000000077,Total infected derivative,0%,Vaccine Efficacy 50%,Low
34,34.0,2.6473000000000013,Total infected derivative,0%,Vaccine Efficacy 50%,Low
35,35.0,2.2043999999999926,Total infected derivative,0%,Vaccine Efficacy 50%,Low
36,36.0,2.2103500000000054,Total infected derivative,0%,Vaccine Efficacy 50%,Low
37,37.0,2.1854000000000013,Total infected derivative,0%,Vaccine Efficacy 50%,Low
38,38.0,2.0621500000000026,Total infected derivative,0%,Vaccine Efficacy 50%,Low
39,39.0,1.9638500000000079,Total infected derivative,0%,Vaccine Efficacy 50%,Low
40,40.0,1.6553499999999985,Total infected derivative,0%,Vaccine Efficacy 50%,Low
41,41.0,1.1593500000000034,Total infected derivative,0%,Vaccine Efficacy 50%,Low
42,42.0,0.9758999999999958,Total infected derivative,0%,Vaccine Efficacy 50%,Low
43,43.0,0.9748499999999893,Total infected derivative,0%,Vaccine Efficacy 50%,Low
44,44.0,0.8847999999999985,Total infected derivative,0%,Vaccine Efficacy 50%,Low
45,45.0,0.7956999999999965,Total infected derivative,0%,Vaccine Efficacy 50%,Low
