,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,1.3506999999999607,Total infected,0%
2,3.0,4.350599999999986,Total infected,0%
3,4.0,9.651299999999992,Total infected,0%
4,5.0,18.298700000000053,Total infected,0%
5,6.0,30.657299999999964,Total infected,0%
6,7.0,40.45290000000003,Total infected,0%
7,8.0,48.44090000000003,Total infected,0%
8,9.0,57.97589999999997,Total infected,0%
9,10.0,69.06799999999998,Total infected,0%
10,11.0,81.12239999999997,Total infected,0%
11,12.0,93.56510000000003,Total infected,0%
12,13.0,106.18629999999999,Total infected,0%
13,14.0,115.1002,Total infected,0%
14,15.0,121.85759999999999,Total infected,0%
15,16.0,127.43090000000001,Total infected,0%
16,17.0,132.002,Total infected,0%
17,18.0,135.7555,Total infected,0%
18,19.0,138.7656,Total infected,0%
19,20.0,141.1705,Total infected,0%
20,21.0,143.0041,Total infected,0%
21,22.0,144.3828,Total infected,0%
22,23.0,145.7957,Total infected,0%
23,24.0,147.29659999999998,Total infected,0%
24,25.0,149.1103,Total infected,0%
25,26.0,151.2345,Total infected,0%
26,27.0,153.91989999999998,Total infected,0%
27,28.0,156.0882,Total infected,0%
28,29.0,158.0522,Total infected,0%
29,30.0,160.4911,Total infected,0%
30,31.0,163.4329,Total infected,0%
31,32.0,166.7516,Total infected,0%
32,33.0,170.505,Total infected,0%
33,34.0,174.54309999999998,Total infected,0%
34,35.0,177.8298,Total infected,0%
35,36.0,180.29049999999998,Total infected,0%
36,37.0,182.9139,Total infected,0%
37,38.0,185.457,Total infected,0%
38,39.0,188.0541,Total infected,0%
39,40.0,190.6533,Total infected,0%
40,41.0,193.2727,Total infected,0%
41,42.0,195.1403,Total infected,0%
42,43.0,196.6754,Total infected,0%
43,44.0,198.1483,Total infected,0%
44,45.0,199.5611,Total infected,0%
45,46.0,200.9638,Total infected,0%
46,47.0,202.3046,Total infected,0%
47,48.0,203.6153,Total infected,0%
48,49.0,204.6874,Total infected,0%
49,50.0,205.5811,Total infected,0%
50,51.0,206.5111,Total infected,0%
51,52.0,207.5531,Total infected,0%
52,53.0,208.6372,Total infected,0%
53,54.0,209.8157,Total infected,0%
54,55.0,210.976,Total infected,0%
55,56.0,211.9239,Total infected,0%
56,57.0,212.64530000000002,Total infected,0%
57,58.0,213.4951,Total infected,0%
58,59.0,214.3927,Total infected,0%
59,60.0,215.3127,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,1.200400000000002,Total infected,10%
62,3.0,3.7375000000000114,Total infected,10%
63,4.0,8.348799999999983,Total infected,10%
64,5.0,15.424900000000036,Total infected,10%
65,6.0,25.39680000000004,Total infected,10%
66,7.0,33.26060000000001,Total infected,10%
67,8.0,40.16630000000001,Total infected,10%
68,9.0,48.51110000000003,Total infected,10%
69,10.0,58.21649999999997,Total infected,10%
70,11.0,69.36280000000002,Total infected,10%
71,12.0,80.94799999999998,Total infected,10%
72,13.0,92.59120000000001,Total infected,10%
73,14.0,100.99819999999997,Total infected,10%
74,15.0,107.3286,Total infected,10%
75,16.0,112.54710000000003,Total infected,10%
76,17.0,116.8878,Total infected,10%
77,18.0,120.83369999999996,Total infected,10%
78,19.0,124.25850000000003,Total infected,10%
79,20.0,127.0421,Total infected,10%
80,21.0,129.1603,Total infected,10%
81,22.0,130.7074,Total infected,10%
82,23.0,132.2346,Total infected,10%
83,24.0,133.65739999999997,Total infected,10%
84,25.0,135.2606,Total infected,10%
85,26.0,137.1062,Total infected,10%
86,27.0,139.056,Total infected,10%
87,28.0,140.82569999999998,Total infected,10%
88,29.0,142.2946,Total infected,10%
89,30.0,144.2185,Total infected,10%
90,31.0,146.58310000000003,Total infected,10%
91,32.0,149.30270000000002,Total infected,10%
92,33.0,152.429,Total infected,10%
93,34.0,155.84169999999997,Total infected,10%
94,35.0,158.4649,Total infected,10%
95,36.0,160.51680000000002,Total infected,10%
96,37.0,162.76549999999997,Total infected,10%
97,38.0,165.06009999999998,Total infected,10%
98,39.0,167.3107,Total infected,10%
99,40.0,169.70730000000003,Total infected,10%
100,41.0,172.0763,Total infected,10%
101,42.0,173.9299,Total infected,10%
102,43.0,175.37079999999997,Total infected,10%
103,44.0,176.8418,Total infected,10%
104,45.0,178.3366,Total infected,10%
105,46.0,179.70139999999998,Total infected,10%
106,47.0,180.9758,Total infected,10%
107,48.0,182.4529,Total infected,10%
108,49.0,183.5612,Total infected,10%
109,50.0,184.4809,Total infected,10%
110,51.0,185.45499999999998,Total infected,10%
111,52.0,186.39880000000002,Total infected,10%
112,53.0,187.4387,Total infected,10%
113,54.0,188.501,Total infected,10%
114,55.0,189.6294,Total infected,10%
115,56.0,190.54309999999998,Total infected,10%
116,57.0,191.2505,Total infected,10%
117,58.0,192.09210000000002,Total infected,10%
118,59.0,192.9379,Total infected,10%
119,60.0,193.8236,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.8416999999999462,Total infected,40%
122,3.0,2.398800000000051,Total infected,40%
123,4.0,4.887800000000027,Total infected,40%
124,5.0,8.72339999999997,Total infected,40%
125,6.0,13.667499999999961,Total infected,40%
126,7.0,17.961899999999957,Total infected,40%
127,8.0,21.531199999999956,Total infected,40%
128,9.0,26.15229999999997,Total infected,40%
129,10.0,31.68539999999996,Total infected,40%
130,11.0,38.206399999999974,Total infected,40%
131,12.0,45.050100000000015,Total infected,40%
132,13.0,52.386799999999994,Total infected,40%
133,14.0,58.0522,Total infected,40%
134,15.0,62.2364,Total infected,40%
135,16.0,66.4108,Total infected,40%
136,17.0,70.3966,Total infected,40%
137,18.0,74.2105,Total infected,40%
138,19.0,77.74940000000001,Total infected,40%
139,20.0,81.14810000000003,Total infected,40%
140,21.0,83.78349999999998,Total infected,40%
141,22.0,85.67139999999998,Total infected,40%
142,23.0,87.48889999999997,Total infected,40%
143,24.0,89.22649999999999,Total infected,40%
144,25.0,90.9479,Total infected,40%
145,26.0,92.5572,Total infected,40%
146,27.0,94.2125,Total infected,40%
147,28.0,95.6053,Total infected,40%
148,29.0,96.6234,Total infected,40%
149,30.0,97.85379999999998,Total infected,40%
150,31.0,99.16840000000002,Total infected,40%
151,32.0,100.41889999999998,Total infected,40%
152,33.0,101.8476,Total infected,40%
153,34.0,103.35469999999998,Total infected,40%
154,35.0,104.6575,Total infected,40%
155,36.0,105.72550000000001,Total infected,40%
156,37.0,106.8837,Total infected,40%
157,38.0,108.1463,Total infected,40%
158,39.0,109.5231,Total infected,40%
159,40.0,110.98400000000001,Total infected,40%
160,41.0,112.44279999999998,Total infected,40%
161,42.0,113.57900000000001,Total infected,40%
162,43.0,114.49289999999996,Total infected,40%
163,44.0,115.4829,Total infected,40%
164,45.0,116.59309999999999,Total infected,40%
165,46.0,117.70949999999999,Total infected,40%
166,47.0,118.84980000000002,Total infected,40%
167,48.0,119.8478,Total infected,40%
168,49.0,120.7036,Total infected,40%
169,50.0,121.44479999999999,Total infected,40%
170,51.0,122.1762,Total infected,40%
171,52.0,122.8999,Total infected,40%
172,53.0,123.6394,Total infected,40%
173,54.0,124.34270000000001,Total infected,40%
174,55.0,125.03190000000004,Total infected,40%
175,56.0,125.5812,Total infected,40%
176,57.0,126.10820000000004,Total infected,40%
177,58.0,126.607,Total infected,40%
178,59.0,127.1584,Total infected,40%
179,60.0,127.69550000000001,Total infected,40%
180,1.0,0.0,Total infected,70%
181,2.0,0.4008000000000038,Total infected,70%
182,3.0,1.0962000000000103,Total infected,70%
183,4.0,2.1663999999999533,Total infected,70%
184,5.0,3.50709999999998,Total infected,70%
185,6.0,5.264499999999998,Total infected,70%
186,7.0,6.805600000000027,Total infected,70%
187,8.0,8.284599999999955,Total infected,70%
188,9.0,9.989999999999952,Total infected,70%
189,10.0,12.06619999999998,Total infected,70%
190,11.0,14.344700000000046,Total infected,70%
191,12.0,16.761500000000012,Total infected,70%
192,13.0,19.2885,Total infected,70%
193,14.0,21.28449999999998,Total infected,70%
194,15.0,23.017999999999972,Total infected,70%
195,16.0,24.84359999999998,Total infected,70%
196,17.0,26.707400000000007,Total infected,70%
197,18.0,28.71550000000002,Total infected,70%
198,19.0,30.63130000000001,Total infected,70%
199,20.0,32.6936,Total infected,70%
200,21.0,34.256699999999995,Total infected,70%
201,22.0,35.545199999999994,Total infected,70%
202,23.0,36.953900000000004,Total infected,70%
203,24.0,38.2646,Total infected,70%
204,25.0,39.563199999999995,Total infected,70%
205,26.0,40.86780000000002,Total infected,70%
206,27.0,42.184500000000014,Total infected,70%
207,28.0,43.26250000000002,Total infected,70%
208,29.0,44.148300000000006,Total infected,70%
209,30.0,45.116299999999995,Total infected,70%
210,31.0,46.04429999999999,Total infected,70%
211,32.0,46.99010000000001,Total infected,70%
212,33.0,47.89189999999999,Total infected,70%
213,34.0,48.83160000000001,Total infected,70%
214,35.0,49.647399999999976,Total infected,70%
215,36.0,50.266400000000004,Total infected,70%
216,37.0,50.916,Total infected,70%
217,38.0,51.57909999999998,Total infected,70%
218,39.0,52.250699999999966,Total infected,70%
219,40.0,53.01210000000003,Total infected,70%
220,41.0,53.7174,Total infected,70%
221,42.0,54.33070000000001,Total infected,70%
222,43.0,54.80170000000001,Total infected,70%
223,44.0,55.29060000000001,Total infected,70%
224,45.0,55.859700000000004,Total infected,70%
225,46.0,56.36070000000001,Total infected,70%
226,47.0,56.83379999999997,Total infected,70%
227,48.0,57.29260000000002,Total infected,70%
228,49.0,57.71539999999999,Total infected,70%
229,50.0,58.09620000000001,Total infected,70%
230,51.0,58.54120000000003,Total infected,70%
231,52.0,58.900000000000034,Total infected,70%
232,53.0,59.27870000000004,Total infected,70%
233,54.0,59.63329999999999,Total infected,70%
234,55.0,60.0162,Total infected,70%
235,56.0,60.37080000000003,Total infected,70%
236,57.0,60.665400000000005,Total infected,70%
237,58.0,60.97800000000001,Total infected,70%
238,59.0,61.26660000000001,Total infected,70%
239,60.0,61.583200000000005,Total infected,70%
