day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456816	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	0	[]	0	0
1	123456816	253	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	32	0	0	0	5	[]	0	0
2	123456816	237	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	32	0	0	0	13	[]	0	1
3	123456816	187	63	7	1	0	0	0	0	0	0	0	0	0	0	0	0	60	8	0	0	0	0	50	32	0	0	0	16	[]	0	4
4	123456816	145	60	12	1	2	24	12	0	0	0	1	0	0	0	1	0	98	9	1	12	1	1	50	32	0	0	0	19	[1A 2D]	2	6
5	123456816	86	91	17	1	3	27	27	2	0	0	1	0	0	0	3	0	136	9	3	20	1	3	50	32	0	0	0	25	[1A 2D 3A]	3	10
6	123456816	84	45	25	1	5	38	45	9	0	0	2	0	0	0	3	1	174	11	4	34	2	4	50	32	0	0	0	25	[1A 2D 3A 1C 1D]	5	12
7	123456816	65	21	25	3	23	34	54	24	0	0	4	0	0	0	3	2	228	13	5	44	4	5	50	32	0	0	0	26	[1A 2D 3A 1C 1D 3D 3B]	7	12
8	123456816	58	18	6	5	23	26	80	31	0	0	4	0	0	0	4	3	322	13	7	62	4	7	50	32	0	0	0	26	[1A 2D 3A 1C 1D 3D 3B 2B]	8	12
9	123456816	53	20	8	6	23	18	74	45	0	0	4	0	0	0	4	3	322	13	7	62	4	7	50	32	0	0	0	27	[1A 2D 3A 1C 1D 3D 3B 2B]	8	12
10	123456816	39	28	12	8	23	14	69	54	0	0	3	1	0	0	2	5	322	14	7	62	4	7	50	32	0	0	0	28	[1A 2D 3A 1C 1D 3D 3B 2B]	8	12
11	123456816	23	34	21	9	23	9	67	61	0	0	2	2	0	0	2	5	322	14	7	62	4	7	50	32	0	0	0	30	[1A 2D 3A 1C 1D 3D 3B 2B]	8	11
12	123456816	4	23	20	7	24	21	77	70	0	0	2	2	0	0	3	5	354	14	8	71	4	8	50	32	0	0	0	30	[1A 2D 3A 1C 1D 3D 3B 2B 2C 2A]	10	12
13	123456816	4	12	12	6	24	16	89	83	0	0	2	2	0	0	3	5	390	14	8	83	4	8	50	32	0	0	0	30	[1A 2D 3A 1C 1D 3D 3B 2B 2C 2A 3C]	11	12
14	123456816	6	0	9	43	22	12	65	75	0	0	1	2	0	7	9	7	390	15	9	83	4	9	50	32	0	0	0	30	[3A 1C 1D 3D 3B 2B 2C 2A 3C 1B]	10	10
