day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457173	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457173	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
2	123457173	69	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
3	123457173	66	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	1
4	123457173	65	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	1
5	123457173	63	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	1
6	123457173	60	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	11	[]	0	2
7	123457173	59	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	12	[]	0	2
8	123457173	54	11	3	2	0	0	2	0	0	0	0	0	0	0	0	0	158	3	0	2	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	5
9	123457173	50	13	5	2	0	0	2	0	0	0	0	0	0	0	0	0	158	3	0	2	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	7
10	123457173	48	11	9	2	0	0	2	0	0	0	0	0	0	0	0	0	158	3	0	2	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	8
11	123457173	43	14	9	4	0	0	1	1	0	0	0	0	0	0	0	0	158	3	0	2	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	16	[]	0	7
12	123457173	38	11	10	5	4	0	2	1	0	0	1	0	0	0	0	0	177	5	0	3	1	0	0	0	0	204	0	0	0	14	0	0	0	0	0	0	0	0	17	[2C]	1	6
13	123457173	34	9	9	7	7	0	3	2	0	0	0	1	0	0	0	0	215	5	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	6
14	123457173	34	5	12	8	7	0	2	3	0	0	0	1	0	0	0	0	215	6	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	9
15	123457173	29	9	12	9	7	0	2	3	0	0	0	1	0	0	0	0	264	7	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	8
16	123457173	29	8	9	13	7	0	2	3	0	0	0	1	0	0	0	0	264	8	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	8
17	123457173	27	6	12	14	7	0	1	4	0	0	0	1	0	0	0	0	264	8	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	9
18	123457173	24	7	13	15	7	0	1	4	0	0	0	1	0	0	0	0	264	9	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	9
19	123457173	23	8	10	18	7	0	1	4	0	0	0	1	0	0	0	0	264	9	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	18	[2C 1D]	2	8
20	123457173	22	7	10	20	7	0	1	4	0	0	0	1	0	0	0	0	264	10	0	4	1	0	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	19	[2C 1D]	2	6
21	123457173	22	5	11	20	7	0	1	4	0	0	0	1	0	0	1	0	283	10	1	4	1	1	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	19	[2C 1D]	2	7
22	123457173	20	7	5	25	7	0	3	3	0	0	0	1	0	0	0	1	371	10	1	6	1	1	0	0	0	190	0	0	0	28	0	0	0	0	0	0	0	0	19	[2C 1D]	2	6
23	123457173	17	4	6	24	7	1	4	6	0	0	0	1	0	0	1	1	390	12	2	8	1	2	0	0	0	176	0	0	0	42	0	0	0	0	0	0	0	0	20	[2C 1D 1C]	3	6
