,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,1.0,Total infected,With NPIs
1,2.0,1.2522000000000162,Total infected,With NPIs
2,3.0,1.6676999999999964,Total infected,With NPIs
3,4.0,2.3403999999999883,Total infected,With NPIs
4,5.0,3.1311000000000035,Total infected,With NPIs
5,6.0,4.0911000000000115,Total infected,With NPIs
6,7.0,4.770700000000005,Total infected,With NPIs
7,8.0,5.272300000000001,Total infected,With NPIs
8,9.0,6.185200000000009,Total infected,With NPIs
9,10.0,7.261200000000002,Total infected,With NPIs
10,11.0,8.543599999999998,Total infected,With NPIs
11,12.0,9.997000000000014,Total infected,With NPIs
12,13.0,11.5856,Total infected,With NPIs
13,14.0,12.7637,Total infected,With NPIs
14,15.0,13.595499999999987,Total infected,With NPIs
15,16.0,14.820799999999991,Total infected,With NPIs
16,17.0,16.289299999999997,Total infected,With NPIs
17,18.0,17.913899999999984,Total infected,With NPIs
18,19.0,19.657700000000006,Total infected,With NPIs
19,20.0,21.703699999999998,Total infected,With NPIs
20,21.0,23.143200000000007,Total infected,With NPIs
21,22.0,24.1772,Total infected,With NPIs
22,23.0,25.6456,Total infected,With NPIs
23,24.0,27.45750000000001,Total infected,With NPIs
24,25.0,29.4675,Total infected,With NPIs
25,26.0,31.726799999999997,Total infected,With NPIs
26,27.0,34.0471,Total infected,With NPIs
27,28.0,35.805800000000005,Total infected,With NPIs
28,29.0,36.994,Total infected,With NPIs
29,30.0,38.86790000000002,Total infected,With NPIs
30,31.0,41.06400000000002,Total infected,With NPIs
31,32.0,43.574600000000004,Total infected,With NPIs
32,33.0,46.202200000000005,Total infected,With NPIs
33,34.0,48.96289999999999,Total infected,With NPIs
34,35.0,50.992999999999995,Total infected,With NPIs
35,1.0,1.0,Total infected,Without NPIs
36,2.0,3.7106999999999744,Total infected,Without NPIs
37,3.0,8.132100000000008,Total infected,Without NPIs
38,4.0,12.426400000000001,Total infected,Without NPIs
39,5.0,18.064099999999996,Total infected,Without NPIs
40,6.0,25.172200000000004,Total infected,Without NPIs
41,7.0,30.3493,Total infected,Without NPIs
42,8.0,34.07499999999999,Total infected,Without NPIs
43,9.0,41.85390000000001,Total infected,Without NPIs
44,10.0,52.62259999999998,Total infected,Without NPIs
45,11.0,64.8348,Total infected,Without NPIs
46,12.0,78.21719999999999,Total infected,Without NPIs
47,13.0,92.88390000000001,Total infected,Without NPIs
48,14.0,103.4084,Total infected,Without NPIs
49,15.0,110.8829,Total infected,Without NPIs
50,16.0,123.5835,Total infected,Without NPIs
51,17.0,137.6256,Total infected,Without NPIs
52,18.0,151.001,Total infected,Without NPIs
53,19.0,163.8308,Total infected,Without NPIs
54,20.0,176.7397,Total infected,Without NPIs
55,21.0,185.7628,Total infected,Without NPIs
56,22.0,192.33429999999998,Total infected,Without NPIs
57,23.0,200.015,Total infected,Without NPIs
58,24.0,206.935,Total infected,Without NPIs
59,25.0,212.972,Total infected,Without NPIs
60,26.0,218.2693,Total infected,Without NPIs
61,27.0,222.7258,Total infected,Without NPIs
62,28.0,225.9009,Total infected,Without NPIs
63,29.0,228.1582,Total infected,Without NPIs
64,30.0,230.4445,Total infected,Without NPIs
65,31.0,232.3704,Total infected,Without NPIs
66,32.0,233.9819,Total infected,Without NPIs
67,33.0,235.2593,Total infected,Without NPIs
68,34.0,236.3724,Total infected,Without NPIs
69,35.0,237.1652,Total infected,Without NPIs
