day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected	prob-outside-contagion
0	123457166	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
1	123457166	138	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0.02	0
2	123457166	131	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	0.02	3
3	123457166	125	15	3	0	0	0	0	0	0	0	1	0	0	0	0	0	79	4	0	0	1	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.02	4
4	123457166	121	15	6	1	0	0	0	0	0	0	1	0	0	0	0	0	79	5	0	0	1	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.02	6
5	123457166	109	24	9	1	0	0	0	0	0	0	1	0	0	0	0	0	79	5	0	0	1	0	143	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	[]	0	0.02	7
6	123457166	102	16	12	1	7	1	3	0	0	0	1	0	0	0	1	0	98	7	1	3	1	1	135	2	1	0	8	0	0	0	0	0	0	0	0	0	0	0	11	[2C]	1	0.02	7
7	123457166	99	13	17	2	7	1	2	1	0	0	1	0	0	0	1	0	98	8	1	3	1	1	135	2	1	0	8	0	0	0	0	0	0	0	0	0	0	0	14	[2C]	1	0.02	8
8	123457166	70	13	10	3	27	8	8	2	0	0	1	0	0	0	2	0	181	10	2	8	1	2	110	3	0	1	31	1	0	0	0	0	0	0	0	0	0	0	16	[2C 3B 1B 3A]	4	0.02	8
9	123457166	62	17	13	4	27	6	10	2	0	0	1	0	0	0	2	0	181	11	2	8	1	2	109	3	1	1	31	1	0	0	0	0	0	0	0	0	0	0	16	[2C 3B 1B 3A]	4	0.02	9
10	123457166	52	10	17	5	30	9	13	4	0	0	1	1	0	0	2	0	200	12	2	12	2	2	102	2	1	1	37	2	1	0	0	0	0	0	0	0	0	0	16	[2C 3B 1B 3A 2D]	5	0.02	9
11	123457166	42	15	12	3	33	10	12	12	0	0	2	1	0	0	1	1	219	13	2	16	3	2	96	1	1	0	43	1	3	1	0	0	0	0	0	0	0	0	18	[2C 3B 1B 3A 2D 3D]	6	0.02	9
12	123457166	36	17	14	5	33	9	12	13	0	0	2	1	0	0	1	1	219	15	2	16	3	2	94	3	1	0	43	1	3	1	0	0	0	0	0	0	0	0	20	[2C 3B 1B 3A 2D 3D]	6	0.02	9
13	123457166	35	15	15	7	33	7	14	13	0	0	2	1	0	0	1	1	219	15	2	16	3	2	94	1	3	0	43	0	4	1	0	0	0	0	0	0	0	0	21	[2C 3B 1B 3A 2D 3D]	6	0.02	9
14	123457166	32	11	19	10	33	7	13	14	0	0	2	1	0	0	1	1	219	15	2	16	3	2	94	1	3	0	43	0	3	2	0	0	0	0	0	0	0	0	24	[2C 3B 1B 3A 2D 3D]	6	0.02	10
15	123457166	19	3	1	0	46	7	34	29	0	0	1	2	0	0	1	1	287	15	2	28	3	2	64	0	2	0	73	0	4	3	0	0	0	0	0	0	0	0	24	[2C 3B 1B 3A 2D 3D 1A 1C 1D 2B]	10	0.02	12
16	123457166	15	7	1	0	46	5	29	36	0	0	1	2	0	0	1	1	287	15	2	28	3	2	64	0	2	0	73	0	3	4	0	0	0	0	0	0	0	0	25	[2C 3B 1B 3A 2D 3D 1A 1C 1D 2B]	10	0.02	12
17	123457166	15	5	2	1	46	3	28	39	0	0	1	2	0	0	1	1	287	15	2	28	3	2	64	0	2	0	73	0	3	4	0	0	0	0	0	0	0	0	25	[2C 3B 1B 3A 2D 3D 1A 1C 1D 2B]	10	0.02	12
18	123457166	14	4	4	1	46	1	29	40	0	0	1	2	0	0	0	2	287	15	2	28	3	2	64	0	1	1	73	0	3	4	0	0	0	0	0	0	0	0	25	[2C 3B 1B 3A 2D 3D 1A 1C 1D 2B]	10	0.02	12
19	123457166	12	6	3	2	46	1	21	48	0	0	1	2	0	0	0	2	287	16	2	28	3	2	63	1	1	1	73	0	3	4	0	0	0	0	0	0	0	0	25	[2C 3B 1B 3A 2D 3D 1A 1C 1D 2B]	10	0.02	12
20	123457166	10	4	3	7	47	0	22	47	0	0	1	2	0	0	0	1	306	16	2	29	3	2	64	0	1	1	72	1	3	4	0	0	0	0	0	0	0	0	26	[3B 1B 3A 2D 3D 1A 1C 1D 2B 2A]	10	0.02	11
21	123457166	10	1	6	7	47	0	20	49	0	0	1	2	0	0	0	1	306	16	2	29	3	2	64	0	0	2	72	0	4	4	0	0	0	0	0	0	0	0	26	[3B 1B 3A 2D 3D 1A 1C 1D 2B 2A]	10	0.02	11
22	123457166	26	1	0	21	30	1	20	43	0	0	1	1	0	0	0	0	350	16	2	34	3	2	79	0	0	3	57	0	2	5	0	0	0	0	0	0	0	0	27	[2D 3D 1A 1C 1D 2B 2A 3C]	8	0.02	8
23	123457166	24	2	1	21	30	1	16	47	0	0	1	1	0	0	0	0	350	16	2	34	3	2	79	0	0	3	57	0	1	6	0	0	0	0	0	0	0	0	29	[2D 3D 1A 1C 1D 2B 2A 3C]	8	0.02	8
24	123457166	27	2	1	30	27	1	11	44	0	0	1	0	0	0	0	0	350	16	2	34	3	2	85	0	0	5	51	0	0	5	0	0	0	0	0	0	0	0	29	[3D 1A 1C 1D 2B 2A 3C]	7	0.02	7
25	123457166	30	2	0	40	24	0	8	40	0	0	0	0	0	0	0	0	350	16	2	34	3	2	90	1	0	7	45	0	0	3	0	0	0	0	0	0	0	0	30	[1A 1C 1D 2B 2A 3C]	6	0.02	4
26	123457166	29	2	1	40	24	0	6	42	0	0	0	0	0	0	0	0	350	16	2	34	3	2	90	1	0	7	45	0	0	3	0	0	0	0	0	0	0	0	31	[1A 1C 1D 2B 2A 3C]	6	0.02	4
27	123457166	29	2	1	40	24	0	6	42	0	0	0	0	0	0	0	0	350	16	2	34	3	2	90	1	0	7	45	0	0	3	0	0	0	0	0	0	0	0	31	[1A 1C 1D 2B 2A 3C]	6	0.02	4
