day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457173	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	38	0	0	0	0	[]	0	0
1	123457173	238	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	74	38	0	0	0	14	[]	0	0
2	123457173	216	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	74	38	0	0	0	27	[]	0	5
3	123457173	187	47	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	74	38	0	0	0	34	[]	0	8
4	123457173	143	74	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	38	0	0	0	41	[]	0	10
5	123457173	103	75	50	6	6	7	4	0	0	0	0	0	0	0	1	0	19	11	1	4	0	1	74	36	2	0	0	48	[2C]	1	11
6	123457173	86	59	56	13	17	10	9	0	0	0	0	0	0	0	2	0	38	13	2	8	0	2	74	36	2	0	0	54	[2C 1A]	2	10
7	123457173	69	43	48	17	27	17	23	4	0	0	1	0	0	0	3	0	76	15	3	22	1	3	74	33	5	0	0	61	[2C 1A 3D 2A]	4	11
8	123457173	43	46	52	17	32	16	29	12	0	0	0	1	0	0	4	0	95	16	4	26	1	4	74	32	6	0	0	63	[2C 1A 3D 2A 3B]	5	11
9	123457173	23	38	43	16	35	13	55	22	0	0	0	1	0	0	5	1	133	16	6	48	1	6	74	30	8	0	0	66	[2C 1A 3D 2A 3B 1C 3C]	7	12
10	123457173	15	25	43	19	36	19	54	33	0	0	0	1	0	0	6	1	152	16	7	54	1	7	74	28	10	0	0	67	[2C 1A 3D 2A 3B 1C 3C 2B]	8	12
11	123457173	14	14	21	15	36	22	68	52	0	0	1	1	0	0	6	2	190	17	8	72	2	8	74	26	12	0	0	67	[2C 1A 3D 2A 3B 1C 3C 2B 2D 3A]	10	12
12	123457173	9	14	24	17	36	16	64	62	0	0	1	1	0	0	4	4	190	17	8	72	2	8	74	26	12	0	0	67	[2C 1A 3D 2A 3B 1C 3C 2B 2D 3A]	10	12
13	123457173	8	12	23	21	36	11	59	72	0	0	1	1	0	0	4	4	190	17	8	72	2	8	74	26	12	0	0	68	[2C 1A 3D 2A 3B 1C 3C 2B 2D 3A]	10	12
14	123457173	8	9	21	26	36	8	56	78	0	0	0	2	0	0	4	4	190	17	8	72	2	8	74	26	12	0	0	68	[2C 1A 3D 2A 3B 1C 3C 2B 2D 3A]	10	12
15	123457173	10	9	17	28	30	4	54	90	0	0	0	2	0	0	3	5	209	17	9	77	2	9	74	26	12	0	0	69	[1A 3D 2A 3B 1C 3C 2B 2D 3A 1D]	10	11
16	123457173	20	5	17	42	19	1	53	86	0	0	0	2	0	0	1	6	209	17	9	77	2	9	74	26	12	0	0	70	[3D 2A 3B 1C 3C 2B 2D 3A 1D]	9	11
