,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.06059999999999377,Total infected,0%
2,3.0,0.17169999999998709,Total infected,0%
3,4.0,0.414100000000019,Total infected,0%
4,5.0,0.9493999999999971,Total infected,0%
5,6.0,1.8182000000000187,Total infected,0%
6,7.0,2.434300000000036,Total infected,0%
7,8.0,2.798100000000005,Total infected,0%
8,9.0,3.53540000000001,Total infected,0%
9,10.0,4.868700000000018,Total infected,0%
10,11.0,6.545499999999976,Total infected,0%
11,12.0,8.656599999999997,Total infected,0%
12,13.0,11.26260000000002,Total infected,0%
13,14.0,13.323199999999986,Total infected,0%
14,15.0,14.939400000000006,Total infected,0%
15,16.0,16.888800000000003,Total infected,0%
16,17.0,19.353499999999997,Total infected,0%
17,18.0,22.565699999999993,Total infected,0%
18,19.0,26.333300000000037,Total infected,0%
19,20.0,30.939400000000006,Total infected,0%
20,21.0,34.6464,Total infected,0%
21,22.0,37.28280000000001,Total infected,0%
22,23.0,39.31310000000002,Total infected,0%
23,24.0,41.82830000000001,Total infected,0%
24,25.0,44.77780000000004,Total infected,0%
25,26.0,48.585800000000006,Total infected,0%
26,27.0,52.36370000000002,Total infected,0%
27,28.0,55.18180000000001,Total infected,0%
28,29.0,57.262699999999995,Total infected,0%
29,30.0,59.76780000000002,Total infected,0%
30,31.0,62.43440000000004,Total infected,0%
31,32.0,65.17169999999999,Total infected,0%
32,33.0,68.39400000000003,Total infected,0%
33,34.0,72.02029999999999,Total infected,0%
34,35.0,74.293,Total infected,0%
35,36.0,76.08089999999999,Total infected,0%
36,37.0,77.99000000000001,Total infected,0%
37,38.0,79.97980000000001,Total infected,0%
38,39.0,82.21220000000002,Total infected,0%
39,40.0,84.63640000000001,Total infected,0%
40,41.0,87.7071,Total infected,0%
41,42.0,89.78790000000001,Total infected,0%
42,43.0,91.31309999999999,Total infected,0%
43,44.0,92.73740000000001,Total infected,0%
44,45.0,94.43440000000001,Total infected,0%
45,46.0,96.56559999999999,Total infected,0%
46,47.0,98.72730000000001,Total infected,0%
47,48.0,101.18190000000001,Total infected,0%
48,49.0,102.9999,Total infected,0%
49,50.0,104.3535,Total infected,0%
50,51.0,105.6668,Total infected,0%
51,52.0,107.22219999999999,Total infected,0%
52,53.0,108.9496,Total infected,0%
53,54.0,110.7577,Total infected,0%
54,55.0,113.3233,Total infected,0%
55,56.0,114.798,Total infected,0%
56,57.0,116.08080000000001,Total infected,0%
57,58.0,117.6465,Total infected,0%
58,59.0,119.101,Total infected,0%
59,60.0,120.86869999999999,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.09090000000000487,Total infected,10%
62,3.0,0.2424000000000035,Total infected,10%
63,4.0,0.5251999999999839,Total infected,10%
64,5.0,0.959699999999998,Total infected,10%
65,6.0,1.7273000000000138,Total infected,10%
66,7.0,2.2120999999999924,Total infected,10%
67,8.0,2.7475000000000023,Total infected,10%
68,9.0,3.484899999999982,Total infected,10%
69,10.0,4.81819999999999,Total infected,10%
70,11.0,6.555599999999998,Total infected,10%
71,12.0,9.050399999999996,Total infected,10%
72,13.0,12.0505,Total infected,10%
73,14.0,14.050499999999971,Total infected,10%
74,15.0,15.575799999999987,Total infected,10%
75,16.0,17.343399999999974,Total infected,10%
76,17.0,19.565699999999964,Total infected,10%
77,18.0,22.27279999999999,Total infected,10%
78,19.0,25.353500000000025,Total infected,10%
79,20.0,28.727300000000014,Total infected,10%
80,21.0,31.313199999999995,Total infected,10%
81,22.0,33.21209999999999,Total infected,10%
82,23.0,35.38390000000001,Total infected,10%
83,24.0,37.51519999999999,Total infected,10%
84,25.0,40.313199999999995,Total infected,10%
85,26.0,43.727300000000014,Total infected,10%
86,27.0,47.212200000000024,Total infected,10%
87,28.0,49.7576,Total infected,10%
88,29.0,51.63640000000001,Total infected,10%
89,30.0,53.83840000000001,Total infected,10%
90,31.0,56.08080000000004,Total infected,10%
91,32.0,58.54550000000003,Total infected,10%
92,33.0,61.444500000000005,Total infected,10%
93,34.0,64.8485,Total infected,10%
94,35.0,67.14140000000003,Total infected,10%
95,36.0,68.8081,Total infected,10%
96,37.0,70.46470000000002,Total infected,10%
97,38.0,72.202,Total infected,10%
98,39.0,74.03030000000004,Total infected,10%
99,40.0,76.06060000000002,Total infected,10%
100,41.0,78.293,Total infected,10%
101,42.0,79.65670000000003,Total infected,10%
102,43.0,81.0102,Total infected,10%
103,44.0,82.18180000000001,Total infected,10%
104,45.0,83.42420000000001,Total infected,10%
