,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.06020000000000891,Total infected,0%
2,3.0,0.23450000000002547,Total infected,0%
3,4.0,0.5049999999999955,Total infected,0%
4,5.0,1.0439999999999827,Total infected,0%
5,6.0,1.8737999999999602,Total infected,0%
6,7.0,2.5411000000000286,Total infected,0%
7,8.0,3.0159999999999627,Total infected,0%
8,9.0,3.8836000000000013,Total infected,0%
9,10.0,5.1521999999999935,Total infected,0%
10,11.0,6.855599999999981,Total infected,0%
11,12.0,9.070099999999968,Total infected,0%
12,13.0,11.831500000000005,Total infected,0%
13,14.0,13.91980000000001,Total infected,0%
14,15.0,15.490999999999985,Total infected,0%
15,16.0,17.382799999999975,Total infected,0%
16,17.0,19.536999999999978,Total infected,0%
17,18.0,22.31869999999998,Total infected,0%
18,19.0,25.581199999999967,Total infected,0%
19,20.0,29.34680000000003,Total infected,0%
20,21.0,32.22449999999992,Total infected,0%
21,22.0,34.3287,Total infected,0%
22,23.0,36.595200000000034,Total infected,0%
23,24.0,39.170500000000004,Total infected,0%
24,25.0,42.3168,Total infected,0%
25,26.0,45.7595,Total infected,0%
26,27.0,49.71550000000002,Total infected,0%
27,28.0,52.575199999999995,Total infected,0%
28,29.0,54.65150000000003,Total infected,0%
29,30.0,56.77970000000005,Total infected,0%
30,31.0,59.0761,Total infected,0%
31,32.0,61.74140000000003,Total infected,0%
32,33.0,64.67150000000004,Total infected,0%
33,34.0,67.96000000000004,Total infected,0%
34,35.0,70.3286,Total infected,0%
35,36.0,72.04599999999999,Total infected,0%
36,37.0,73.7575,Total infected,0%
37,38.0,75.7174,Total infected,0%
38,39.0,77.8277,Total infected,0%
39,40.0,80.2105,Total infected,0%
40,41.0,82.84569999999997,Total infected,0%
41,42.0,84.85379999999998,Total infected,0%
42,43.0,86.2064,Total infected,0%
43,44.0,87.6053,Total infected,0%
44,45.0,89.0943,Total infected,0%
45,46.0,90.80149999999998,Total infected,0%
46,47.0,92.63919999999999,Total infected,0%
47,48.0,94.90179999999998,Total infected,0%
48,49.0,96.38280000000003,Total infected,0%
49,50.0,97.63919999999999,Total infected,0%
50,51.0,98.99799999999999,Total infected,0%
51,52.0,100.41480000000001,Total infected,0%
52,53.0,101.93589999999998,Total infected,0%
53,54.0,103.6773,Total infected,0%
54,55.0,105.64930000000001,Total infected,0%
55,56.0,106.98390000000003,Total infected,0%
56,57.0,108.09429999999998,Total infected,0%
57,58.0,109.24049999999997,Total infected,0%
58,59.0,110.35670000000002,Total infected,0%
59,60.0,111.6694,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.07220000000000937,Total infected,10%
62,3.0,0.21440000000001191,Total infected,10%
63,4.0,0.4589000000000283,Total infected,10%
64,5.0,0.8316000000000372,Total infected,10%
65,6.0,1.4629999999999654,Total infected,10%
66,7.0,2.009999999999991,Total infected,10%
67,8.0,2.394799999999975,Total infected,10%
68,9.0,3.10409999999996,Total infected,10%
69,10.0,4.088200000000029,Total infected,10%
70,11.0,5.49309999999997,Total infected,10%
71,12.0,7.266499999999951,Total infected,10%
72,13.0,9.456900000000019,Total infected,10%
73,14.0,11.076200000000028,Total infected,10%
74,15.0,12.394799999999975,Total infected,10%
75,16.0,13.803600000000017,Total infected,10%
76,17.0,15.527100000000019,Total infected,10%
77,18.0,17.581199999999967,Total infected,10%
78,19.0,20.14229999999992,Total infected,10%
79,20.0,23.09620000000001,Total infected,10%
80,21.0,25.224499999999978,Total infected,10%
81,22.0,26.72939999999994,Total infected,10%
82,23.0,28.48479999999995,Total infected,10%
83,24.0,30.595099999999945,Total infected,10%
84,25.0,33.23630000000003,Total infected,10%
85,26.0,36.024,Total infected,10%
86,27.0,39.19439999999997,Total infected,10%
87,28.0,41.26650000000001,Total infected,10%
88,29.0,42.8596,Total infected,10%
89,30.0,44.539000000000016,Total infected,10%
90,31.0,46.469100000000026,Total infected,10%
91,32.0,48.49689999999998,Total infected,10%
92,33.0,50.8417,Total infected,10%
93,34.0,53.51300000000006,Total infected,10%
94,35.0,55.46100000000001,Total infected,10%
95,36.0,56.89180000000002,Total infected,10%
96,37.0,58.40700000000001,Total infected,10%
97,38.0,60.06620000000001,Total infected,10%
98,39.0,61.95990000000006,Total infected,10%
99,40.0,64.21450000000002,Total infected,10%
100,41.0,66.65730000000002,Total infected,10%
101,42.0,68.34479999999999,Total infected,10%
102,43.0,69.67740000000003,Total infected,10%
103,44.0,70.95000000000005,Total infected,10%
104,45.0,72.41490000000005,Total infected,10%
105,46.0,74.06020000000001,Total infected,10%
106,47.0,75.85579999999999,Total infected,10%
107,48.0,77.90189999999998,Total infected,10%
108,49.0,79.3889,Total infected,10%
109,50.0,80.511,Total infected,10%
110,51.0,81.67939999999996,Total infected,10%
111,52.0,82.91579999999999,Total infected,10%
112,53.0,84.31479999999996,Total infected,10%
113,54.0,85.84160000000006,Total infected,10%
114,55.0,87.55909999999997,Total infected,10%
115,56.0,88.86190000000002,Total infected,10%
116,57.0,89.7836,Total infected,10%
117,58.0,90.77360000000004,Total infected,10%
118,59.0,91.83370000000002,Total infected,10%
119,60.0,93.03610000000003,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.04599999999999227,Total infected,40%
122,3.0,0.1262999999999579,Total infected,40%
123,4.0,0.25649999999996,Total infected,40%
124,5.0,0.4989999999999668,Total infected,40%
125,6.0,0.7936000000000263,Total infected,40%
126,7.0,1.036100000000033,Total infected,40%
127,8.0,1.2566000000000486,Total infected,40%
128,9.0,1.6171999999999684,Total infected,40%
129,10.0,2.092199999999991,Total infected,40%
130,11.0,2.697599999999909,Total infected,40%
131,12.0,3.426999999999964,Total infected,40%
132,13.0,4.356799999999964,Total infected,40%
133,14.0,5.0762999999999465,Total infected,40%
134,15.0,5.587299999999971,Total infected,40%
135,16.0,6.1784000000000106,Total infected,40%
136,17.0,6.883899999999983,Total infected,40%
137,18.0,7.683399999999949,Total infected,40%
138,19.0,8.633399999999938,Total infected,40%
139,20.0,9.717399999999998,Total infected,40%
140,21.0,10.597300000000018,Total infected,40%
141,22.0,11.23259999999999,Total infected,40%
142,23.0,12.006099999999947,Total infected,40%
143,24.0,12.881799999999998,Total infected,40%
144,25.0,13.985900000000015,Total infected,40%
145,26.0,15.13009999999997,Total infected,40%
146,27.0,16.306500000000028,Total infected,40%
147,28.0,17.22030000000001,Total infected,40%
148,29.0,17.90790000000004,Total infected,40%
149,30.0,18.71950000000004,Total infected,40%
150,31.0,19.703399999999988,Total infected,40%
151,32.0,20.753600000000063,Total infected,40%
152,33.0,21.911800000000028,Total infected,40%
153,34.0,23.104300000000023,Total infected,40%
154,35.0,24.054100000000005,Total infected,40%
155,36.0,24.7235,Total infected,40%
156,37.0,25.507000000000005,Total infected,40%
157,38.0,26.32269999999994,Total infected,40%
158,39.0,27.236599999999953,Total infected,40%
159,40.0,28.230699999999956,Total infected,40%
160,41.0,29.39289999999994,Total infected,40%
161,42.0,30.274599999999964,Total infected,40%
162,43.0,30.86579999999998,Total infected,40%
163,44.0,31.587399999999946,Total infected,40%
164,45.0,32.39289999999994,Total infected,40%
165,46.0,33.278599999999926,Total infected,40%
166,47.0,34.41089999999994,Total infected,40%
167,48.0,35.52710000000002,Total infected,40%
168,49.0,36.330600000000004,Total infected,40%
169,50.0,37.05819999999997,Total infected,40%
170,51.0,37.73139999999995,Total infected,40%
171,52.0,38.53309999999999,Total infected,40%
172,53.0,39.35670000000002,Total infected,40%
173,54.0,40.226399999999984,Total infected,40%
174,55.0,41.2166,Total infected,40%
175,56.0,41.96200000000002,Total infected,40%
176,57.0,42.56110000000001,Total infected,40%
177,58.0,43.18640000000002,Total infected,40%
178,59.0,43.869699999999995,Total infected,40%
179,60.0,44.6593,Total infected,40%
180,1.0,0.0,Total infected,70%
181,2.0,0.034100000000023556,Total infected,70%
182,3.0,0.08619999999996253,Total infected,70%
183,4.0,0.15030000000001564,Total infected,70%
184,5.0,0.21249999999997726,Total infected,70%
185,6.0,0.30459999999999354,Total infected,70%
186,7.0,0.39479999999997517,Total infected,70%
187,8.0,0.48090000000001965,Total infected,70%
188,9.0,0.5951999999999771,Total infected,70%
189,10.0,0.7174000000000547,Total infected,70%
190,11.0,0.8537000000000035,Total infected,70%
191,12.0,1.022100000000023,Total infected,70%
192,13.0,1.200400000000002,Total infected,70%
193,14.0,1.3466999999999985,Total infected,70%
194,15.0,1.4868999999999915,Total infected,70%
195,16.0,1.6352999999999724,Total infected,70%
196,17.0,1.8356999999999744,Total infected,70%
197,18.0,2.036100000000033,Total infected,70%
198,19.0,2.300700000000006,Total infected,70%
199,20.0,2.5049999999999955,Total infected,70%
200,21.0,2.6995000000000573,Total infected,70%
201,22.0,2.8637999999999693,Total infected,70%
202,23.0,3.0740000000000123,Total infected,70%
203,24.0,3.2644000000000233,Total infected,70%
204,25.0,3.4909000000000106,Total infected,70%
205,26.0,3.729400000000055,Total infected,70%
206,27.0,4.009999999999991,Total infected,70%
207,28.0,4.208399999999983,Total infected,70%
208,29.0,4.370700000000056,Total infected,70%
209,30.0,4.540999999999997,Total infected,70%
210,31.0,4.749500000000012,Total infected,70%
211,32.0,4.999900000000025,Total infected,70%
212,33.0,5.270500000000027,Total infected,70%
213,34.0,5.52699999999993,Total infected,70%
214,35.0,5.7654,Total infected,70%
215,36.0,5.935900000000004,Total infected,70%
216,37.0,6.112300000000062,Total infected,70%
217,38.0,6.310600000000022,Total infected,70%
218,39.0,6.577200000000005,Total infected,70%
219,40.0,6.825800000000015,Total infected,70%
220,41.0,7.060200000000009,Total infected,70%
221,42.0,7.250599999999963,Total infected,70%
222,43.0,7.402800000000013,Total infected,70%
223,44.0,7.605099999999993,Total infected,70%
224,45.0,7.8215000000000146,Total infected,70%
225,46.0,8.046100000000024,Total infected,70%
226,47.0,8.30260000000004,Total infected,70%
227,48.0,8.5471,Total infected,70%
228,49.0,8.745400000000018,Total infected,70%
229,50.0,8.895600000000002,Total infected,70%
230,51.0,9.096000000000004,Total infected,70%
231,52.0,9.276399999999967,Total infected,70%
232,53.0,9.528999999999996,Total infected,70%
233,54.0,9.753500000000031,Total infected,70%
234,55.0,10.006000000000029,Total infected,70%
235,56.0,10.216499999999996,Total infected,70%
236,57.0,10.35469999999998,Total infected,70%
237,58.0,10.525000000000034,Total infected,70%
238,59.0,10.72950000000003,Total infected,70%
239,60.0,10.939899999999966,Total infected,70%
