,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,1.0,Total infected,With NPIs
1,2.0,1.2241999999999962,Total infected,With NPIs
2,3.0,1.6295999999999822,Total infected,With NPIs
3,4.0,2.1561000000000092,Total infected,With NPIs
4,5.0,2.9579999999999984,Total infected,With NPIs
5,6.0,3.8559000000000196,Total infected,With NPIs
6,7.0,4.530500000000018,Total infected,With NPIs
7,8.0,5.0120000000000005,Total infected,With NPIs
8,9.0,5.888900000000007,Total infected,With NPIs
9,10.0,7.042100000000005,Total infected,With NPIs
10,11.0,8.286200000000008,Total infected,With NPIs
11,12.0,9.7868,Total infected,With NPIs
12,13.0,11.469499999999982,Total infected,With NPIs
13,14.0,12.600599999999986,Total infected,With NPIs
14,15.0,13.405400000000014,Total infected,With NPIs
15,16.0,14.694699999999983,Total infected,With NPIs
16,17.0,16.2372,Total infected,With NPIs
17,18.0,17.96289999999999,Total infected,With NPIs
18,19.0,19.84880000000001,Total infected,With NPIs
19,20.0,22.028999999999996,Total infected,With NPIs
20,21.0,23.535500000000013,Total infected,With NPIs
21,22.0,24.594599999999986,Total infected,With NPIs
22,23.0,26.21520000000001,Total infected,With NPIs
23,24.0,28.160200000000003,Total infected,With NPIs
24,25.0,30.38730000000001,Total infected,With NPIs
25,26.0,32.9169,Total infected,With NPIs
26,27.0,35.517499999999984,Total infected,With NPIs
27,28.0,37.4434,Total infected,With NPIs
28,29.0,38.846900000000005,Total infected,With NPIs
29,30.0,40.9529,Total infected,With NPIs
30,31.0,43.433400000000006,Total infected,With NPIs
31,32.0,46.137100000000004,Total infected,With NPIs
32,33.0,49.08009999999999,Total infected,With NPIs
33,34.0,52.397399999999976,Total infected,With NPIs
34,35.0,54.67259999999999,Total infected,With NPIs
35,1.0,1.0,Total infected,Without NPIs
36,2.0,3.700700000000012,Total infected,Without NPIs
37,3.0,8.200199999999995,Total infected,Without NPIs
38,4.0,13.060100000000006,Total infected,Without NPIs
39,5.0,20.39839999999998,Total infected,Without NPIs
40,6.0,31.172199999999975,Total infected,Without NPIs
41,7.0,38.933899999999994,Total infected,Without NPIs
42,8.0,44.44239999999999,Total infected,Without NPIs
43,9.0,57.94290000000001,Total infected,Without NPIs
44,10.0,77.2433,Total infected,Without NPIs
45,11.0,99.62259999999998,Total infected,Without NPIs
46,12.0,123.0831,Total infected,Without NPIs
47,13.0,146.0741,Total infected,Without NPIs
48,14.0,162.4645,Total infected,Without NPIs
49,15.0,174.2763,Total infected,Without NPIs
50,16.0,188.6686,Total infected,Without NPIs
51,17.0,201.1201,Total infected,Without NPIs
52,18.0,210.9399,Total infected,Without NPIs
53,19.0,218.63060000000002,Total infected,Without NPIs
54,20.0,224.5105,Total infected,Without NPIs
55,21.0,228.6587,Total infected,Without NPIs
56,22.0,231.6697,Total infected,Without NPIs
57,23.0,233.972,Total infected,Without NPIs
58,24.0,235.6707,Total infected,Without NPIs
59,25.0,236.8729,Total infected,Without NPIs
60,26.0,237.7447,Total infected,Without NPIs
61,27.0,238.3984,Total infected,Without NPIs
62,28.0,238.8689,Total infected,Without NPIs
63,29.0,239.2132,Total infected,Without NPIs
64,30.0,239.4444,Total infected,Without NPIs
65,31.0,239.6056,Total infected,Without NPIs
66,32.0,239.7097,Total infected,Without NPIs
67,33.0,239.7898,Total infected,Without NPIs
68,34.0,239.8539,Total infected,Without NPIs
69,35.0,239.8959,Total infected,Without NPIs
