,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,0.0,Total infected,With NPIs
1,2.0,0.712600000000009,Total infected,With NPIs
2,3.0,2.0541000000000054,Total infected,With NPIs
3,4.0,4.100100000000026,Total infected,With NPIs
4,5.0,7.07110000000003,Total infected,With NPIs
5,6.0,10.887800000000027,Total infected,With NPIs
6,7.0,14.306399999999996,Total infected,With NPIs
7,8.0,17.37349999999998,Total infected,With NPIs
8,9.0,22.450500000000005,Total infected,With NPIs
9,10.0,29.173099999999977,Total infected,With NPIs
10,11.0,37.25629999999998,Total infected,With NPIs
11,12.0,46.7107,Total infected,With NPIs
12,13.0,57.07110000000003,Total infected,With NPIs
13,14.0,64.86889999999997,Total infected,With NPIs
14,15.0,70.7938,Total infected,With NPIs
15,16.0,79.0721,Total infected,With NPIs
16,17.0,88.31239999999997,Total infected,With NPIs
17,18.0,97.99689999999998,Total infected,With NPIs
18,19.0,107.98300000000003,Total infected,With NPIs
19,20.0,117.7746,Total infected,With NPIs
20,21.0,124.977,Total infected,With NPIs
21,22.0,130.31130000000002,Total infected,With NPIs
22,23.0,136.2283,Total infected,With NPIs
23,24.0,142.2371,Total infected,With NPIs
24,25.0,147.97289999999998,Total infected,With NPIs
25,26.0,153.5265,Total infected,With NPIs
26,27.0,158.52949999999998,Total infected,With NPIs
27,28.0,162.3182,Total infected,With NPIs
28,29.0,164.9669,Total infected,With NPIs
29,30.0,167.964,Total infected,With NPIs
30,31.0,170.9189,Total infected,With NPIs
31,32.0,173.73680000000002,Total infected,With NPIs
32,33.0,176.3874,Total infected,With NPIs
33,34.0,179.044,Total infected,With NPIs
34,35.0,181.04809999999998,Total infected,With NPIs
35,1.0,0.0,Total infected,Without NPIs
36,2.0,0.7127000000000123,Total infected,Without NPIs
37,3.0,3.8507999999999925,Total infected,Without NPIs
38,4.0,11.324400000000026,Total infected,Without NPIs
39,5.0,24.553499999999985,Total infected,Without NPIs
40,6.0,43.2833,Total infected,Without NPIs
41,7.0,57.03490000000002,Total infected,Without NPIs
42,8.0,67.18430000000001,Total infected,Without NPIs
43,9.0,87.15719999999999,Total infected,Without NPIs
44,10.0,110.8278,Total infected,Without NPIs
45,11.0,133.4884,Total infected,Without NPIs
46,12.0,153.42450000000002,Total infected,Without NPIs
47,13.0,170.3124,Total infected,Without NPIs
48,14.0,182.7097,Total infected,Without NPIs
49,15.0,191.54059999999998,Total infected,Without NPIs
50,16.0,200.5306,Total infected,Without NPIs
51,17.0,207.7898,Total infected,Without NPIs
52,18.0,213.6236,Total infected,Without NPIs
53,19.0,217.8929,Total infected,Without NPIs
54,20.0,221.2984,Total infected,Without NPIs
55,21.0,223.8278,Total infected,Without NPIs
56,22.0,225.6478,Total infected,Without NPIs
57,23.0,227.1731,Total infected,Without NPIs
58,24.0,228.4795,Total infected,Without NPIs
59,25.0,229.5654,Total infected,Without NPIs
60,26.0,230.5374,Total infected,Without NPIs
61,27.0,231.4024,Total infected,Without NPIs
62,28.0,232.04410000000001,Total infected,Without NPIs
63,29.0,232.5375,Total infected,Without NPIs
64,30.0,233.1562,Total infected,Without NPIs
65,31.0,233.7727,Total infected,Without NPIs
66,32.0,234.3323,Total infected,Without NPIs
67,33.0,234.8699,Total infected,Without NPIs
68,34.0,235.3024,Total infected,Without NPIs
69,35.0,235.6136,Total infected,Without NPIs
