,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.050499999999999545,Total infected,0%
2,3.0,0.23230000000000928,Total infected,0%
3,4.0,0.49490000000000123,Total infected,0%
4,5.0,1.0908999999999764,Total infected,0%
5,6.0,1.7272999999999854,Total infected,0%
6,7.0,2.4243000000000166,Total infected,0%
7,8.0,3.121299999999991,Total infected,0%
8,9.0,4.414099999999991,Total infected,0%
9,10.0,6.303000000000026,Total infected,0%
10,11.0,9.191900000000004,Total infected,0%
11,12.0,12.676799999999986,Total infected,0%
12,13.0,16.757499999999993,Total infected,0%
13,14.0,19.757499999999993,Total infected,0%
14,15.0,22.161699999999996,Total infected,0%
15,16.0,26.222199999999987,Total infected,0%
16,17.0,31.96969999999999,Total infected,0%
17,18.0,38.68689999999998,Total infected,0%
18,19.0,46.58589999999998,Total infected,0%
19,20.0,55.21209999999999,Total infected,0%
20,21.0,61.38390000000001,Total infected,0%
21,22.0,65.7173,Total infected,0%
22,23.0,72.48489999999998,Total infected,0%
23,24.0,80.71720000000002,Total infected,0%
24,25.0,89.8586,Total infected,0%
25,26.0,99.53540000000001,Total infected,0%
26,27.0,109.9898,Total infected,0%
27,28.0,117.0505,Total infected,0%
28,29.0,122.495,Total infected,0%
29,30.0,130.0505,Total infected,0%
30,31.0,137.70709999999997,Total infected,0%
31,32.0,145.85860000000002,Total infected,0%
32,33.0,153.9494,Total infected,0%
33,34.0,161.2525,Total infected,0%
34,35.0,166.6465,Total infected,0%
35,36.0,169.98990000000003,Total infected,0%
36,37.0,174.4042,Total infected,0%
37,38.0,179.4344,Total infected,0%
38,39.0,184.27280000000002,Total infected,0%
39,40.0,188.8688,Total infected,0%
40,41.0,192.8587,Total infected,0%
41,42.0,196.1111,Total infected,0%
42,43.0,198.0605,Total infected,0%
43,44.0,200.42430000000002,Total infected,0%
44,45.0,202.495,Total infected,0%
45,46.0,205.0101,Total infected,0%
46,47.0,207.2525,Total infected,0%
47,48.0,209.41410000000002,Total infected,0%
48,49.0,210.7475,Total infected,0%
49,50.0,211.9393,Total infected,0%
50,51.0,213.1515,Total infected,0%
51,52.0,214.505,Total infected,0%
52,53.0,215.6969,Total infected,0%
53,54.0,216.9697,Total infected,0%
54,55.0,217.9294,Total infected,0%
55,56.0,218.7576,Total infected,0%
56,57.0,219.3535,Total infected,0%
57,58.0,219.9596,Total infected,0%
58,59.0,220.7071,Total infected,0%
59,60.0,221.192,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.050499999999999545,Total infected,10%
62,3.0,0.2120999999999924,Total infected,10%
63,4.0,0.46460000000001855,Total infected,10%
64,5.0,0.9089999999999918,Total infected,10%
65,6.0,1.6465000000000032,Total infected,10%
66,7.0,2.3636999999999944,Total infected,10%
67,8.0,2.798000000000002,Total infected,10%
68,9.0,3.8384000000000356,Total infected,10%
69,10.0,5.4041,Total infected,10%
70,11.0,7.767799999999994,Total infected,10%
71,12.0,10.85850000000002,Total infected,10%
72,13.0,14.41409999999999,Total infected,10%
73,14.0,17.393900000000002,Total infected,10%
74,15.0,19.373699999999985,Total infected,10%
75,16.0,23.040400000000005,Total infected,10%
76,17.0,27.36359999999999,Total infected,10%
77,18.0,32.575800000000015,Total infected,10%
