,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,0.0606,Infected,0%
3,3.0,0.1515,Infected,0%
4,4.0,0.3939,Infected,0%
5,5.0,0.8283,Infected,0%
6,6.0,1.5859,Infected,0%
7,7.0,1.9495,Infected,0%
8,8.0,2.0808,Infected,0%
9,9.0,2.5353,Infected,0%
10,10.0,3.5555,Infected,0%
11,11.0,4.7777,Infected,0%
12,12.0,6.242400000000001,Infected,0%
13,13.0,7.969700000000001,Infected,0%
14,14.0,8.9899,Infected,0%
15,15.0,9.3738,Infected,0%
16,16.0,9.969700000000001,Infected,0%
17,17.0,11.030300000000002,Infected,0%
18,18.0,12.606000000000002,Infected,0%
19,19.0,14.8081,Infected,0%
20,20.0,17.6464,Infected,0%
21,21.0,18.9292,Infected,0%
22,22.0,18.6868,Infected,0%
23,23.0,18.3535,Infected,0%
24,24.0,18.4443,Infected,0%
25,25.0,19.202,Infected,0%
26,26.0,20.3434,Infected,0%
27,27.0,21.4646,Infected,0%
28,28.0,21.1716,Infected,0%
29,29.0,19.1919,Infected,0%
30,30.0,19.202,Infected,0%
31,31.0,19.181700000000003,Infected,0%
32,32.0,19.1211,Infected,0%
33,33.0,19.5555,Infected,0%
34,34.0,20.0909,Infected,0%
35,35.0,19.505000000000003,Infected,0%
36,36.0,16.6969,Infected,0%
37,37.0,16.5454,Infected,0%
38,38.0,16.2929,Infected,0%
39,39.0,15.727199999999998,Infected,0%
40,40.0,15.929200000000002,Infected,0%
41,41.0,16.747399999999995,Infected,0%
42,42.0,16.3332,Infected,0%
43,43.0,13.9999,Infected,0%
44,44.0,13.676800000000002,Infected,0%
45,45.0,13.3334,Infected,0%
46,46.0,13.5859,Infected,0%
47,47.0,13.656600000000001,Infected,0%
48,48.0,14.3434,Infected,0%
49,49.0,14.161600000000002,Infected,0%
50,50.0,11.7878,Infected,0%
51,51.0,11.5556,Infected,0%
52,52.0,11.7475,Infected,0%
53,53.0,11.868600000000002,Infected,0%
54,54.0,11.919100000000002,Infected,0%
55,55.0,12.7071,Infected,0%
56,56.0,12.2929,Infected,0%
57,57.0,10.757500000000002,Infected,0%
58,58.0,10.848500000000001,Infected,0%
59,59.0,10.899,Infected,0%
60,60.0,11.191900000000002,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,0.0909,Infected,10%
64,3.0,0.2121,Infected,10%
65,4.0,0.4444,Infected,10%
66,5.0,0.7777999999999999,Infected,10%
67,6.0,1.4747,Infected,10%
68,7.0,1.7374,Infected,10%
69,8.0,1.9899,Infected,10%
70,9.0,2.505,Infected,10%
71,10.0,3.5656,Infected,10%
72,11.0,4.838299999999999,Infected,10%
73,12.0,6.7475000000000005,Infected,10%
74,13.0,8.868699999999999,Infected,10%
75,14.0,9.6767,Infected,10%
76,15.0,9.777800000000001,Infected,10%
77,16.0,10.181799999999999,Infected,10%
78,17.0,11.0303,Infected,10%
79,18.0,12.2828,Infected,10%
80,19.0,14.020100000000001,Infected,10%
81,20.0,15.565600000000002,Infected,10%
82,21.0,15.888800000000002,Infected,10%
83,22.0,15.4343,Infected,10%
84,23.0,15.7676,Infected,10%
85,24.0,15.818100000000001,Infected,10%
86,25.0,16.3939,Infected,10%
87,26.0,17.5454,Infected,10%
88,27.0,18.3737,Infected,10%
89,28.0,18.404,Infected,10%
90,29.0,16.909000000000002,Infected,10%
91,30.0,17.1818,Infected,10%
92,31.0,17.222200000000004,Infected,10%
93,32.0,17.1919,Infected,10%
94,33.0,17.8182,Infected,10%
95,34.0,18.4545,Infected,10%
96,35.0,18.2423,Infected,10%
97,36.0,16.1514,Infected,10%
98,37.0,15.767600000000002,Infected,10%
99,38.0,15.4141,Infected,10%
100,39.0,15.3737,Infected,10%
101,40.0,15.2423,Infected,10%
102,41.0,15.262500000000001,Infected,10%
103,42.0,14.525200000000002,Infected,10%
104,43.0,12.1313,Infected,10%
105,44.0,11.505,Infected,10%
106,45.0,11.2222,Infected,10%
107,46.0,11.0606,Infected,10%
108,47.0,11.303,Infected,10%
109,48.0,11.5555,Infected,10%
110,49.0,11.313100000000002,Infected,10%
111,50.0,9.2828,Infected,10%
112,51.0,9.1414,Infected,10%
113,52.0,9.1717,Infected,10%
114,53.0,9.393899999999999,Infected,10%
115,54.0,9.565600000000002,Infected,10%
116,55.0,9.9192,Infected,10%
117,56.0,9.596000000000002,Infected,10%
118,57.0,8.3636,Infected,10%
119,58.0,8.1212,Infected,10%
120,59.0,8.090900000000001,Infected,10%
121,60.0,7.919200000000001,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.0404,Infected,40%
125,3.0,0.1212,Infected,40%
126,4.0,0.2626,Infected,40%
127,5.0,0.5253,Infected,40%
128,6.0,0.8081,Infected,40%
129,7.0,0.9495,Infected,40%
130,8.0,1.1213,Infected,40%
131,9.0,1.2222,Infected,40%
132,10.0,1.5655999999999999,Infected,40%
133,11.0,2.0101,Infected,40%
134,12.0,2.4545,Infected,40%
135,13.0,3.2627,Infected,40%
136,14.0,3.5455,Infected,40%
137,15.0,3.6767,Infected,40%
138,16.0,3.8788,Infected,40%
139,17.0,4.242400000000001,Infected,40%
140,18.0,4.4849,Infected,40%
141,19.0,5.1313,Infected,40%
142,20.0,5.737400000000001,Infected,40%
143,21.0,5.9293000000000005,Infected,40%
144,22.0,5.838400000000002,Infected,40%
145,23.0,5.959600000000001,Infected,40%
