,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,237.0404,0.7589,0.9322,0.0000,2.6895,0.0000,0.1416,0.0000,0.0000,0.0000,0.0000,0.0000,0.4490,0.0000,0.0236,0.0000,29.8487,0.8880,0.0236,0.1416,0.0000,0.0236,0.0000,0.1534,1.0000
2,2,236.2740,1.2644,0.9443,0.1931,2.6895,0.0000,0.1175,0.0393,0.0000,0.0000,0.0000,0.0000,0.7364,0.0000,0.0436,0.0148,29.8487,1.6414,0.0393,0.1416,0.0000,0.0393,0.0000,0.1651,0.8930
3,3,235.2489,1.6244,1.0292,0.3222,2.6895,0.0000,0.1114,0.0465,0.2508,0.0295,0.0148,0.0000,1.2874,0.1177,0.0857,0.0237,29.8487,2.4502,0.0736,0.1416,0.0148,0.0736,0.0000,0.1996,0.8519
4,4,234.1061,2.1185,1.3819,0.4259,2.6895,0.0000,0.1052,0.0536,0.2508,0.0148,0.0295,0.0000,1.5281,0.1425,0.2019,0.0317,29.8487,3.1615,0.0921,0.1416,0.0148,0.0921,0.0000,0.2162,0.8794
5,5,232.8759,2.5046,1.7079,0.5868,2.6895,0.0000,0.0990,0.0604,0.3476,0.0368,0.0737,0.0368,1.8468,0.1477,0.3560,0.0702,29.8487,3.9940,0.1170,0.1416,0.0238,0.1170,0.0000,0.2443,0.8474
6,6,232.4967,1.7287,2.0716,0.7183,2.6895,0.0000,0.0735,0.0866,0.7086,0.1102,0.2257,0.0505,2.0585,0.2125,0.3716,0.1637,29.8487,4.7423,0.1352,0.1416,0.0534,0.1352,0.0000,0.2829,0.8971
7,7,232.1537,1.2139,2.1603,0.9182,2.6895,0.0000,0.0603,0.0991,0.8715,0.0872,0.3006,0.0964,2.3596,0.1872,0.4815,0.2527,29.8487,5.5048,0.1589,0.1416,0.0666,0.1589,0.0000,0.3155,0.9186
8,8,229.2751,1.4219,1.3952,0.8886,5.0593,0.2784,0.9031,0.4464,0.9123,0.0793,0.3728,0.1425,2.5012,0.1419,0.5538,0.3207,59.0269,6.2418,0.1705,0.3683,0.0732,0.1705,0.0000,0.5071,0.9427
9,9,228.5298,1.7909,1.4085,1.1126,5.0593,0.2147,0.8279,0.5920,0.9597,0.0700,0.3947,0.2134,2.5379,0.1485,0.5556,0.4137,59.0269,6.9589,0.1763,0.3683,0.0798,0.1763,0.0000,0.5173,0.9528
10,10,227.5884,2.1412,1.5944,1.3021,5.0593,0.1412,0.8157,0.6737,0.9597,0.0634,0.3592,0.2529,2.7320,0.1695,0.5881,0.5003,59.0269,7.6638,0.1933,0.3683,0.0798,0.1933,0.0000,0.5325,0.9778
11,11,226.5425,2.5228,1.8713,1.4268,5.0593,0.0972,0.7796,0.7553,1.0640,0.0636,0.4052,0.3670,2.9151,0.1526,0.5784,0.6049,59.0269,8.4169,0.2067,0.3683,0.0925,0.2067,0.0000,0.5541,1.0591
12,12,225.6507,2.7522,2.3345,1.6727,5.0593,0.0755,0.6972,0.8579,1.1315,0.0753,0.3812,0.4412,2.9151,0.1387,0.5070,0.6922,59.0269,8.9647,0.2067,0.3683,0.0988,0.2067,0.0000,0.5592,1.0796
13,13,225.4403,1.9201,2.7568,1.8857,5.0593,0.0629,0.6716,0.8957,1.2948,0.0792,0.4231,0.4952,3.0109,0.1611,0.5025,0.8201,59.0269,9.6662,0.2178,0.3683,0.1111,0.2178,0.0000,0.5793,1.1134
14,14,225.4164,1.3626,2.8973,2.2339,5.0593,0.0385,0.5863,1.0053,1.3217,0.1298,0.4170,0.5724,3.0109,0.1196,0.4866,0.8761,59.0269,10.4454,0.2178,0.3683,0.1173,0.2178,0.0000,0.5843,1.1562
15,15,225.2211,1.3212,1.4451,1.6934,4.7622,0.3858,1.8381,1.8951,1.5378,0.0884,0.5251,0.6508,2.9667,0.1649,0.5739,1.0307,87.7438,11.2268,0.2402,0.6225,0.1353,0.2402,0.0000,0.7116,1.1186
16,16,224.7050,1.5771,1.4137,1.8417,4.7622,0.2830,1.6958,2.1359,1.6538,0.1030,0.5388,0.7585,2.8925,0.1380,0.6893,1.1337,87.7438,12.0449,0.2568,0.6225,0.1472,0.2568,0.0000,0.7273,1.1531
