,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,3.1482999999999493,Total infected,0%
2,3.0,9.795599999999979,Total infected,0%
3,4.0,20.955900000000042,Total infected,0%
4,5.0,38.21639999999999,Total infected,0%
5,6.0,60.26249999999999,Total infected,0%
6,7.0,77.43899999999996,Total infected,0%
7,8.0,91.30679999999998,Total infected,0%
8,9.0,104.28269999999998,Total infected,0%
9,10.0,115.92599999999999,Total infected,0%
10,11.0,125.79169999999999,Total infected,0%
11,12.0,133.86169999999998,Total infected,0%
12,13.0,140.63330000000002,Total infected,0%
13,14.0,145.4389,Total infected,0%
14,15.0,149.0762,Total infected,0%
15,16.0,151.83769999999998,Total infected,0%
16,17.0,153.8538,Total infected,0%
17,18.0,155.2165,Total infected,0%
18,19.0,156.2245,Total infected,0%
19,20.0,157.0623,Total infected,0%
20,21.0,157.74149999999997,Total infected,0%
21,22.0,158.30060000000003,Total infected,0%
22,23.0,159.77769999999998,Total infected,0%
23,24.0,162.03019999999998,Total infected,0%
24,25.0,165.1562,Total infected,0%
25,26.0,169.3106,Total infected,0%
26,27.0,174.13440000000003,Total infected,0%
27,28.0,178.1884,Total infected,0%
28,29.0,181.62529999999998,Total infected,0%
29,30.0,185.6613,Total infected,0%
30,31.0,189.4749,Total infected,0%
31,32.0,193.2967,Total infected,0%
32,33.0,197.09820000000002,Total infected,0%
33,34.0,200.5592,Total infected,0%
34,35.0,203.2967,Total infected,0%
35,36.0,205.5992,Total infected,0%
36,37.0,207.4588,Total infected,0%
37,38.0,209.0822,Total infected,0%
38,39.0,210.6873,Total infected,0%
39,40.0,212.0741,Total infected,0%
40,41.0,213.2726,Total infected,0%
41,42.0,214.1903,Total infected,0%
42,43.0,215.006,Total infected,0%
43,44.0,215.8237,Total infected,0%
44,45.0,216.7414,Total infected,0%
45,46.0,217.6592,Total infected,0%
46,47.0,218.6874,Total infected,0%
47,48.0,219.7336,Total infected,0%
48,49.0,220.7215,Total infected,0%
49,50.0,221.59120000000001,Total infected,0%
50,51.0,222.44299999999998,Total infected,0%
51,52.0,223.4269,Total infected,0%
52,53.0,224.3809,Total infected,0%
53,54.0,225.2406,Total infected,0%
54,55.0,226.1924,Total infected,0%
55,56.0,227.0221,Total infected,0%
56,57.0,227.7215,Total infected,0%
57,58.0,228.3568,Total infected,0%
58,59.0,229.0181,Total infected,0%
59,60.0,229.6132,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,2.863800000000026,Total infected,10%
62,3.0,8.851699999999994,Total infected,10%
63,4.0,18.845700000000022,Total infected,10%
64,5.0,33.541,Total infected,10%
65,6.0,52.144300000000015,Total infected,10%
66,7.0,66.74960000000002,Total infected,10%
67,8.0,78.7415,Total infected,10%
68,9.0,90.72749999999999,Total infected,10%
69,10.0,101.56729999999999,Total infected,10%
70,11.0,110.95580000000001,Total infected,10%
71,12.0,119.23859999999999,Total infected,10%
72,13.0,126.2064,Total infected,10%
73,14.0,131.18820000000002,Total infected,10%
74,15.0,135.01400000000004,Total infected,10%
75,16.0,137.75160000000002,Total infected,10%
76,17.0,139.89180000000002,Total infected,10%
77,18.0,141.53310000000002,Total infected,10%
78,19.0,142.70759999999999,Total infected,10%
79,20.0,143.6194,Total infected,10%
80,21.0,144.3608,Total infected,10%
81,22.0,144.9621,Total infected,10%
82,23.0,146.34280000000004,Total infected,10%
83,24.0,148.2706,Total infected,10%
84,25.0,150.90579999999997,Total infected,10%
85,26.0,154.2165,Total infected,10%
86,27.0,158.11020000000002,Total infected,10%
87,28.0,161.40890000000002,Total infected,10%
88,29.0,164.34879999999998,Total infected,10%
89,30.0,167.7376,Total infected,10%
90,31.0,171.09019999999998,Total infected,10%
91,32.0,174.5312,Total infected,10%
92,33.0,177.72340000000003,Total infected,10%
93,34.0,180.89999999999998,Total infected,10%
94,35.0,183.3507,Total infected,10%
95,36.0,185.3607,Total infected,10%
96,37.0,187.1704,Total infected,10%
97,38.0,188.8738,Total infected,10%
98,39.0,190.42489999999998,Total infected,10%
99,40.0,191.8357,Total infected,10%
100,41.0,193.0702,Total infected,10%
101,42.0,194.0821,Total infected,10%
102,43.0,194.94979999999998,Total infected,10%
103,44.0,195.79559999999998,Total infected,10%
104,45.0,196.63709999999998,Total infected,10%
105,46.0,197.53730000000002,Total infected,10%
106,47.0,198.34879999999998,Total infected,10%
107,48.0,199.24059999999997,Total infected,10%
108,49.0,200.0202,Total infected,10%
109,50.0,200.6774,Total infected,10%
110,51.0,201.4028,Total infected,10%
111,52.0,202.1203,Total infected,10%
112,53.0,202.8777,Total infected,10%
113,54.0,203.6735,Total infected,10%
114,55.0,204.3868,Total infected,10%
115,56.0,205.05809999999997,Total infected,10%
116,57.0,205.6893,Total infected,10%
117,58.0,206.2504,Total infected,10%
118,59.0,206.8075,Total infected,10%
119,60.0,207.3506,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,1.9559000000000424,Total infected,40%
122,3.0,5.553099999999972,Total infected,40%
123,4.0,11.050199999999961,Total infected,40%
124,5.0,18.65739999999994,Total infected,40%
125,6.0,28.332600000000014,Total infected,40%
126,7.0,36.26650000000001,Total infected,40%
127,8.0,43.37480000000002,Total infected,40%
128,9.0,50.7577,Total infected,40%
129,10.0,58.2406,Total infected,40%
130,11.0,65.72949999999997,Total infected,40%
131,12.0,72.4408,Total infected,40%
132,13.0,78.68109999999999,Total infected,40%
133,14.0,83.56909999999999,Total infected,40%
134,15.0,87.33070000000001,Total infected,40%
135,16.0,90.3126,Total infected,40%
136,17.0,92.75359999999998,Total infected,40%
137,18.0,94.79959999999997,Total infected,40%
138,19.0,96.3286,Total infected,40%
139,20.0,97.59719999999999,Total infected,40%
140,21.0,98.53299999999999,Total infected,40%
141,22.0,99.2926,Total infected,40%
142,23.0,100.18629999999996,Total infected,40%
143,24.0,101.39879999999997,Total infected,40%
144,25.0,102.8135,Total infected,40%
145,26.0,104.39869999999999,Total infected,40%
146,27.0,106.19439999999997,Total infected,40%
147,28.0,107.65529999999998,Total infected,40%
148,29.0,109.12629999999999,Total infected,40%
149,30.0,110.6713,Total infected,40%
150,31.0,112.45480000000003,Total infected,40%
151,32.0,114.47120000000001,Total infected,40%
152,33.0,116.40679999999998,Total infected,40%
153,34.0,118.41499999999999,Total infected,40%
154,35.0,120.0101,Total infected,40%
155,36.0,121.50319999999999,Total infected,40%
156,37.0,122.88589999999999,Total infected,40%
157,38.0,124.24650000000003,Total infected,40%
158,39.0,125.56119999999996,Total infected,40%
159,40.0,126.74159999999998,Total infected,40%
160,41.0,127.86789999999999,Total infected,40%
161,42.0,128.7657,Total infected,40%
162,43.0,129.505,Total infected,40%
163,44.0,130.2365,Total infected,40%
164,45.0,130.99589999999998,Total infected,40%
165,46.0,131.6892,Total infected,40%
166,47.0,132.3286,Total infected,40%
167,48.0,132.95589999999999,Total infected,40%
168,49.0,133.5189,Total infected,40%
169,50.0,133.94789999999998,Total infected,40%
170,51.0,134.4529,Total infected,40%
171,52.0,134.8958,Total infected,40%
172,53.0,135.34879999999998,Total infected,40%
173,54.0,135.8136,Total infected,40%
174,55.0,136.2385,Total infected,40%
175,56.0,136.6032,Total infected,40%
176,57.0,136.93790000000004,Total infected,40%
177,58.0,137.2765,Total infected,40%
178,59.0,137.65930000000003,Total infected,40%
179,60.0,138.0182,Total infected,40%
180,1.0,0.0,Total infected,70%
181,2.0,0.9578999999999951,Total infected,70%
182,3.0,2.65930000000003,Total infected,70%
183,4.0,5.038100000000043,Total infected,70%
184,5.0,8.00200000000001,Total infected,70%
185,6.0,11.473000000000013,Total infected,70%
186,7.0,14.567000000000007,Total infected,70%
187,8.0,17.52510000000001,Total infected,70%
188,9.0,20.84159999999997,Total infected,70%
189,10.0,24.26670000000007,Total infected,70%
190,11.0,27.86379999999997,Total infected,70%
191,12.0,31.42680000000007,Total infected,70%
192,13.0,34.82579999999999,Total infected,70%
193,14.0,37.599199999999996,Total infected,70%
194,15.0,39.7475,Total infected,70%
195,16.0,41.99600000000001,Total infected,70%
196,17.0,44.01999999999998,Total infected,70%
197,18.0,45.85559999999998,Total infected,70%
198,19.0,47.55720000000002,Total infected,70%
199,20.0,49.27469999999997,Total infected,70%
200,21.0,50.581199999999995,Total infected,70%
201,22.0,51.58129999999997,Total infected,70%
202,23.0,52.60519999999997,Total infected,70%
203,24.0,53.56110000000001,Total infected,70%
204,25.0,54.42690000000002,Total infected,70%
205,26.0,55.2405,Total infected,70%
206,27.0,56.044100000000014,Total infected,70%
207,28.0,56.761600000000016,Total infected,70%
208,29.0,57.362599999999986,Total infected,70%
209,30.0,58.03399999999999,Total infected,70%
210,31.0,58.6952,Total infected,70%
211,32.0,59.34650000000002,Total infected,70%
212,33.0,59.9701,Total infected,70%
213,34.0,60.547200000000004,Total infected,70%
214,35.0,61.05000000000001,Total infected,70%
215,36.0,61.569199999999995,Total infected,70%
216,37.0,62.1061,Total infected,70%
217,38.0,62.60319999999999,Total infected,70%
218,39.0,63.140299999999996,Total infected,70%
219,40.0,63.63130000000004,Total infected,70%
220,41.0,64.06219999999999,Total infected,70%
221,42.0,64.43699999999998,Total infected,70%
222,43.0,64.78969999999998,Total infected,70%
223,44.0,65.16040000000001,Total infected,70%
224,45.0,65.5171,Total infected,70%
225,46.0,65.9279,Total infected,70%
226,47.0,66.28460000000001,Total infected,70%
227,48.0,66.6231,Total infected,70%
228,49.0,66.91380000000001,Total infected,70%
229,50.0,67.18029999999999,Total infected,70%
230,51.0,67.43889999999996,Total infected,70%
231,52.0,67.65129999999999,Total infected,70%
232,53.0,67.90990000000002,Total infected,70%
233,54.0,68.1463,Total infected,70%
234,55.0,68.38669999999999,Total infected,70%
235,56.0,68.56300000000002,Total infected,70%
236,57.0,68.72540000000001,Total infected,70%
237,58.0,68.9359,Total infected,70%
238,59.0,69.09830000000002,Total infected,70%
239,60.0,69.23850000000002,Total infected,70%
