day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457185	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457185	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	216	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
2	123457185	68	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	212	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	1
3	123457185	65	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	209	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	2
4	123457185	61	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	209	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	[]	0	3
5	123457185	56	8	2	0	2	2	1	0	0	0	0	0	0	0	1	0	79	5	1	2	0	1	193	9	2	0	12	0	1	1	0	0	0	0	0	0	0	0	18	[3D]	1	5
6	123457185	54	8	4	0	2	1	1	1	0	0	0	0	0	0	1	0	79	6	1	2	0	1	192	6	6	0	12	0	1	1	0	0	0	0	0	0	0	0	21	[3D]	1	6
7	123457185	51	8	7	0	2	0	2	1	0	0	0	0	0	0	1	0	79	6	1	2	0	1	190	4	10	0	12	0	0	2	0	0	0	0	0	0	0	0	26	[3D]	1	9
8	123457185	42	10	6	1	6	0	5	1	0	0	0	0	0	0	1	0	172	6	1	6	0	1	174	7	6	3	25	0	1	2	0	0	0	0	0	0	0	0	27	[3D 2B]	2	10
9	123457185	37	14	7	1	6	0	5	1	0	0	0	0	0	0	1	0	172	7	1	6	0	1	167	14	4	5	25	0	1	2	0	0	0	0	0	0	0	0	30	[3D 2B]	2	10
10	123457185	34	17	7	1	6	0	4	2	0	0	0	0	0	0	1	0	172	7	1	6	0	1	164	11	10	5	25	0	1	2	0	0	0	0	0	0	0	0	30	[3D 2B]	2	10
11	123457185	29	16	13	1	6	0	3	3	0	0	0	0	0	0	1	0	172	7	1	6	0	1	162	9	12	7	25	0	1	2	0	0	0	0	0	0	0	0	31	[3D 2B]	2	10
12	123457185	27	14	16	2	6	0	2	4	0	0	0	0	0	0	1	0	172	7	1	6	0	1	156	12	10	12	25	0	1	2	0	0	0	0	0	0	0	0	32	[3D 2B]	2	10
13	123457185	26	13	17	3	6	0	2	4	0	0	0	0	0	0	0	1	191	9	1	6	0	1	155	9	12	14	25	0	1	2	0	0	0	0	0	0	0	0	34	[3D 2B]	2	9
14	123457185	26	11	16	6	6	0	2	4	0	0	0	0	0	0	0	1	191	9	1	6	0	1	155	4	15	16	25	0	0	3	0	0	0	0	0	0	0	0	34	[3D 2B]	2	9
15	123457185	16	3	2	3	15	6	17	9	0	0	0	0	0	0	0	1	278	10	1	23	0	1	86	3	7	10	92	2	9	9	0	0	0	0	0	0	0	0	36	[3D 2B 1C 1D 2A 2C 2D 3A]	8	9
16	123457185	15	2	4	3	15	6	17	9	0	0	0	0	0	0	0	1	278	10	1	23	0	1	83	6	6	11	92	2	7	11	0	0	0	0	0	0	0	0	37	[3D 2B 1C 1D 2A 2C 2D 3A]	8	9
17	123457185	14	2	5	3	15	4	17	11	0	0	0	0	0	0	0	1	278	10	1	23	0	1	83	4	7	12	92	2	7	11	0	0	0	0	0	0	0	0	37	[3D 2B 1C 1D 2A 2C 2D 3A]	8	8
18	123457185	12	2	7	3	15	3	13	16	0	0	0	0	0	0	0	1	278	11	1	23	0	1	80	6	8	12	92	2	7	11	0	0	0	0	0	0	0	0	38	[3D 2B 1C 1D 2A 2C 2D 3A]	8	8
19	123457185	12	3	7	8	13	2	13	14	0	0	0	0	0	0	0	0	278	11	1	23	0	1	88	7	11	14	80	2	7	9	0	0	0	0	0	0	0	0	39	[2B 1C 1D 2A 2C 2D 3A]	7	9
20	123457185	11	3	6	10	13	2	10	17	0	0	0	0	0	0	0	0	278	12	1	23	0	1	87	6	12	15	80	1	8	9	0	0	0	0	0	0	0	0	41	[2B 1C 1D 2A 2C 2D 3A]	7	9
21	123457185	10	3	5	11	13	2	9	18	0	0	0	0	0	0	1	0	297	12	2	23	0	2	86	4	13	17	80	1	8	9	0	0	0	0	0	0	0	0	43	[2B 1C 1D 2A 2C 2D 3A]	7	9
22	123457185	14	1	1	12	9	2	12	19	0	0	1	0	0	0	0	1	360	14	2	31	1	2	91	3	9	17	74	0	13	11	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A]	7	8
23	123457185	13	2	0	13	9	2	12	19	0	0	1	0	0	0	0	1	360	14	2	31	1	2	91	2	8	19	74	0	12	12	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A]	7	7
24	123457185	12	2	1	13	9	2	11	20	0	0	1	0	0	0	0	1	360	14	2	31	1	2	90	1	9	20	74	0	12	12	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A]	7	9
25	123457185	11	2	2	13	9	2	11	20	0	0	0	1	0	0	0	1	360	14	2	31	1	2	89	2	8	21	74	0	11	13	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A]	7	8
26	123457185	7	1	2	13	12	4	9	22	0	0	0	1	0	0	0	1	379	14	2	32	1	2	76	2	7	21	86	0	11	15	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A 1B]	8	8
27	123457185	6	0	0	12	13	5	9	25	0	0	0	1	0	0	0	1	398	14	2	34	1	2	64	0	4	24	98	2	9	17	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A 1B 3B]	9	8
28	123457185	6	0	0	12	13	2	10	27	0	0	0	1	0	0	0	1	398	14	2	34	1	2	64	0	4	24	98	2	9	17	0	0	0	0	0	0	0	0	44	[1C 1D 2A 2C 2D 3A 1A 1B 3B]	9	7
29	123457185	15	0	0	39	4	0	4	8	0	0	0	1	0	0	0	1	462	14	2	35	1	2	131	0	3	41	31	2	6	4	0	0	0	0	0	0	0	0	44	[1A 1B 3B]	3	4
30	123457185	15	0	0	39	4	0	3	9	0	0	0	1	0	0	0	1	462	15	2	35	1	2	130	1	2	42	31	0	8	4	0	0	0	0	0	0	0	0	45	[1A 1B 3B]	3	4
31	123457185	15	0	0	39	4	0	0	12	0	0	0	1	0	0	0	1	462	16	2	35	1	2	130	1	2	42	31	0	8	4	0	0	0	0	0	0	0	0	45	[1A 1B 3B]	3	4
32	123457185	15	0	0	39	4	0	0	12	0	0	0	1	0	0	0	1	462	16	2	35	1	2	129	2	2	42	31	0	5	7	0	0	0	0	0	0	0	0	46	[1A 1B 3B]	3	3
