,day,cumulative_infected,type,type_of_npis_pretty
0,1.0,1.0,Infetti totali,Con le NPIs
1,2.0,1.2512000000000114,Infetti totali,Con le NPIs
2,3.0,1.6666999999999916,Infetti totali,Con le NPIs
3,4.0,2.3393999999999835,Infetti totali,Con le NPIs
4,5.0,3.1300999999999988,Infetti totali,Con le NPIs
5,6.0,4.089100000000002,Infetti totali,Con le NPIs
6,7.0,4.7697,Infetti totali,Con le NPIs
7,8.0,5.269299999999987,Infetti totali,Con le NPIs
8,9.0,6.186199999999985,Infetti totali,Con le NPIs
9,10.0,7.261200000000002,Infetti totali,Con le NPIs
10,11.0,8.542500000000018,Infetti totali,Con le NPIs
11,12.0,9.99600000000001,Infetti totali,Con le NPIs
12,13.0,11.580600000000004,Infetti totali,Con le NPIs
13,14.0,12.758700000000005,Infetti totali,Con le NPIs
14,15.0,13.590499999999992,Infetti totali,Con le NPIs
15,16.0,14.815799999999996,Infetti totali,Con le NPIs
16,17.0,16.28230000000002,Infetti totali,Con le NPIs
17,18.0,17.90689999999998,Infetti totali,Con le NPIs
18,19.0,19.65270000000001,Infetti totali,Con le NPIs
19,20.0,21.697699999999998,Infetti totali,Con le NPIs
20,21.0,23.13810000000001,Infetti totali,Con le NPIs
21,22.0,24.17320000000001,Infetti totali,Con le NPIs
22,23.0,25.644599999999997,Infetti totali,Con le NPIs
23,24.0,27.456500000000005,Infetti totali,Con le NPIs
24,25.0,29.46549999999999,Infetti totali,Con le NPIs
25,26.0,31.726799999999997,Infetti totali,Con le NPIs
26,27.0,34.050099999999986,Infetti totali,Con le NPIs
27,28.0,35.805800000000005,Infetti totali,Con le NPIs
28,29.0,36.994,Infetti totali,Con le NPIs
29,30.0,38.86789999999999,Infetti totali,Con le NPIs
30,31.0,41.06800000000001,Infetti totali,Con le NPIs
31,32.0,43.578599999999994,Infetti totali,Con le NPIs
32,33.0,46.20920000000001,Infetti totali,Con le NPIs
33,34.0,48.971900000000005,Infetti totali,Con le NPIs
34,35.0,51.00400000000002,Infetti totali,Con le NPIs
35,1.0,1.0,Infetti totali,Senza le NPIs
36,2.0,3.7107000000000028,Infetti totali,Senza le NPIs
37,3.0,8.129099999999994,Infetti totali,Senza le NPIs
38,4.0,12.42240000000001,Infetti totali,Senza le NPIs
39,5.0,18.060100000000006,Infetti totali,Senza le NPIs
40,6.0,25.16720000000001,Infetti totali,Senza le NPIs
41,7.0,30.34039999999999,Infetti totali,Senza le NPIs
42,8.0,34.06209999999999,Infetti totali,Senza le NPIs
43,9.0,41.83179999999999,Infetti totali,Senza le NPIs
44,10.0,52.58759999999998,Infetti totali,Senza le NPIs
45,11.0,64.79079999999999,Infetti totali,Senza le NPIs
46,12.0,78.1662,Infetti totali,Senza le NPIs
47,13.0,92.8278,Infetti totali,Senza le NPIs
48,14.0,103.34729999999999,Infetti totali,Senza le NPIs
49,15.0,110.8209,Infetti totali,Senza le NPIs
50,16.0,123.5135,Infetti totali,Senza le NPIs
51,17.0,137.5556,Infetti totali,Senza le NPIs
52,18.0,150.9399,Infetti totali,Senza le NPIs
53,19.0,163.7798,Infetti totali,Senza le NPIs
54,20.0,176.6997,Infetti totali,Senza le NPIs
55,21.0,185.72570000000002,Infetti totali,Senza le NPIs
56,22.0,192.3023,Infetti totali,Senza le NPIs
57,23.0,199.995,Infetti totali,Senza le NPIs
58,24.0,206.9169,Infetti totali,Senza le NPIs
59,25.0,212.9549,Infetti totali,Senza le NPIs
60,26.0,218.2523,Infetti totali,Senza le NPIs
61,27.0,222.7078,Infetti totali,Senza le NPIs
62,28.0,225.8909,Infetti totali,Senza le NPIs
63,29.0,228.1522,Infetti totali,Senza le NPIs
64,30.0,230.4394,Infetti totali,Senza le NPIs
65,31.0,232.3664,Infetti totali,Senza le NPIs
66,32.0,233.9809,Infetti totali,Senza le NPIs
67,33.0,235.2563,Infetti totali,Senza le NPIs
68,34.0,236.3694,Infetti totali,Senza le NPIs
69,35.0,237.1622,Infetti totali,Senza le NPIs
