,day,cumulative_infected,type,type_pretty
0,1.0,9.999999997489795e-05,Total infected,0%
1,2.0,0.07609999999999673,Total infected,0%
2,3.0,0.3686999999999898,Total infected,0%
3,4.0,1.092300000000023,Total infected,0%
4,5.0,2.65949999999998,Total infected,0%
5,6.0,5.056100000000015,Total infected,0%
6,7.0,6.789600000000007,Total infected,0%
7,8.0,8.168399999999963,Total infected,0%
8,9.0,11.020000000000039,Total infected,0%
9,10.0,15.980099999999993,Total infected,0%
10,11.0,22.494999999999948,Total infected,0%
11,12.0,30.42100000000005,Total infected,0%
12,13.0,40.20859999999999,Total infected,0%
13,14.0,47.27239999999995,Total infected,0%
14,15.0,52.32460000000003,Total infected,0%
15,16.0,59.17439999999999,Total infected,0%
16,17.0,68.06810000000002,Total infected,0%
17,18.0,77.9219,Total infected,0%
18,19.0,88.37879999999996,Total infected,0%
19,20.0,99.7937,Total infected,0%
20,21.0,107.86769999999996,Total infected,0%
21,22.0,114.01800000000003,Total infected,0%
22,23.0,121.02199999999999,Total infected,0%
23,24.0,129.24059999999997,Total infected,0%
24,25.0,137.8236,Total infected,0%
25,26.0,146.55920000000003,Total infected,0%
26,27.0,155.5151,Total infected,0%
27,28.0,162.0342,Total infected,0%
28,29.0,166.62130000000002,Total infected,0%
29,30.0,171.77370000000002,Total infected,0%
30,31.0,177.3908,Total infected,0%
31,32.0,182.6935,Total infected,0%
32,33.0,188.1404,Total infected,0%
33,34.0,193.4269,Total infected,0%
34,35.0,197.0903,Total infected,0%
35,36.0,199.6874,Total infected,0%
36,37.0,202.22050000000002,Total infected,0%
37,38.0,204.898,Total infected,0%
38,39.0,207.471,Total infected,0%
39,40.0,209.94799999999998,Total infected,0%
40,41.0,212.437,Total infected,0%
41,42.0,214.26850000000002,Total infected,0%
42,43.0,215.4129,Total infected,0%
43,44.0,216.6933,Total infected,0%
44,45.0,218.1324,Total infected,0%
45,46.0,219.66740000000001,Total infected,0%
46,47.0,221.2384,Total infected,0%
47,48.0,222.8798,Total infected,0%
48,49.0,224.022,Total infected,0%
49,50.0,224.8517,Total infected,0%
50,51.0,225.6976,Total infected,0%
51,52.0,226.6574,Total infected,0%
52,53.0,227.59730000000002,Total infected,0%
53,54.0,228.5512,Total infected,0%
54,55.0,229.57920000000001,Total infected,0%
55,56.0,230.2606,Total infected,0%
56,57.0,230.7456,Total infected,0%
57,58.0,231.2285,Total infected,0%
58,59.0,231.7496,Total infected,0%
59,60.0,232.32670000000002,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.08809999999999718,Total infected,10%
62,3.0,0.4228999999999701,Total infected,10%
63,4.0,1.2064000000000306,Total infected,10%
64,5.0,2.6795000000000186,Total infected,10%
65,6.0,4.974099999999964,Total infected,10%
66,7.0,6.595199999999977,Total infected,10%
67,8.0,7.8537000000000035,Total infected,10%
68,9.0,10.348700000000008,Total infected,10%
69,10.0,14.463099999999997,Total infected,10%
70,11.0,20.394800000000032,Total infected,10%
71,12.0,27.945799999999963,Total infected,10%
72,13.0,36.537000000000006,Total infected,10%
73,14.0,42.97,Total infected,10%
74,15.0,47.4991,Total infected,10%
75,16.0,53.81959999999998,Total infected,10%
76,17.0,62.27649999999997,Total infected,10%
77,18.0,71.57319999999996,Total infected,10%
78,19.0,81.71940000000001,Total infected,10%
79,20.0,92.7354,Total infected,10%
80,21.0,100.44490000000002,Total infected,10%
81,22.0,106.02590000000001,Total infected,10%
82,23.0,112.42079999999999,Total infected,10%
83,24.0,119.8417,Total infected,10%
84,25.0,127.93970000000002,Total infected,10%
85,26.0,135.78349999999998,Total infected,10%
86,27.0,143.54910000000004,Total infected,10%
87,28.0,149.33259999999999,Total infected,10%
88,29.0,153.38869999999997,Total infected,10%
89,30.0,157.9058,Total infected,10%
90,31.0,162.7312,Total infected,10%
91,32.0,167.68939999999998,Total infected,10%
92,33.0,172.33069999999998,Total infected,10%
93,34.0,176.87779999999998,Total infected,10%
94,35.0,180.2845,Total infected,10%
95,36.0,182.70929999999998,Total infected,10%
96,37.0,185.0901,Total infected,10%
97,38.0,187.7458,Total infected,10%
98,39.0,190.2145,Total infected,10%
99,40.0,192.6354,Total infected,10%
100,41.0,195.3349,Total infected,10%
101,42.0,197.16639999999998,Total infected,10%
102,43.0,198.5012,Total infected,10%
103,44.0,199.9981,Total infected,10%
104,45.0,201.56329999999997,Total infected,10%
105,46.0,203.10629999999998,Total infected,10%
106,47.0,204.72749999999996,Total infected,10%
107,48.0,206.3207,Total infected,10%
108,49.0,207.4087,Total infected,10%
109,50.0,208.2165,Total infected,10%
110,51.0,209.12419999999997,Total infected,10%
111,52.0,210.0221,Total infected,10%
112,53.0,211.0079,Total infected,10%
113,54.0,211.96200000000002,Total infected,10%
114,55.0,212.93200000000002,Total infected,10%
115,56.0,213.6132,Total infected,10%
116,57.0,214.0641,Total infected,10%
117,58.0,214.5892,Total infected,10%
118,59.0,215.1203,Total infected,10%
119,60.0,215.6074,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.05809999999996762,Total infected,40%
122,3.0,0.2245000000000914,Total infected,40%
123,4.0,0.7174999999999727,Total infected,40%
124,5.0,1.5149999999999864,Total infected,40%
125,6.0,2.906000000000006,Total infected,40%
126,7.0,3.8798999999999637,Total infected,40%
127,8.0,4.611199999999997,Total infected,40%
128,9.0,6.182500000000061,Total infected,40%
129,10.0,8.703499999999963,Total infected,40%
130,11.0,11.982099999999946,Total infected,40%
131,12.0,16.234500000000025,Total infected,40%
132,13.0,21.3005,Total infected,40%
133,14.0,24.991999999999962,Total infected,40%
134,15.0,27.789699999999982,Total infected,40%
135,16.0,31.87579999999997,Total infected,40%
136,17.0,37.392900000000054,Total infected,40%
137,18.0,44.04820000000004,Total infected,40%
138,19.0,50.998099999999994,Total infected,40%
139,20.0,58.45090000000002,Total infected,40%
140,21.0,63.79160000000002,Total infected,40%
141,22.0,67.79560000000001,Total infected,40%
142,23.0,72.81970000000001,Total infected,40%
143,24.0,78.36689999999999,Total infected,40%
144,25.0,84.55500000000004,Total infected,40%
145,26.0,91.32650000000001,Total infected,40%
146,27.0,97.9759,Total infected,40%
147,28.0,102.8055,Total infected,40%
148,29.0,106.4428,Total infected,40%
149,30.0,110.5412,Total infected,40%
150,31.0,115.04999999999995,Total infected,40%
151,32.0,119.86579999999998,Total infected,40%
152,33.0,124.60909999999998,Total infected,40%
153,34.0,129.441,Total infected,40%
154,35.0,132.7397,Total infected,40%
155,36.0,135.1022,Total infected,40%
156,37.0,137.56529999999998,Total infected,40%
157,38.0,140.2926,Total infected,40%
158,39.0,142.91189999999997,Total infected,40%
159,40.0,145.487,Total infected,40%
160,41.0,148.13230000000001,Total infected,40%
161,42.0,150.0502,Total infected,40%
162,43.0,151.3488,Total infected,40%
163,44.0,152.6835,Total infected,40%
164,45.0,153.9921,Total infected,40%
165,46.0,155.33669999999998,Total infected,40%
166,47.0,156.6313,Total infected,40%
167,48.0,157.8936,Total infected,40%
168,49.0,158.8277,Total infected,40%
169,50.0,159.5452,Total infected,40%
170,51.0,160.2685,Total infected,40%
171,52.0,161.15030000000002,Total infected,40%
172,53.0,162.0803,Total infected,40%
173,54.0,162.91789999999997,Total infected,40%
174,55.0,163.6513,Total infected,40%
175,56.0,164.23250000000002,Total infected,40%
176,57.0,164.6193,Total infected,40%
177,58.0,165.0382,Total infected,40%
178,59.0,165.56109999999998,Total infected,40%
179,60.0,166.1224,Total infected,40%
180,1.0,0.0,Total infected,70%
181,2.0,0.04809999999997672,Total infected,70%
182,3.0,0.158299999999997,Total infected,70%
183,4.0,0.4008000000000038,Total infected,70%
184,5.0,0.8215999999999894,Total infected,70%
185,6.0,1.487199999999973,Total infected,70%
186,7.0,2.032099999999957,Total infected,70%
187,8.0,2.476799999999969,Total infected,70%
188,9.0,3.374900000000025,Total infected,70%
189,10.0,4.76339999999999,Total infected,70%
190,11.0,6.657300000000021,Total infected,70%
191,12.0,8.92779999999999,Total infected,70%
192,13.0,11.795399999999972,Total infected,70%
193,14.0,13.807700000000068,Total infected,70%
194,15.0,15.2727000000001,Total infected,70%
195,16.0,17.669300000000078,Total infected,70%
196,17.0,20.69939999999997,Total infected,70%
197,18.0,24.35069999999996,Total infected,70%
198,19.0,28.429100000000005,Total infected,70%
199,20.0,33.009999999999934,Total infected,70%
200,21.0,36.21449999999999,Total infected,70%
201,22.0,38.527000000000015,Total infected,70%
202,23.0,41.507300000000015,Total infected,70%
203,24.0,45.134300000000025,Total infected,70%
204,25.0,49.112300000000005,Total infected,70%
205,26.0,53.52120000000005,Total infected,70%
206,27.0,58.204499999999996,Total infected,70%
207,28.0,61.68750000000003,Total infected,70%
208,29.0,64.06209999999999,Total infected,70%
209,30.0,66.9779,Total infected,70%
210,31.0,70.32480000000001,Total infected,70%
211,32.0,73.89189999999999,Total infected,70%
212,33.0,77.41890000000004,Total infected,70%
213,34.0,81.02999999999997,Total infected,70%
214,35.0,83.50719999999998,Total infected,70%
215,36.0,85.40090000000001,Total infected,70%
216,37.0,87.41290000000001,Total infected,70%
217,38.0,89.5652,Total infected,70%
218,39.0,91.62730000000002,Total infected,70%
219,40.0,93.81560000000002,Total infected,70%
220,41.0,95.86780000000002,Total infected,70%
221,42.0,97.45489999999998,Total infected,70%
222,43.0,98.6132,Total infected,70%
223,44.0,99.84770000000003,Total infected,70%
224,45.0,101.21460000000002,Total infected,70%
225,46.0,102.519,Total infected,70%
226,47.0,103.90390000000002,Total infected,70%
227,48.0,105.26649999999998,Total infected,70%
228,49.0,106.27659999999997,Total infected,70%
229,50.0,106.98600000000002,Total infected,70%
230,51.0,107.7877,Total infected,70%
231,52.0,108.74149999999997,Total infected,70%
232,53.0,109.68150000000003,Total infected,70%
233,54.0,110.52509999999998,Total infected,70%
234,55.0,111.4932,Total infected,70%
235,56.0,112.1423,Total infected,70%
236,57.0,112.64320000000001,Total infected,70%
237,58.0,113.2046,Total infected,70%
238,59.0,113.8399,Total infected,70%
239,60.0,114.53309999999999,Total infected,70%
