,day,slope,type,type_pretty
0,0.0,0.07600000000002183,Total infected derivative,0%
1,1.0,0.18430000000000746,Total infected derivative,0%
2,2.0,0.5081000000000131,Total infected derivative,0%
3,3.0,1.145399999999995,Total infected derivative,0%
4,4.0,1.981899999999996,Total infected derivative,0%
5,5.0,2.0650500000000136,Total infected derivative,0%
6,6.0,1.556149999999974,Total infected derivative,0%
7,7.0,2.1152000000000157,Total infected derivative,0%
8,8.0,3.905850000000015,Total infected derivative,0%
9,9.0,5.7374999999999545,Total infected derivative,0%
10,10.0,7.220450000000028,Total infected derivative,0%
11,11.0,8.856800000000021,Total infected derivative,0%
12,12.0,8.42569999999995,Total infected derivative,0%
13,13.0,6.058000000000021,Total infected derivative,0%
14,14.0,5.951000000000022,Total infected derivative,0%
15,15.0,7.871749999999992,Total infected derivative,0%
16,16.0,9.373750000000001,Total infected derivative,0%
17,17.0,10.15534999999997,Total infected derivative,0%
18,18.0,10.935900000000004,Total infected derivative,0%
19,19.0,9.74445,Total infected derivative,0%
20,20.0,7.112150000000014,Total infected derivative,0%
21,21.0,6.577150000000017,Total infected derivative,0%
22,22.0,7.6112999999999715,Total infected derivative,0%
23,23.0,8.400800000000004,Total infected derivative,0%
24,24.0,8.65930000000003,Total infected derivative,0%
25,25.0,8.845749999999995,Total infected derivative,0%
26,26.0,7.737499999999983,Total infected derivative,0%
27,27.0,5.553100000000015,Total infected derivative,0%
28,28.0,4.8697500000000105,Total infected derivative,0%
29,29.0,5.384749999999997,Total infected derivative,0%
30,30.0,5.45989999999999,Total infected derivative,0%
31,31.0,5.374799999999993,Total infected derivative,0%
32,32.0,5.3666999999999945,Total infected derivative,0%
33,33.0,4.474950000000007,Total infected derivative,0%
34,34.0,3.1302500000000038,Total infected derivative,0%
35,35.0,2.565100000000001,Total infected derivative,0%
36,36.0,2.6052999999999997,Total infected derivative,0%
37,37.0,2.625249999999994,Total infected derivative,0%
38,38.0,2.5249999999999915,Total infected derivative,0%
39,39.0,2.483000000000004,Total infected derivative,0%
40,40.0,2.160250000000019,Total infected derivative,0%
41,41.0,1.4879499999999979,Total infected derivative,0%
42,42.0,1.2123999999999882,Total infected derivative,0%
43,43.0,1.3597499999999911,Total infected derivative,0%
44,44.0,1.4870500000000106,Total infected derivative,0%
45,45.0,1.5530000000000115,Total infected derivative,0%
46,46.0,1.606199999999987,Total infected derivative,0%
47,47.0,1.3917999999999893,Total infected derivative,0%
48,48.0,0.9859500000000025,Total infected derivative,0%
49,49.0,0.8378000000000014,Total infected derivative,0%
50,50.0,0.9028500000000008,Total infected derivative,0%
51,51.0,0.9498500000000121,Total infected derivative,0%
52,52.0,0.9468999999999994,Total infected derivative,0%
53,53.0,0.990949999999998,Total infected derivative,0%
54,54.0,0.8547000000000082,Total infected derivative,0%
55,55.0,0.5831999999999908,Total infected derivative,0%
56,56.0,0.483949999999993,Total infected derivative,0%
57,57.0,0.5019999999999953,Total infected derivative,0%
58,58.0,0.5491000000000099,Total infected derivative,0%
59,59.0,0.5771000000000299,Total infected derivative,0%
60,60.0,,Total infected derivative,0%
61,0.0,0.08809999999999718,Total infected derivative,10%
62,1.0,0.21144999999998504,Total infected derivative,10%
63,2.0,0.5591500000000167,Total infected derivative,10%
64,3.0,1.1283000000000243,Total infected derivative,10%
65,4.0,1.883849999999967,Total infected derivative,10%
66,5.0,1.9578499999999792,Total infected derivative,10%
67,6.0,1.4398000000000195,Total infected derivative,10%
68,7.0,1.8767500000000155,Total infected derivative,10%
69,8.0,3.304699999999997,Total infected derivative,10%
70,9.0,5.023050000000012,Total infected derivative,10%
71,10.0,6.741349999999983,Total infected derivative,10%
72,11.0,8.071099999999987,Total infected derivative,10%
73,12.0,7.512100000000018,Total infected derivative,10%
