,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,1.4268,Infected,0%
3,3.0,4.4468,Infected,0%
4,4.0,9.420799999999998,Infected,0%
5,5.0,17.519000000000002,Infected,0%
6,6.0,29.100199999999997,Infected,0%
7,7.0,36.056099999999994,Infected,0%
8,8.0,40.2004,Infected,0%
9,9.0,52.3848,Infected,0%
10,10.0,68.4649,Infected,0%
11,11.0,83.96990000000001,Infected,0%
12,12.0,97.3948,Infected,0%
13,13.0,107.1422,Infected,0%
14,14.0,109.56320000000001,Infected,0%
15,15.0,107.20839999999998,Infected,0%
16,16.0,105.1783,Infected,0%
17,17.0,101.9178,Infected,0%
18,18.0,97.014,Infected,0%
19,19.0,91.50699999999999,Infected,0%
20,20.0,84.7334,Infected,0%
21,21.0,77.3147,Infected,0%
22,22.0,69.6453,Infected,0%
23,23.0,62.7254,Infected,0%
24,24.0,56.05,Infected,0%
25,25.0,49.7896,Infected,0%
26,26.0,44.1282,Infected,0%
27,27.0,38.7154,Infected,0%
28,28.0,33.996,Infected,0%
29,29.0,29.6392,Infected,0%
30,30.0,25.8197,Infected,0%
31,31.0,22.4429,Infected,0%
32,32.0,19.3847,Infected,0%
33,33.0,16.8657,Infected,0%
34,34.0,14.477,Infected,0%
35,35.0,12.663300000000001,Infected,0%
36,36.0,10.8657,Infected,0%
37,37.0,9.4249,Infected,0%
38,38.0,8.1563,Infected,0%
39,39.0,6.992,Infected,0%
40,40.0,6.0501000000000005,Infected,0%
41,41.0,5.2645,Infected,0%
42,42.0,4.583100000000001,Infected,0%
43,43.0,3.9778999999999995,Infected,0%
44,44.0,3.4329,Infected,0%
45,45.0,2.9378,Infected,0%
46,46.0,2.5451,Infected,0%
47,47.0,2.1764,Infected,0%
48,48.0,1.8517000000000001,Infected,0%
49,49.0,1.6513,Infected,0%
50,50.0,1.4489,Infected,0%
51,51.0,1.2605000000000002,Infected,0%
52,52.0,1.1222,Infected,0%
53,53.0,0.958,Infected,0%
54,54.0,0.8216000000000001,Infected,0%
55,55.0,0.6994,Infected,0%
56,56.0,0.5992000000000001,Infected,0%
57,57.0,0.503,Infected,0%
58,58.0,0.44089999999999996,Infected,0%
59,59.0,0.38280000000000003,Infected,0%
60,60.0,0.3447,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,1.3787,Infected,10%
64,3.0,4.1803,Infected,10%
65,4.0,8.791599999999999,Infected,10%
66,5.0,15.9218,Infected,10%
67,6.0,25.941899999999997,Infected,10%
68,7.0,32.1423,Infected,10%
69,8.0,35.7175,Infected,10%
70,9.0,46.2264,Infected,10%
71,10.0,59.71940000000001,Infected,10%
72,11.0,73.9839,Infected,10%
73,12.0,86.55919999999999,Infected,10%
74,13.0,96.2144,Infected,10%
75,14.0,98.4309,Infected,10%
76,15.0,96.33469999999998,Infected,10%
77,16.0,95.7635,Infected,10%
78,17.0,94.0521,Infected,10%
79,18.0,90.6994,Infected,10%
80,19.0,86.04820000000001,Infected,10%
81,20.0,80.49300000000001,Infected,10%
82,21.0,73.9679,Infected,10%
83,22.0,67.2044,Infected,10%
84,23.0,60.679300000000005,Infected,10%
85,24.0,54.31270000000001,Infected,10%
86,25.0,48.3447,Infected,10%
87,26.0,42.969899999999996,Infected,10%
88,27.0,37.986000000000004,Infected,10%
89,28.0,33.3887,Infected,10%
90,29.0,29.1723,Infected,10%
91,30.0,25.4189,Infected,10%
92,31.0,22.234499999999997,Infected,10%
93,32.0,19.302699999999998,Infected,10%
94,33.0,16.6574,Infected,10%
95,34.0,14.4529,Infected,10%
96,35.0,12.513,Infected,10%
97,36.0,10.829699999999999,Infected,10%
98,37.0,9.356700000000002,Infected,10%
99,38.0,8.110199999999999,Infected,10%
100,39.0,7.004,Infected,10%
101,40.0,6.032000000000001,Infected,10%
102,41.0,5.2285,Infected,10%
103,42.0,4.4910000000000005,Infected,10%
104,43.0,3.9219,Infected,10%
105,44.0,3.3787000000000003,Infected,10%
106,45.0,2.9539,Infected,10%
107,46.0,2.5491,Infected,10%
108,47.0,2.1904,Infected,10%
109,48.0,1.8858000000000001,Infected,10%
110,49.0,1.6453000000000002,Infected,10%
111,50.0,1.4128,Infected,10%
112,51.0,1.2525000000000002,Infected,10%
113,52.0,1.0962,Infected,10%
114,53.0,0.9279,Infected,10%
115,54.0,0.7956000000000001,Infected,10%
116,55.0,0.6573000000000001,Infected,10%
117,56.0,0.5791000000000001,Infected,10%
118,57.0,0.4829,Infected,10%
119,58.0,0.42290000000000005,Infected,10%
120,59.0,0.3628,Infected,10%
121,60.0,0.30060000000000003,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,1.1222,Infected,40%
125,3.0,3.3186,Infected,40%
126,4.0,6.448899999999999,Infected,40%
127,5.0,11.332699999999999,Infected,40%
128,6.0,17.4609,Infected,40%
129,7.0,22.008000000000003,Infected,40%
130,8.0,24.3507,Infected,40%
131,9.0,30.817600000000002,Infected,40%
132,10.0,39.78359999999999,Infected,40%
133,11.0,48.8476,Infected,40%
134,12.0,57.609199999999994,Infected,40%
135,13.0,65.4469,Infected,40%
136,14.0,68.01,Infected,40%
137,15.0,67.4088,Infected,40%
138,16.0,68.1983,Infected,40%
139,17.0,68.60719999999999,Infected,40%
140,18.0,68.0079,Infected,40%
141,19.0,66.473,Infected,40%
142,20.0,64.3086,Infected,40%
143,21.0,60.1664,Infected,40%
