,day,final_infected,type_pretty
60,60,257,0%
121,60,257,0%
182,60,258,0%
243,60,252,0%
304,60,254,0%
365,60,253,0%
426,60,250,0%
487,60,257,0%
548,60,259,0%
609,60,256,0%
670,60,253,0%
731,60,257,0%
792,60,257,0%
853,60,245,0%
914,60,247,0%
975,60,237,0%
1036,60,252,0%
1097,60,251,0%
1158,60,252,0%
1219,60,258,0%
1280,60,264,0%
1341,60,245,0%
1402,60,247,0%
1463,60,257,0%
1524,60,253,0%
1585,60,241,0%
1646,60,256,0%
1707,60,249,0%
1768,60,251,0%
1829,60,238,0%
1890,60,253,0%
1951,60,259,0%
2012,60,255,0%
2073,60,246,0%
2134,60,259,0%
2195,60,250,0%
2256,60,257,0%
2317,60,258,0%
2378,60,254,0%
2439,60,251,0%
2500,60,242,0%
2561,60,254,0%
2622,60,248,0%
2683,60,252,0%
2744,60,252,0%
2805,60,253,0%
2866,60,257,0%
2927,60,258,0%
2988,60,245,0%
3049,60,261,0%
3110,60,258,0%
3171,60,252,0%
3232,60,257,0%
3293,60,254,0%
3354,60,263,0%
3415,60,258,0%
3476,60,249,0%
3537,60,250,0%
3598,60,257,0%
3659,60,261,0%
3720,60,260,0%
3781,60,262,0%
3842,60,246,0%
3903,60,242,0%
3964,60,252,0%
4025,60,256,0%
4086,60,255,0%
4147,60,247,0%
4208,60,256,0%
4269,60,251,0%
4330,60,257,0%
4391,60,255,0%
4452,60,255,0%
4513,60,253,0%
4574,60,243,0%
4635,60,262,0%
4696,60,249,0%
4757,60,250,0%
4818,60,261,0%
4879,60,254,0%
4940,60,260,0%
5001,60,249,0%
5062,60,257,0%
5123,60,252,0%
5184,60,247,0%
5245,60,255,0%
5306,60,255,0%
5367,60,257,0%
5428,60,243,0%
5489,60,242,0%
5550,60,256,0%
5611,60,247,0%
5672,60,257,0%
5733,60,250,0%
5794,60,254,0%
5855,60,256,0%
5916,60,240,0%
5977,60,259,0%
6038,60,257,0%
6099,60,254,0%
6160,60,248,0%
6221,60,254,0%
6282,60,257,0%
6343,60,251,0%
6404,60,247,0%
6465,60,251,0%
6526,60,259,0%
6587,60,247,0%
6648,60,257,0%
6709,60,260,0%
