,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,1.3447,Infected,0%
3,3.0,4.1282,Infected,0%
4,4.0,8.923799999999998,Infected,0%
5,5.0,16.4149,Infected,0%
6,6.0,26.534999999999997,Infected,0%
7,7.0,33.0841,Infected,0%
8,8.0,36.6673,Infected,0%
9,9.0,46.551199999999994,Infected,0%
10,10.0,59.180299999999995,Infected,0%
11,11.0,71.3207,Infected,0%
12,12.0,81.54119999999999,Infected,0%
13,13.0,89.2546,Infected,0%
14,14.0,91.09620000000001,Infected,0%
15,15.0,88.8136,Infected,0%
16,16.0,86.7093,Infected,0%
17,17.0,83.982,Infected,0%
18,18.0,79.5832,Infected,0%
19,19.0,74.3767,Infected,0%
20,20.0,68.29060000000001,Infected,0%
21,21.0,61.6553,Infected,0%
22,22.0,55.4249,Infected,0%
23,23.0,49.214400000000005,Infected,0%
24,24.0,43.1523,Infected,0%
25,25.0,37.3708,Infected,0%
26,26.0,32.1041,Infected,0%
27,27.0,27.8757,Infected,0%
28,28.0,23.851699999999997,Infected,0%
29,29.0,20.521,Infected,0%
30,30.0,17.907899999999998,Infected,0%
31,31.0,16.030099999999997,Infected,0%
32,32.0,14.5931,Infected,0%
33,33.0,13.3627,Infected,0%
34,34.0,12.5771,Infected,0%
35,35.0,11.6092,Infected,0%
36,36.0,10.667300000000001,Infected,0%
37,37.0,10.0722,Infected,0%
38,38.0,9.4849,Infected,0%
39,39.0,9.240499999999999,Infected,0%
40,40.0,8.7675,Infected,0%
41,41.0,8.4469,Infected,0%
42,42.0,8.008,Infected,0%
43,43.0,7.455,Infected,0%
44,44.0,7.044,Infected,0%
45,45.0,6.5972,Infected,0%
46,46.0,6.1583,Infected,0%
47,47.0,5.7856000000000005,Infected,0%
48,48.0,5.3145999999999995,Infected,0%
49,49.0,4.959900000000001,Infected,0%
50,50.0,4.510999999999999,Infected,0%
51,51.0,4.1564000000000005,Infected,0%
52,52.0,3.8997,Infected,0%
53,53.0,3.6212,Infected,0%
54,54.0,3.3867,Infected,0%
55,55.0,3.1483,Infected,0%
56,56.0,2.8977999999999997,Infected,0%
57,57.0,2.6411999999999995,Infected,0%
58,58.0,2.5069,Infected,0%
59,59.0,2.2605,Infected,0%
60,60.0,2.052,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,1.1743000000000001,Infected,10%
64,3.0,3.5109999999999997,Infected,10%
65,4.0,7.258499999999999,Infected,10%
66,5.0,13.4409,Infected,10%
67,6.0,21.8837,Infected,10%
68,7.0,27.154300000000003,Infected,10%
69,8.0,30.3747,Infected,10%
70,9.0,38.3727,Infected,10%
71,10.0,48.833800000000004,Infected,10%
72,11.0,59.4168,Infected,10%
73,12.0,68.6674,Infected,10%
74,13.0,75.6211,Infected,10%
75,14.0,77.7155,Infected,10%
76,15.0,76.1243,Infected,10%
77,16.0,75.47679999999998,Infected,10%
78,17.0,74.3146,Infected,10%
79,18.0,71.58919999999999,Infected,10%
80,19.0,68.1463,Infected,10%
81,20.0,63.8517,Infected,10%
82,21.0,58.466899999999995,Infected,10%
83,22.0,53.050200000000004,Infected,10%
84,23.0,47.64319999999999,Infected,10%
85,24.0,42.24249999999999,Infected,10%
86,25.0,36.986000000000004,Infected,10%
87,26.0,32.2886,Infected,10%
88,27.0,28.0741,Infected,10%
89,28.0,24.2425,Infected,10%
90,29.0,20.9699,Infected,10%
91,30.0,18.4849,Infected,10%
92,31.0,16.3987,Infected,10%
93,32.0,14.593199999999998,Infected,10%
94,33.0,13.156199999999998,Infected,10%
95,34.0,12.050200000000002,Infected,10%
96,35.0,10.9719,Infected,10%
97,36.0,9.991999999999999,Infected,10%
98,37.0,9.242400000000002,Infected,10%
99,38.0,8.6333,Infected,10%
100,39.0,8.284600000000001,Infected,10%
101,40.0,7.9298,Infected,10%
102,41.0,7.5151,Infected,10%
103,42.0,7.0662,Infected,10%
104,43.0,6.6293,Infected,10%
105,44.0,6.3126999999999995,Infected,10%
106,45.0,5.9699,Infected,10%
107,46.0,5.699400000000001,Infected,10%
108,47.0,5.3968,Infected,10%
109,48.0,5.098199999999999,Infected,10%
110,49.0,4.6975,Infected,10%
111,50.0,4.3266,Infected,10%
112,51.0,3.9379,Infected,10%
113,52.0,3.6533,Infected,10%
114,53.0,3.4107,Infected,10%
115,54.0,3.1984000000000004,Infected,10%
116,55.0,3.0241,Infected,10%
117,56.0,2.7935999999999996,Infected,10%
118,57.0,2.5791,Infected,10%
119,58.0,2.4168,Infected,10%
120,59.0,2.2385,Infected,10%
121,60.0,2.0881,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.8377,Infected,40%
125,3.0,2.4708999999999994,Infected,40%
126,4.0,4.6993,Infected,40%
127,5.0,7.7595,Infected,40%
128,6.0,11.513,Infected,40%
129,7.0,14.479,Infected,40%
130,8.0,16.3587,Infected,40%
131,9.0,20.302599999999998,Infected,40%
132,10.0,25.296499999999998,Infected,40%
133,11.0,30.885699999999996,Infected,40%
134,12.0,35.8717,Infected,40%
135,13.0,40.7957,Infected,40%
136,14.0,42.22859999999999,Infected,40%
137,15.0,41.8357,Infected,40%
138,16.0,42.6192,Infected,40%
139,17.0,43.5231,Infected,40%
140,18.0,43.835800000000006,Infected,40%
141,19.0,43.6172,Infected,40%
142,20.0,42.6554,Infected,40%
143,21.0,40.7415,Infected,40%
144,22.0,38.0821,Infected,40%
