,day,slope,type,type_pretty
0,0.0,0.07420000000001892,Total infected derivative,0%
1,1.0,0.12325000000001296,Total infected derivative,0%
2,2.0,0.23644999999999072,Total infected derivative,0%
3,3.0,0.3867999999999654,Total infected derivative,0%
4,4.0,0.6252000000000066,Total infected derivative,0%
5,5.0,0.7074000000000069,Total infected derivative,0%
6,6.0,0.5911999999999864,Total infected derivative,0%
7,7.0,0.878750000000025,Total infected derivative,0%
8,8.0,1.6543499999999938,Total infected derivative,0%
9,9.0,2.526999999999987,Total infected derivative,0%
10,10.0,3.3477000000000032,Total infected derivative,0%
11,11.0,4.234499999999997,Total infected derivative,0%
12,12.0,4.06310000000002,Total infected derivative,0%
13,13.0,2.9448500000000024,Total infected derivative,0%
14,14.0,3.619199999999978,Total infected derivative,0%
15,15.0,5.6112500000000125,Total infected derivative,0%
16,16.0,7.190400000000011,Total infected derivative,0%
17,17.0,8.696449999999999,Total infected derivative,0%
18,18.0,10.146299999999997,Total infected derivative,0%
19,19.0,9.251450000000006,Total infected derivative,0%
20,20.0,6.640299999999996,Total infected derivative,0%
21,21.0,7.2485499999999945,Total infected derivative,0%
22,22.0,9.852699999999999,Total infected derivative,0%
23,23.0,11.501949999999994,Total infected derivative,0%
24,24.0,12.469950000000011,Total infected derivative,0%
25,25.0,13.048100000000005,Total infected derivative,0%
26,26.0,11.357699999999994,Total infected derivative,0%
27,27.0,8.013999999999982,Total infected derivative,0%
28,28.0,7.9950000000000045,Total infected derivative,0%
29,29.0,9.647350000000017,Total infected derivative,0%
30,30.0,9.749499999999998,Total infected derivative,0%
31,31.0,9.544099999999986,Total infected derivative,0%
32,32.0,9.206400000000002,Total infected derivative,0%
33,33.0,7.74345000000001,Total infected derivative,0%
34,34.0,5.530050000000003,Total infected derivative,0%
35,35.0,4.8045999999999935,Total infected derivative,0%
36,36.0,5.180399999999992,Total infected derivative,0%
37,37.0,5.007050000000007,Total infected derivative,0%
38,38.0,4.719400000000007,Total infected derivative,0%
39,39.0,4.267499999999998,Total infected derivative,0%
40,40.0,3.4619500000000016,Total infected derivative,0%
41,41.0,2.5411,Total infected derivative,0%
42,42.0,2.14224999999999,Total infected derivative,0%
43,43.0,2.1833500000000043,Total infected derivative,0%
44,44.0,2.0250500000000073,Total infected derivative,0%
45,45.0,1.772599999999997,Total infected derivative,0%
46,46.0,1.6353000000000009,Total infected derivative,0%
47,47.0,1.3145999999999987,Total infected derivative,0%
48,48.0,0.9177999999999997,Total infected derivative,0%
49,49.0,0.803600000000003,Total infected derivative,0%
50,50.0,0.7976000000000028,Total infected derivative,0%
51,51.0,0.751499999999993,Total infected derivative,0%
52,52.0,0.6302999999999912,Total infected derivative,0%
53,53.0,0.4890000000000043,Total infected derivative,0%
54,54.0,0.3747500000000059,Total infected derivative,0%
55,55.0,0.27649999999999864,Total infected derivative,0%
56,56.0,0.23444999999999538,Total infected derivative,0%
57,57.0,0.20640000000000214,Total infected derivative,0%
58,58.0,0.18240000000000123,Total infected derivative,0%
59,59.0,0.17449999999999477,Total infected derivative,0%
60,60.0,,Total infected derivative,0%
61,0.0,0.058100000000024465,Total infected derivative,10%
62,1.0,0.1072499999999934,Total infected derivative,10%
63,2.0,0.20539999999999736,Total infected derivative,10%
64,3.0,0.3436500000000251,Total infected derivative,10%
65,4.0,0.5651499999999885,Total infected derivative,10%
66,5.0,0.6202499999999702,Total infected derivative,10%
67,6.0,0.4960000000000093,Total infected derivative,10%
68,7.0,0.7855500000000006,Total infected derivative,10%
69,8.0,1.3767500000000155,Total infected derivative,10%
70,9.0,1.9639500000000112,Total infected derivative,10%
71,10.0,2.6843999999999824,Total infected derivative,10%
72,11.0,3.4028000000000134,Total infected derivative,10%
73,12.0,3.2524500000000103,Total infected derivative,10%
74,13.0,2.4378499999999974,Total infected derivative,10%
75,14.0,3.067149999999998,Total infected derivative,10%
76,15.0,4.6392999999999915,Total infected derivative,10%
77,16.0,5.748499999999979,Total infected derivative,10%
78,17.0,6.808599999999998,Total infected derivative,10%
79,18.0,8.157300000000006,Total infected derivative,10%
80,19.0,7.783549999999991,Total infected derivative,10%
81,20.0,5.486000000000004,Total infected derivative,10%
82,21.0,5.867750000000001,Total infected derivative,10%
