,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.12119999999998754,Total infected,0%
2,3.0,0.38390000000001123,Total infected,0%
3,4.0,0.7575999999999965,Total infected,0%
4,5.0,1.393999999999977,Total infected,0%
5,6.0,2.5656999999999925,Total infected,0%
6,7.0,3.5354000000000383,Total infected,0%
7,8.0,4.1918999999999755,Total infected,0%
8,9.0,5.100900000000024,Total infected,0%
9,10.0,6.848399999999998,Total infected,0%
10,11.0,9.030299999999983,Total infected,0%
11,12.0,11.979799999999955,Total infected,0%
12,13.0,15.828300000000013,Total infected,0%
13,14.0,18.4041,Total infected,0%
14,15.0,20.81819999999999,Total infected,0%
15,16.0,23.272700000000015,Total infected,0%
16,17.0,26.141400000000004,Total infected,0%
17,18.0,29.838400000000007,Total infected,0%
18,19.0,34.403999999999996,Total infected,0%
19,20.0,39.50510000000003,Total infected,0%
20,21.0,43.454600000000056,Total infected,0%
21,22.0,46.13140000000001,Total infected,0%
22,23.0,49.26260000000002,Total infected,0%
23,24.0,52.838300000000004,Total infected,0%
24,25.0,56.56570000000002,Total infected,0%
25,26.0,60.88890000000001,Total infected,0%
26,27.0,65.9092,Total infected,0%
27,28.0,69.4142,Total infected,0%
28,29.0,72.06059999999997,Total infected,0%
29,30.0,74.8889,Total infected,0%
30,31.0,78.10099999999997,Total infected,0%
31,32.0,81.6163,Total infected,0%
32,33.0,85.59599999999998,Total infected,0%
33,34.0,90.42429999999999,Total infected,0%
34,35.0,93.64640000000003,Total infected,0%
35,36.0,96.1112,Total infected,0%
36,37.0,98.83840000000001,Total infected,0%
37,38.0,101.4648,Total infected,0%
38,39.0,104.67680000000001,Total infected,0%
39,40.0,108.16159999999999,Total infected,0%
40,41.0,111.87880000000001,Total infected,0%
41,42.0,114.41420000000002,Total infected,0%
42,43.0,116.2223,Total infected,0%
43,44.0,118.11110000000001,Total infected,0%
44,45.0,120.28290000000001,Total infected,0%
45,46.0,122.495,Total infected,0%
46,47.0,124.91920000000002,Total infected,0%
47,48.0,127.59600000000002,Total infected,0%
48,49.0,129.35360000000003,Total infected,0%
49,50.0,130.7375,Total infected,0%
50,51.0,132.1415,Total infected,0%
51,52.0,133.6061,Total infected,0%
52,53.0,135.1414,Total infected,0%
53,54.0,136.9394,Total infected,0%
54,55.0,138.8383,Total infected,0%
55,56.0,140.0202,Total infected,0%
56,57.0,140.9192,Total infected,0%
57,58.0,141.7981,Total infected,0%
58,59.0,142.7576,Total infected,0%
59,60.0,143.9697,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.09090000000000487,Total infected,10%
62,3.0,0.2827999999999804,Total infected,10%
63,4.0,0.5049999999999955,Total infected,10%
64,5.0,0.8889000000000067,Total infected,10%
65,6.0,1.7980000000000018,Total infected,10%
66,7.0,2.2323000000000093,Total infected,10%
67,8.0,2.7475000000000023,Total infected,10%
68,9.0,3.66670000000002,Total infected,10%
69,10.0,4.798000000000002,Total infected,10%
70,11.0,6.616299999999995,Total infected,10%
71,12.0,9.222200000000015,Total infected,10%
72,13.0,12.626200000000011,Total infected,10%
73,14.0,14.959499999999991,Total infected,10%
74,15.0,16.596000000000032,Total infected,10%
75,16.0,19.111099999999993,Total infected,10%
76,17.0,21.9092,Total infected,10%
77,18.0,25.313200000000023,Total infected,10%
78,19.0,29.38390000000001,Total infected,10%
79,20.0,34.32329999999999,Total infected,10%
80,21.0,38.24250000000001,Total infected,10%
81,22.0,40.75750000000002,Total infected,10%
82,23.0,43.303000000000054,Total infected,10%
83,24.0,46.484999999999985,Total infected,10%
84,25.0,50.28280000000004,Total infected,10%
85,26.0,54.656600000000026,Total infected,10%
86,27.0,59.1515,Total infected,10%
87,28.0,62.828299999999956,Total infected,10%
