day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected	prob-outside-contagion
0	123457278	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
1	123457278	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.02	0
2	123457278	69	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0.02	0
3	123457278	67	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	216	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	0.02	0
4	123457278	65	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	216	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0.02	2
5	123457278	62	6	3	0	0	0	0	0	0	0	0	0	0	0	1	0	79	4	1	0	0	1	215	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	[]	0	0.02	4
6	123457278	62	5	2	1	0	0	0	0	0	0	1	0	0	0	1	0	98	6	1	0	1	1	215	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	[]	0	0.02	5
7	123457278	60	6	3	1	0	0	0	0	0	0	1	0	0	0	1	0	98	7	1	0	1	1	215	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	0.02	7
8	123457278	54	7	2	1	3	1	2	0	0	0	1	0	0	0	1	0	196	9	1	2	2	1	200	2	1	0	13	1	0	0	0	0	1	0	0	0	0	0	19	[1B]	1	0.02	7
9	123457278	54	4	5	1	3	1	2	0	0	0	1	0	0	0	1	0	196	10	1	2	2	1	199	3	1	0	13	1	0	0	0	0	1	0	0	0	0	0	19	[1B]	1	0.02	8
10	123457278	50	8	4	2	3	1	1	1	0	0	1	0	0	0	1	0	215	10	1	2	2	1	199	3	1	0	13	1	0	0	0	0	1	0	0	0	0	0	22	[1B]	1	0.02	8
11	123457278	47	9	6	2	3	1	1	1	0	0	0	1	0	0	1	0	234	10	1	2	2	1	197	5	1	0	13	1	0	0	0	0	0	1	0	0	0	0	24	[1B]	1	0.02	7
12	123457278	46	7	9	2	3	0	2	1	0	0	0	1	0	0	1	0	234	10	1	2	2	1	194	6	3	0	13	1	0	0	0	0	0	1	0	0	0	0	25	[1B]	1	0.02	8
