,trace,day,type
0,0,17,School screening
1,1,22,School screening
2,2,0,-
3,3,8,School screening
4,4,22,School screening
5,5,0,-
6,6,0,-
7,7,0,-
8,8,8,School screening
9,9,0,-
10,10,0,-
11,11,15,School screening
12,12,22,School screening
13,13,8,School screening
14,14,15,School screening
15,15,8,School screening
16,16,0,-
17,17,8,School screening
18,18,24,School screening
19,19,15,School screening
20,20,0,-
21,21,0,-
22,22,1,School screening
23,23,3,School screening
24,24,8,School screening
25,25,8,School screening
26,26,15,School screening
27,27,15,School screening
28,28,15,School screening
29,29,15,School screening
30,30,0,-
31,31,22,School screening
32,32,15,School screening
33,33,0,-
34,34,0,-
35,35,0,-
36,36,0,-
37,37,24,School screening
38,38,0,-
39,39,29,School screening
40,40,15,School screening
41,41,29,School screening
42,42,1,School screening
43,43,15,School screening
44,44,29,School screening
45,45,22,School screening
46,46,15,School screening
47,47,10,School screening
48,48,8,School screening
49,49,29,School screening
50,50,8,School screening
51,51,0,-
52,52,29,School screening
53,53,29,School screening
54,54,29,School screening
55,55,29,School screening
56,56,15,School screening
57,57,0,-
58,58,15,School screening
59,59,22,School screening
60,60,24,School screening
61,61,8,School screening
62,62,8,School screening
63,63,15,School screening
64,64,0,-
65,65,22,School screening
66,66,17,School screening
67,67,1,School screening
68,68,15,School screening
69,69,29,School screening
70,70,29,School screening
71,71,17,School screening
72,72,10,School screening
73,73,31,School screening
74,74,29,School screening
75,75,0,-
76,76,15,School screening
77,77,0,-
78,78,0,-
79,79,22,School screening
80,80,0,-
81,81,17,School screening
82,82,8,School screening
83,83,22,School screening
84,84,8,School screening
85,85,1,School screening
86,86,1,School screening
87,87,0,-
88,88,15,School screening
89,89,0,-
90,90,22,School screening
91,91,0,-
92,92,29,School screening
93,93,0,-
94,94,17,School screening
95,95,29,School screening
96,96,17,School screening
97,97,15,School screening
98,98,0,-
99,99,15,School screening
100,100,0,-
101,101,15,School screening
102,102,15,School screening
103,103,15,School screening
104,104,17,School screening
105,105,15,School screening
106,106,8,School screening
107,107,22,School screening
108,108,0,-
109,109,15,School screening
110,110,22,School screening
111,111,8,School screening
112,112,1,School screening
113,113,0,-
114,114,3,School screening
115,115,15,School screening
116,116,15,School screening
117,117,15,School screening
118,118,0,-
119,119,10,School screening
120,120,0,-
121,121,22,School screening
122,122,8,School screening
123,123,0,-
124,124,15,School screening
125,125,0,-
126,126,15,School screening
127,127,0,-
128,128,0,-
129,129,22,School screening
130,130,15,School screening
131,131,8,School screening
132,132,15,School screening
133,133,1,School screening
134,134,1,School screening
135,135,22,School screening
136,136,1,School screening
137,137,8,School screening
138,138,15,School screening
139,139,29,School screening
140,140,0,-
141,141,29,School screening
142,142,29,School screening
143,143,31,School screening
144,144,0,-
145,145,15,School screening
146,146,1,School screening
147,147,15,School screening
148,148,8,School screening
149,149,24,School screening
150,150,15,School screening
151,151,0,-
152,152,22,School screening
153,153,0,-
154,154,0,-
155,155,15,School screening
156,156,22,School screening
157,157,0,-
158,158,0,-
159,159,22,School screening
160,160,31,School screening
161,161,0,-
162,162,0,-
163,163,29,School screening
164,164,15,School screening
165,165,0,-
166,166,22,School screening
167,167,0,-
168,168,1,School screening
169,169,22,School screening
170,170,0,-
171,171,22,School screening
172,172,22,School screening
173,173,22,School screening
174,174,0,-
175,175,0,-
176,176,0,-
177,177,22,School screening
178,178,17,School screening
179,179,10,School screening
180,180,3,School screening
181,181,22,School screening
182,182,0,-
183,183,1,School screening
184,184,29,School screening
185,185,8,School screening
186,186,24,School screening
187,187,15,School screening
188,188,15,School screening
189,189,8,School screening
190,190,1,School screening
191,191,15,School screening
192,192,29,School screening
193,193,0,-
194,194,10,School screening
195,195,10,School screening
196,196,15,School screening
197,197,3,School screening
198,198,8,School screening
199,199,0,-
200,200,0,-
201,201,8,School screening
202,202,8,School screening
203,203,22,School screening
204,204,0,-
205,205,22,School screening
206,206,10,School screening
207,207,8,School screening
208,208,15,School screening
209,209,0,-
210,210,0,-
211,211,15,School screening
212,212,0,-
213,213,15,School screening
214,214,0,-
215,215,15,School screening
216,216,0,-
217,217,22,School screening
218,218,0,-
219,219,0,-
220,220,29,School screening
221,221,8,School screening
222,222,22,School screening
223,223,0,-
224,224,22,School screening
225,225,15,School screening
226,226,22,School screening
227,227,0,-
228,228,10,School screening
229,229,29,School screening
230,230,8,School screening
231,231,0,-
232,232,0,-
233,233,0,-
234,234,17,School screening
235,235,15,School screening
236,236,15,School screening
237,237,10,School screening
238,238,15,School screening
239,239,15,School screening
240,240,0,-
241,241,15,School screening
242,242,10,School screening
243,243,1,School screening
244,244,0,-
245,245,8,School screening
246,246,15,School screening
247,247,15,School screening
248,248,22,School screening
249,249,0,-
250,250,15,School screening
251,251,0,-
252,252,22,School screening
253,253,0,-
254,254,8,School screening
255,255,0,-
256,256,15,School screening
257,257,8,School screening
258,258,0,-
259,259,8,School screening
260,260,0,-
261,261,31,School screening
262,262,0,-
263,263,10,School screening
264,264,17,School screening
265,265,22,School screening
266,266,22,School screening
267,267,15,School screening
268,268,8,School screening
269,269,0,-
270,270,29,School screening
271,271,0,-
272,272,0,-
273,273,8,School screening
274,274,29,School screening
275,275,0,-
276,276,15,School screening
277,277,0,-
278,278,8,School screening
279,279,29,School screening
280,280,15,School screening
281,281,0,-
282,282,22,School screening
283,283,8,School screening
284,284,15,School screening
285,285,0,-
286,286,15,School screening
287,287,0,-
288,288,8,School screening
289,289,29,School screening
