,day,final_infected,type_pretty
60,60,228,0%
121,60,216,0%
182,60,223,0%
243,60,239,0%
304,60,237,0%
365,60,231,0%
426,60,223,0%
487,60,229,0%
548,60,226,0%
609,60,216,0%
670,60,216,0%
731,60,220,0%
792,60,220,0%
853,60,235,0%
914,60,146,0%
975,60,223,0%
1036,60,206,0%
1097,60,224,0%
1158,60,168,0%
1219,60,217,0%
1280,60,226,0%
1341,60,235,0%
1402,60,231,0%
1463,60,235,0%
1524,60,215,0%
1585,60,204,0%
1646,60,178,0%
1707,60,225,0%
1768,60,237,0%
1829,60,206,0%
1890,60,205,0%
1951,60,218,0%
2012,60,206,0%
2073,60,215,0%
2134,60,237,0%
2195,60,220,0%
2256,60,233,0%
2317,60,232,0%
2378,60,235,0%
2439,60,227,0%
2500,60,229,0%
2561,60,179,0%
2622,60,197,0%
2683,60,232,0%
2744,60,226,0%
2805,60,218,0%
2866,60,225,0%
2927,60,201,0%
2988,60,219,0%
3049,60,237,0%
3110,60,240,0%
3171,60,221,0%
3232,60,223,0%
3293,60,213,0%
3354,60,192,0%
3415,60,226,0%
3476,60,169,0%
3537,60,199,0%
3598,60,215,0%
3659,60,131,0%
3720,60,216,0%
3781,60,191,0%
3842,60,225,0%
3903,60,236,0%
3964,60,231,0%
4025,60,216,0%
4086,60,213,0%
4147,60,207,0%
4208,60,210,0%
4269,60,203,0%
4330,60,222,0%
4391,60,195,0%
4452,60,223,0%
4513,60,213,0%
4574,60,229,0%
4635,60,238,0%
4696,60,207,0%
4757,60,239,0%
4818,60,223,0%
4879,60,203,0%
4940,60,199,0%
5001,60,208,0%
5062,60,224,0%
5123,60,213,0%
5184,60,222,0%
5245,60,208,0%
5306,60,229,0%
5367,60,233,0%
5428,60,196,0%
5489,60,220,0%
5550,60,214,0%
5611,60,196,0%
5672,60,136,0%
5733,60,221,0%
5794,60,221,0%
5855,60,197,0%
5916,60,211,0%
5977,60,216,0%
6038,60,218,0%
6099,60,219,0%
6160,60,182,10%
6221,60,193,10%
6282,60,174,10%
6343,60,209,10%
6404,60,211,10%
6465,60,192,10%
6526,60,189,10%
6587,60,113,10%
6648,60,139,10%
6709,60,201,10%
6770,60,195,10%
6831,60,163,10%
6892,60,209,10%
6953,60,135,10%
7014,60,125,10%
7075,60,183,10%
7136,60,209,10%
7197,60,188,10%
7258,60,200,10%
7319,60,211,10%
7380,60,184,10%
7441,60,183,10%
7502,60,211,10%
7563,60,110,10%
