day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456872	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	101	0	0	0	0	[]	0	0
1	123456872	184	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	218	101	0	0	0	5	[]	0	0
2	123456872	170	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	218	101	0	0	0	11	[]	0	1
3	123456872	151	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	218	101	0	0	0	16	[]	0	2
4	123456872	104	66	7	0	0	4	7	0	0	0	0	0	0	0	1	0	79	4	1	7	0	1	218	93	8	0	0	21	[1D]	1	5
5	123456872	61	76	25	0	5	7	11	1	0	0	0	0	0	0	3	0	117	4	3	11	0	3	218	87	14	0	0	23	[1D 2A]	2	9
6	123456872	60	37	32	2	5	21	23	4	0	0	1	0	0	0	4	0	155	6	4	24	1	4	218	78	23	0	0	24	[1D 2A 2C 2B]	4	10
7	123456872	59	30	36	6	5	17	22	9	0	0	1	0	0	0	3	1	155	7	4	24	1	4	218	78	23	0	0	25	[1D 2A 2C 2B]	4	11
8	123456872	47	34	12	13	5	16	41	14	0	0	1	0	0	0	5	1	284	7	6	42	1	6	218	70	31	0	0	27	[1D 2A 2C 2B 3A]	5	11
9	123456872	25	51	17	13	5	10	39	22	0	0	1	0	0	0	4	2	284	9	6	42	1	6	218	70	31	0	0	29	[1D 2A 2C 2B 3A]	5	11
10	123456872	10	50	31	14	5	7	40	25	0	0	0	1	0	0	4	2	303	10	6	43	1	6	218	70	31	0	0	29	[1D 2A 2C 2B 3A]	5	12
11	123456872	3	32	31	13	6	11	44	29	0	0	0	1	0	1	13	5	322	10	8	48	1	8	218	60	37	0	4	30	[1D 2A 2C 2B 3A 1C 1A]	7	12
12	123456872	1	23	37	18	6	8	41	35	0	0	0	1	0	0	13	6	322	10	8	48	1	8	218	60	37	0	4	30	[1D 2A 2C 2B 3A 1C 1A]	7	12
13	123456872	1	5	30	15	6	16	50	46	0	0	0	1	0	0	13	6	373	10	8	59	1	8	218	37	60	0	4	30	[1D 2A 2C 2B 3A 1C 1A 3B 1B 3C]	10	12
14	123456872	1	2	30	30	6	11	44	46	0	0	0	1	0	0	11	7	373	10	8	59	1	8	218	45	52	0	4	30	[2A 2C 2B 3A 1C 1A 3B 1B 3C]	9	11
15	123456872	3	3	17	31	1	11	48	58	0	0	0	1	0	0	9	7	428	11	8	69	1	8	218	36	61	0	4	30	[2C 2B 3A 1C 1A 3B 1B 3C 2D 3D]	10	10
16	123456872	2	4	15	64	1	9	35	44	0	0	0	0	0	0	8	7	428	14	8	69	1	8	218	45	52	0	4	30	[3A 1C 1A 3B 1B 3C 2D 3D]	8	8
17	123456872	1	4	12	68	1	5	35	48	0	0	0	0	0	0	7	8	428	14	8	69	1	8	218	45	52	0	4	30	[3A 1C 1A 3B 1B 3C 2D 3D]	8	9
18	123456872	1	3	12	81	1	2	31	44	0	0	0	0	0	0	5	9	428	14	8	69	1	8	218	53	44	0	4	30	[1C 1A 3B 1B 3C 2D 3D]	7	8
19	123456872	1	3	8	85	1	1	26	50	0	0	0	0	0	0	5	9	428	15	8	69	1	8	218	53	44	0	4	30	[1C 1A 3B 1B 3C 2D 3D]	7	8
20	123456872	1	3	7	86	1	1	17	59	0	0	0	0	0	0	4	10	428	15	8	69	1	8	218	53	44	0	4	30	[1C 1A 3B 1B 3C 2D 3D]	7	8
