,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07819999999998117,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.3608000000000402,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,1.0581999999999994,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,2.356800000000021,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,4.362799999999993,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,5.885699999999986,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,7.053999999999974,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,9.969799999999964,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,14.192399999999964,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,19.27449999999999,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,25.25649999999996,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,32.230500000000006,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,37.05609999999996,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,40.66929999999999,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,46.95999999999995,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,54.8176,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,62.86390000000006,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,71.33260000000001,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,80.18629999999999,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,86.47489999999999,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,90.7835,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,97.1603,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,104.79749999999999,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,112.1723,Total infected,0%,Vaccine Efficacy 100%,Low
25,26.0,119.46699999999998,Total infected,0%,Vaccine Efficacy 100%,Low
26,27.0,126.44900000000001,Total infected,0%,Vaccine Efficacy 100%,Low
27,28.0,131.4348,Total infected,0%,Vaccine Efficacy 100%,Low
28,29.0,135.0742,Total infected,0%,Vaccine Efficacy 100%,Low
29,30.0,139.85379999999998,Total infected,0%,Vaccine Efficacy 100%,Low
30,31.0,144.9218,Total infected,0%,Vaccine Efficacy 100%,Low
31,32.0,149.6594,Total infected,0%,Vaccine Efficacy 100%,Low
32,33.0,153.994,Total infected,0%,Vaccine Efficacy 100%,Low
33,34.0,158.10829999999999,Total infected,0%,Vaccine Efficacy 100%,Low
34,35.0,160.974,Total infected,0%,Vaccine Efficacy 100%,Low
35,36.0,163.12630000000001,Total infected,0%,Vaccine Efficacy 100%,Low
36,37.0,166.1562,Total infected,0%,Vaccine Efficacy 100%,Low
37,38.0,169.1864,Total infected,0%,Vaccine Efficacy 100%,Low
38,39.0,172.1103,Total infected,0%,Vaccine Efficacy 100%,Low
39,40.0,174.93,Total infected,0%,Vaccine Efficacy 100%,Low
40,41.0,177.5011,Total infected,0%,Vaccine Efficacy 100%,Low
41,42.0,179.3788,Total infected,0%,Vaccine Efficacy 100%,Low
42,43.0,180.6933,Total infected,0%,Vaccine Efficacy 100%,Low
43,44.0,182.5909,Total infected,0%,Vaccine Efficacy 100%,Low
44,45.0,184.6353,Total infected,0%,Vaccine Efficacy 100%,Low
45,46.0,186.4789,Total infected,0%,Vaccine Efficacy 100%,Low
46,47.0,188.2364,Total infected,0%,Vaccine Efficacy 100%,Low
47,48.0,189.9339,Total infected,0%,Vaccine Efficacy 100%,Low
48,49.0,191.16230000000002,Total infected,0%,Vaccine Efficacy 100%,Low
49,50.0,192.0963,Total infected,0%,Vaccine Efficacy 100%,Low
50,51.0,193.3347,Total infected,0%,Vaccine Efficacy 100%,Low
51,52.0,194.6493,Total infected,0%,Vaccine Efficacy 100%,Low
52,53.0,195.9699,Total infected,0%,Vaccine Efficacy 100%,Low
53,54.0,197.1924,Total infected,0%,Vaccine Efficacy 100%,Low
54,55.0,198.4108,Total infected,0%,Vaccine Efficacy 100%,Low
55,56.0,199.2106,Total infected,0%,Vaccine Efficacy 100%,Low
56,57.0,199.80349999999999,Total infected,0%,Vaccine Efficacy 100%,Low
57,58.0,200.6073,Total infected,0%,Vaccine Efficacy 100%,Low
58,59.0,201.4269,Total infected,0%,Vaccine Efficacy 100%,Low
59,60.0,202.3127,Total infected,0%,Vaccine Efficacy 100%,Low
60,1.0,0.0,Total infected,10%,Vaccine Efficacy 100%,Low
61,2.0,0.07619999999997162,Total infected,10%,Vaccine Efficacy 100%,Low
62,3.0,0.36480000000000246,Total infected,10%,Vaccine Efficacy 100%,Low
63,4.0,0.9940000000000282,Total infected,10%,Vaccine Efficacy 100%,Low
64,5.0,2.028099999999995,Total infected,10%,Vaccine Efficacy 100%,Low
65,6.0,3.789600000000007,Total infected,10%,Vaccine Efficacy 100%,Low
66,7.0,5.025999999999954,Total infected,10%,Vaccine Efficacy 100%,Low
67,8.0,5.9297999999998865,Total infected,10%,Vaccine Efficacy 100%,Low
68,9.0,8.268599999999935,Total infected,10%,Vaccine Efficacy 100%,Low
69,10.0,11.87399999999991,Total infected,10%,Vaccine Efficacy 100%,Low
70,11.0,16.14839999999998,Total infected,10%,Vaccine Efficacy 100%,Low
71,12.0,21.27849999999995,Total infected,10%,Vaccine Efficacy 100%,Low
72,13.0,27.280699999999968,Total infected,10%,Vaccine Efficacy 100%,Low
73,14.0,31.641299999999944,Total infected,10%,Vaccine Efficacy 100%,Low
74,15.0,34.88979999999998,Total infected,10%,Vaccine Efficacy 100%,Low
75,16.0,40.296700000000044,Total infected,10%,Vaccine Efficacy 100%,Low
76,17.0,47.07220000000001,Total infected,10%,Vaccine Efficacy 100%,Low
77,18.0,54.256500000000045,Total infected,10%,Vaccine Efficacy 100%,Low
78,19.0,61.498999999999995,Total infected,10%,Vaccine Efficacy 100%,Low
79,20.0,68.88389999999998,Total infected,10%,Vaccine Efficacy 100%,Low
80,21.0,74.19839999999999,Total infected,10%,Vaccine Efficacy 100%,Low
81,22.0,78.0581,Total infected,10%,Vaccine Efficacy 100%,Low
82,23.0,83.82559999999998,Total infected,10%,Vaccine Efficacy 100%,Low
83,24.0,90.32479999999998,Total infected,10%,Vaccine Efficacy 100%,Low
84,25.0,96.54920000000001,Total infected,10%,Vaccine Efficacy 100%,Low
85,26.0,102.7656,Total infected,10%,Vaccine Efficacy 100%,Low
86,27.0,108.72360000000003,Total infected,10%,Vaccine Efficacy 100%,Low
87,28.0,112.93199999999999,Total infected,10%,Vaccine Efficacy 100%,Low
88,29.0,116.09810000000002,Total infected,10%,Vaccine Efficacy 100%,Low
89,30.0,120.30259999999998,Total infected,10%,Vaccine Efficacy 100%,Low
90,31.0,125.04990000000001,Total infected,10%,Vaccine Efficacy 100%,Low
91,32.0,129.62929999999997,Total infected,10%,Vaccine Efficacy 100%,Low
92,33.0,133.73940000000002,Total infected,10%,Vaccine Efficacy 100%,Low
93,34.0,137.7534,Total infected,10%,Vaccine Efficacy 100%,Low
94,35.0,140.60719999999998,Total infected,10%,Vaccine Efficacy 100%,Low
95,36.0,142.65120000000002,Total infected,10%,Vaccine Efficacy 100%,Low
96,37.0,145.2486,Total infected,10%,Vaccine Efficacy 100%,Low
97,38.0,148.14440000000002,Total infected,10%,Vaccine Efficacy 100%,Low
98,39.0,150.98590000000002,Total infected,10%,Vaccine Efficacy 100%,Low
99,40.0,153.4692,Total infected,10%,Vaccine Efficacy 100%,Low
100,41.0,155.988,Total infected,10%,Vaccine Efficacy 100%,Low
101,42.0,157.7417,Total infected,10%,Vaccine Efficacy 100%,Low
102,43.0,158.9701,Total infected,10%,Vaccine Efficacy 100%,Low
103,44.0,160.6353,Total infected,10%,Vaccine Efficacy 100%,Low
104,45.0,162.4429,Total infected,10%,Vaccine Efficacy 100%,Low
105,46.0,164.3487,Total infected,10%,Vaccine Efficacy 100%,Low
106,47.0,166.0822,Total infected,10%,Vaccine Efficacy 100%,Low
107,48.0,167.7635,Total infected,10%,Vaccine Efficacy 100%,Low
108,49.0,168.97199999999998,Total infected,10%,Vaccine Efficacy 100%,Low
109,50.0,169.8516,Total infected,10%,Vaccine Efficacy 100%,Low
110,51.0,170.95589999999999,Total infected,10%,Vaccine Efficacy 100%,Low
111,52.0,172.18449999999999,Total infected,10%,Vaccine Efficacy 100%,Low
112,53.0,173.43489999999997,Total infected,10%,Vaccine Efficacy 100%,Low
113,54.0,174.62330000000003,Total infected,10%,Vaccine Efficacy 100%,Low
114,55.0,175.6654,Total infected,10%,Vaccine Efficacy 100%,Low
115,56.0,176.4689,Total infected,10%,Vaccine Efficacy 100%,Low
116,57.0,177.0981,Total infected,10%,Vaccine Efficacy 100%,Low
117,58.0,177.914,Total infected,10%,Vaccine Efficacy 100%,Low
118,59.0,178.8959,Total infected,10%,Vaccine Efficacy 100%,Low
119,60.0,179.7634,Total infected,10%,Vaccine Efficacy 100%,Low
120,1.0,0.0,Total infected,40%,Vaccine Efficacy 100%,Low
121,2.0,0.04809999999997672,Total infected,40%,Vaccine Efficacy 100%,Low
122,3.0,0.18029999999998836,Total infected,40%,Vaccine Efficacy 100%,Low
123,4.0,0.4268000000000143,Total infected,40%,Vaccine Efficacy 100%,Low
124,5.0,0.8336999999999648,Total infected,40%,Vaccine Efficacy 100%,Low
125,6.0,1.4488000000000056,Total infected,40%,Vaccine Efficacy 100%,Low
126,7.0,1.9920999999999935,Total infected,40%,Vaccine Efficacy 100%,Low
127,8.0,2.4028000000000134,Total infected,40%,Vaccine Efficacy 100%,Low
128,9.0,3.330600000000004,Total infected,40%,Vaccine Efficacy 100%,Low
129,10.0,4.701499999999953,Total infected,40%,Vaccine Efficacy 100%,Low
130,11.0,6.32669999999996,Total infected,40%,Vaccine Efficacy 100%,Low
131,12.0,8.148400000000038,Total infected,40%,Vaccine Efficacy 100%,Low
132,13.0,10.182500000000005,Total infected,40%,Vaccine Efficacy 100%,Low
133,14.0,11.639299999999935,Total infected,40%,Vaccine Efficacy 100%,Low
134,15.0,12.753500000000031,Total infected,40%,Vaccine Efficacy 100%,Low
135,16.0,14.93999999999994,Total infected,40%,Vaccine Efficacy 100%,Low
136,17.0,17.44470000000007,Total infected,40%,Vaccine Efficacy 100%,Low
137,18.0,20.31080000000003,Total infected,40%,Vaccine Efficacy 100%,Low
138,19.0,23.28860000000003,Total infected,40%,Vaccine Efficacy 100%,Low
139,20.0,26.418999999999983,Total infected,40%,Vaccine Efficacy 100%,Low
140,21.0,28.56729999999999,Total infected,40%,Vaccine Efficacy 100%,Low
141,22.0,30.120400000000018,Total infected,40%,Vaccine Efficacy 100%,Low
