,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07810000000000628,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.23249999999995907,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,0.5269999999999868,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,1.0340999999999667,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,1.7434999999999832,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,2.334699999999998,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,2.869699999999966,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,4.050100000000043,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,5.769499999999994,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,8.070100000000025,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,10.907800000000009,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,14.490999999999985,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,17.16840000000002,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,19.024099999999976,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,22.509000000000015,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,26.921799999999962,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,32.4649,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,38.93790000000001,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,46.398799999999994,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,51.5231,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,55.26659999999998,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,61.2465,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,68.35669999999999,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,76.523,Total infected,0%,Vaccine Efficacy 100%,Low
