,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07819999999998117,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.36070000000000846,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,1.0581999999999994,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,2.362700000000018,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,4.436900000000037,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,5.967899999999986,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,7.1182999999999765,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,10.196300000000008,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,14.943899999999985,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,20.939899999999966,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,28.376800000000003,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,37.436800000000005,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,43.99189999999999,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,48.56710000000001,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,57.0762,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,67.9178,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,79.98000000000002,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,92.88579999999999,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,106.2004,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,115.80959999999999,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,122.7695,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,132.6252,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,143.68540000000002,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,154.1883,Total infected,0%,Vaccine Efficacy 100%,Low
25,26.0,164.22039999999998,Total infected,0%,Vaccine Efficacy 100%,Low
26,27.0,173.5591,Total infected,0%,Vaccine Efficacy 100%,Low
27,28.0,180.3648,Total infected,0%,Vaccine Efficacy 100%,Low
28,29.0,185.3287,Total infected,0%,Vaccine Efficacy 100%,Low
29,30.0,191.5851,Total infected,0%,Vaccine Efficacy 100%,Low
30,31.0,197.54309999999998,Total infected,0%,Vaccine Efficacy 100%,Low
31,32.0,203.01,Total infected,0%,Vaccine Efficacy 100%,Low
32,33.0,208.0601,Total infected,0%,Vaccine Efficacy 100%,Low
33,34.0,212.5952,Total infected,0%,Vaccine Efficacy 100%,Low
34,35.0,215.8678,Total infected,0%,Vaccine Efficacy 100%,Low
35,36.0,218.22039999999998,Total infected,0%,Vaccine Efficacy 100%,Low
36,37.0,220.9479,Total infected,0%,Vaccine Efficacy 100%,Low
37,38.0,223.3366,Total infected,0%,Vaccine Efficacy 100%,Low
38,39.0,225.483,Total infected,0%,Vaccine Efficacy 100%,Low
39,40.0,227.5411,Total infected,0%,Vaccine Efficacy 100%,Low
40,41.0,229.3347,Total infected,0%,Vaccine Efficacy 100%,Low
41,42.0,230.5771,Total infected,0%,Vaccine Efficacy 100%,Low
42,43.0,231.4929,Total infected,0%,Vaccine Efficacy 100%,Low
43,44.0,232.6233,Total infected,0%,Vaccine Efficacy 100%,Low
44,45.0,233.5652,Total infected,0%,Vaccine Efficacy 100%,Low
45,46.0,234.3828,Total infected,0%,Vaccine Efficacy 100%,Low
46,47.0,235.1423,Total infected,0%,Vaccine Efficacy 100%,Low
47,48.0,235.8096,Total infected,0%,Vaccine Efficacy 100%,Low
48,49.0,236.31459999999998,Total infected,0%,Vaccine Efficacy 100%,Low
49,50.0,236.6333,Total infected,0%,Vaccine Efficacy 100%,Low
50,51.0,237.004,Total infected,0%,Vaccine Efficacy 100%,Low
51,52.0,237.2925,Total infected,0%,Vaccine Efficacy 100%,Low
52,53.0,237.5992,Total infected,0%,Vaccine Efficacy 100%,Low
53,54.0,237.8838,Total infected,0%,Vaccine Efficacy 100%,Low
54,55.0,238.0982,Total infected,0%,Vaccine Efficacy 100%,Low
55,56.0,238.2465,Total infected,0%,Vaccine Efficacy 100%,Low
56,57.0,238.3628,Total infected,0%,Vaccine Efficacy 100%,Low
57,58.0,238.4729,Total infected,0%,Vaccine Efficacy 100%,Low
58,59.0,238.6112,Total infected,0%,Vaccine Efficacy 100%,Low
59,60.0,238.70940000000002,Total infected,0%,Vaccine Efficacy 100%,Low
60,1.0,0.0,Total infected,10%,Vaccine Efficacy 100%,Low
61,2.0,0.07619999999997162,Total infected,10%,Vaccine Efficacy 100%,Low
62,3.0,0.3646999999999707,Total infected,10%,Vaccine Efficacy 100%,Low
63,4.0,0.9938999999999965,Total infected,10%,Vaccine Efficacy 100%,Low
64,5.0,2.0219999999999914,Total infected,10%,Vaccine Efficacy 100%,Low
65,6.0,3.799599999999998,Total infected,10%,Vaccine Efficacy 100%,Low
66,7.0,5.0822,Total infected,10%,Vaccine Efficacy 100%,Low
67,8.0,5.991999999999962,Total infected,10%,Vaccine Efficacy 100%,Low
68,9.0,8.442900000000009,Total infected,10%,Vaccine Efficacy 100%,Low
69,10.0,12.406799999999976,Total infected,10%,Vaccine Efficacy 100%,Low
70,11.0,17.3467,Total infected,10%,Vaccine Efficacy 100%,Low
71,12.0,23.400800000000004,Total infected,10%,Vaccine Efficacy 100%,Low
72,13.0,30.795600000000036,Total infected,10%,Vaccine Efficacy 100%,Low
73,14.0,36.1122,Total infected,10%,Vaccine Efficacy 100%,Low
74,15.0,40.08419999999998,Total infected,10%,Vaccine Efficacy 100%,Low
75,16.0,47.2766,Total infected,10%,Vaccine Efficacy 100%,Low
76,17.0,56.66930000000002,Total infected,10%,Vaccine Efficacy 100%,Low
77,18.0,66.81369999999998,Total infected,10%,Vaccine Efficacy 100%,Low
78,19.0,77.8577,Total infected,10%,Vaccine Efficacy 100%,Low
79,20.0,89.50299999999999,Total infected,10%,Vaccine Efficacy 100%,Low
80,21.0,98.1543,Total infected,10%,Vaccine Efficacy 100%,Low
81,22.0,104.20840000000001,Total infected,10%,Vaccine Efficacy 100%,Low
82,23.0,113.43689999999998,Total infected,10%,Vaccine Efficacy 100%,Low
83,24.0,123.28049999999999,Total infected,10%,Vaccine Efficacy 100%,Low
84,25.0,133.2806,Total infected,10%,Vaccine Efficacy 100%,Low
85,26.0,142.87369999999999,Total infected,10%,Vaccine Efficacy 100%,Low
86,27.0,151.7455,Total infected,10%,Vaccine Efficacy 100%,Low
87,28.0,158.4229,Total infected,10%,Vaccine Efficacy 100%,Low
88,29.0,162.9239,Total infected,10%,Vaccine Efficacy 100%,Low
89,30.0,168.6132,Total infected,10%,Vaccine Efficacy 100%,Low
90,31.0,174.6714,Total infected,10%,Vaccine Efficacy 100%,Low
91,32.0,180.2304,Total infected,10%,Vaccine Efficacy 100%,Low
92,33.0,185.1984,Total infected,10%,Vaccine Efficacy 100%,Low
93,34.0,189.7956,Total infected,10%,Vaccine Efficacy 100%,Low
94,35.0,193.1804,Total infected,10%,Vaccine Efficacy 100%,Low
95,36.0,195.497,Total infected,10%,Vaccine Efficacy 100%,Low
96,37.0,198.0542,Total infected,10%,Vaccine Efficacy 100%,Low
97,38.0,200.53109999999998,Total infected,10%,Vaccine Efficacy 100%,Low
98,39.0,202.6754,Total infected,10%,Vaccine Efficacy 100%,Low
99,40.0,204.5952,Total infected,10%,Vaccine Efficacy 100%,Low
100,41.0,206.2926,Total infected,10%,Vaccine Efficacy 100%,Low
101,42.0,207.4649,Total infected,10%,Vaccine Efficacy 100%,Low
102,43.0,208.3047,Total infected,10%,Vaccine Efficacy 100%,Low
103,44.0,209.2625,Total infected,10%,Vaccine Efficacy 100%,Low
104,45.0,210.16039999999998,Total infected,10%,Vaccine Efficacy 100%,Low
105,46.0,210.98000000000002,Total infected,10%,Vaccine Efficacy 100%,Low
106,47.0,211.6292,Total infected,10%,Vaccine Efficacy 100%,Low
107,48.0,212.1303,Total infected,10%,Vaccine Efficacy 100%,Low
108,49.0,212.5552,Total infected,10%,Vaccine Efficacy 100%,Low
109,50.0,212.8256,Total infected,10%,Vaccine Efficacy 100%,Low
110,51.0,213.1523,Total infected,10%,Vaccine Efficacy 100%,Low
111,52.0,213.483,Total infected,10%,Vaccine Efficacy 100%,Low
112,53.0,213.7355,Total infected,10%,Vaccine Efficacy 100%,Low
113,54.0,213.9599,Total infected,10%,Vaccine Efficacy 100%,Low
114,55.0,214.1243,Total infected,10%,Vaccine Efficacy 100%,Low
115,56.0,214.2505,Total infected,10%,Vaccine Efficacy 100%,Low
116,57.0,214.35070000000002,Total infected,10%,Vaccine Efficacy 100%,Low
117,58.0,214.45690000000002,Total infected,10%,Vaccine Efficacy 100%,Low
118,59.0,214.5651,Total infected,10%,Vaccine Efficacy 100%,Low
119,60.0,214.6433,Total infected,10%,Vaccine Efficacy 100%,Low
120,1.0,0.0,Total infected,40%,Vaccine Efficacy 100%,Low
121,2.0,0.04809999999997672,Total infected,40%,Vaccine Efficacy 100%,Low
122,3.0,0.18029999999998836,Total infected,40%,Vaccine Efficacy 100%,Low
123,4.0,0.426900000000046,Total infected,40%,Vaccine Efficacy 100%,Low
124,5.0,0.8256999999999834,Total infected,40%,Vaccine Efficacy 100%,Low
125,6.0,1.4388999999999896,Total infected,40%,Vaccine Efficacy 100%,Low
126,7.0,1.981899999999996,Total infected,40%,Vaccine Efficacy 100%,Low
127,8.0,2.3987999999999943,Total infected,40%,Vaccine Efficacy 100%,Low
128,9.0,3.384800000000041,Total infected,40%,Vaccine Efficacy 100%,Low
129,10.0,4.8396999999999935,Total infected,40%,Vaccine Efficacy 100%,Low
130,11.0,6.607300000000009,Total infected,40%,Vaccine Efficacy 100%,Low
131,12.0,8.581199999999967,Total infected,40%,Vaccine Efficacy 100%,Low
132,13.0,10.980000000000018,Total infected,40%,Vaccine Efficacy 100%,Low
133,14.0,12.667300000000012,Total infected,40%,Vaccine Efficacy 100%,Low
134,15.0,13.911900000000003,Total infected,40%,Vaccine Efficacy 100%,Low
135,16.0,16.45690000000002,Total infected,40%,Vaccine Efficacy 100%,Low
136,17.0,19.64530000000002,Total infected,40%,Vaccine Efficacy 100%,Low
137,18.0,23.070100000000025,Total infected,40%,Vaccine Efficacy 100%,Low
138,19.0,26.943899999999985,Total infected,40%,Vaccine Efficacy 100%,Low
139,20.0,31.138199999999983,Total infected,40%,Vaccine Efficacy 100%,Low
140,21.0,34.23240000000001,Total infected,40%,Vaccine Efficacy 100%,Low
141,22.0,36.25450000000001,Total infected,40%,Vaccine Efficacy 100%,Low
142,23.0,39.8998,Total infected,40%,Vaccine Efficacy 100%,Low
143,24.0,44.23650000000001,Total infected,40%,Vaccine Efficacy 100%,Low
