,day,cumulative_infected,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,Total infected,0%,Vaccine Efficacy 100%,Low
1,2.0,0.07619999999997162,Total infected,0%,Vaccine Efficacy 100%,Low
2,3.0,0.3646999999999707,Total infected,0%,Vaccine Efficacy 100%,Low
3,4.0,0.9899000000000342,Total infected,0%,Vaccine Efficacy 100%,Low
4,5.0,2.0319999999999823,Total infected,0%,Vaccine Efficacy 100%,Low
5,6.0,3.779699999999991,Total infected,0%,Vaccine Efficacy 100%,Low
6,7.0,5.054199999999923,Total infected,0%,Vaccine Efficacy 100%,Low
7,8.0,5.931999999999903,Total infected,0%,Vaccine Efficacy 100%,Low
8,9.0,8.370799999999917,Total infected,0%,Vaccine Efficacy 100%,Low
9,10.0,12.122299999999996,Total infected,0%,Vaccine Efficacy 100%,Low
10,11.0,16.705300000000022,Total infected,0%,Vaccine Efficacy 100%,Low
11,12.0,22.028099999999995,Total infected,0%,Vaccine Efficacy 100%,Low
12,13.0,28.114300000000014,Total infected,0%,Vaccine Efficacy 100%,Low
13,14.0,32.4550000000001,Total infected,0%,Vaccine Efficacy 100%,Low
14,15.0,35.72959999999998,Total infected,0%,Vaccine Efficacy 100%,Low
15,16.0,41.57109999999997,Total infected,0%,Vaccine Efficacy 100%,Low
16,17.0,48.7295,Total infected,0%,Vaccine Efficacy 100%,Low
17,18.0,56.40289999999999,Total infected,0%,Vaccine Efficacy 100%,Low
18,19.0,64.41690000000003,Total infected,0%,Vaccine Efficacy 100%,Low
19,20.0,72.46700000000001,Total infected,0%,Vaccine Efficacy 100%,Low
20,21.0,78.30049999999997,Total infected,0%,Vaccine Efficacy 100%,Low
21,22.0,82.40269999999995,Total infected,0%,Vaccine Efficacy 100%,Low
22,23.0,88.61139999999997,Total infected,0%,Vaccine Efficacy 100%,Low
23,24.0,95.80969999999999,Total infected,0%,Vaccine Efficacy 100%,Low
24,25.0,103.20830000000001,Total infected,0%,Vaccine Efficacy 100%,Low
25,26.0,110.35660000000004,Total infected,0%,Vaccine Efficacy 100%,Low
